Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,Referral Fee %,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Blacklisted,Curr_Listed?,Buy Box ðŸšš: Stock,"New, 3rd Party FBM ðŸšš: 30 days avg.",Prime Eligible (Buy Box),Buy Box : Current,Buy Box : Stock,Buy Bo : Current,Buy Box ðŸšš: Current,Curr_match,Buy Box 🚚: Stock,"New, 3rd Party FBM 🚚: 30 days avg.",Buy Box 🚚: Current
THE NORTH FACE Short Sleeve Jumbo Half Dome Tee TNF Medium Grey Heather/Led Yellow XL,531048,415258,,,50.92,50.92,,,-,1.0,B0BL73DWS8,196000000000.0,GB196010797754,196010797754.0,B0CBS8Z1QC,THE NORTH FACE,,https://www.google.com/search?q=196010797754+THE+NORTH+FACE+Short+Sleeve+Jumbo+Half+Dome+Tee+TNF+Medium+Grey+Heather%2FLed+Yellow+XL&tbm=shop,Y,https://www.amazon.com/dp/B0BL73DWS8?psc=1,"https://www.google.com/shopping/product/14761519713340261854/offers?q=196010797754&prds=cid:14761519713340261854,cond:1",,,,,,N,V,0.0,,,yes,,,,,0.0,,$49.29,
"THE NORTH FACE Men’s Venture 2 Waterproof Hooded Rain Jacket (Standard and Big & Tall Size), TNF Black/TNF Black, Small",64845,80612,130.8,2.0,130.8,180.11,,,ASYTRLNACMZUN,1.0,B01HQSBAF2,190000000000.0,GB190289525223,190289525223.0,B098YKB45Z,THE NORTH FACE,,https://www.google.com/search?q=190289525223+THE+NORTH+FACE+Men%E2%80%99s+Venture+2+Waterproof+Hooded+Rain+Jacket+%28Standard+and+Big+%26+Tall+Size%29%2C+TNF+Black%2FTNF+Black%2C+Small&tbm=shop,Y,https://www.amazon.com/dp/B01HQSBAF2?psc=1,"https://www.google.com/shopping/product/1334257933692853783/offers?q=190289525223&prds=cid:1334257933692853783,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,$133.43,
"THE NORTH FACE Women’s Venture 2 Waterproof Hooded Rain Jacket (Standard and Plus Size), TNF Black 1, XX-Large",256010,468941,129.99,1.0,129.99,176.4,,,ASYTRLNACMZUN,2.0,B01GQUWH80,190000000000.0,GB190289531149,190289531149.0,B09Z79Q695,THE NORTH FACE,,https://www.google.com/search?q=190289531149+THE+NORTH+FACE+Women%E2%80%99s+Venture+2+Waterproof+Hooded+Rain+Jacket+%28Standard+and+Plus+Size%29%2C+TNF+Black+1%2C+XX-Large&tbm=shop,Y,https://www.amazon.com/dp/B01GQUWH80?psc=1,"https://www.google.com/shopping/product/1381376454705804333/offers?q=190289531149&prds=cid:1381376454705804333,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,$129.90,
THE NORTH FACE Venture 2 1/2 Zip Pants TNF Black XS 34,438477,419086,,,178.75,178.82,,,A20FLYA0IW2L9O,1.0,B01GQUUQV0,191000000000.0,GB190541578615,190541578615.0,B076T8NQ9N,THE NORTH FACE,,https://www.google.com/search?q=190541578615+THE+NORTH+FACE+Venture+2+1%2F2+Zip+Pants+TNF+Black+XS+34&tbm=shop,Y,https://www.amazon.com/dp/B01GQUUQV0?psc=1,"https://www.google.com/shopping/product/18038460907291995840/offers?q=190541578615&prds=cid:18038460907291995840,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,$178.80,
"THE NORTH FACE TNF Logo Box Cuffed Beanie, TNF Red, One Size Regular",119270,109380,,,,91.75,,,-,1.0,B07BB4WW14,192000000000.0,GB191931247586,191931247586.0,B083WKTFXM,THE NORTH FACE,,https://www.google.com/search?q=191931247586+THE+NORTH+FACE+TNF+Logo+Box+Cuffed+Beanie%2C+TNF+Red%2C+One+Size+Regular&tbm=shop,Y,https://www.amazon.com/dp/B07BB4WW14?psc=1,"https://www.google.com/shopping/product/4346877138653036075/offers?q=191931247586&prds=cid:4346877138653036075,cond:1",,,,,,N,V,0.0,,,yes,,,,,0.0,,$91.75,
"THE NORTH FACE Women's Half Dome Pullover Hoodie Sweatshirt (Standard and Plus Sizes), TNF Black/TNF White 2, Small",43001,37409,84.88,,84.88,127.18,,,A24AOXR5J0ALYA,2.0,B078WFT51B,192000000000.0,GB191932297443,191932297443.0,B07C6752MP,THE NORTH FACE,,https://www.google.com/search?q=191932297443+THE+NORTH+FACE+Women%27s+Half+Dome+Pullover+Hoodie+Sweatshirt+%28Standard+and+Plus+Sizes%29%2C+TNF+Black%2FTNF+White+2%2C+Small&tbm=shop,Y,https://www.amazon.com/dp/B078WFT51B?psc=1,"https://www.google.com/shopping/product/2614299854016633419/offers?q=191932297443&prds=cid:2614299854016633419,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,$84.16,
"THE NORTH FACE Women's Half Dome Pullover Hoodie Sweatshirt (Standard and Plus Sizes), TNF Black/TNF White 2, Large",42331,37262,79,2.0,77.41,116.09,,,ASYTRLNACMZUN,2.0,B078WGJQCX,192000000000.0,GB191932297610,191932297610.0,B07C6752MP,THE NORTH FACE,,https://www.google.com/search?q=191932297610+THE+NORTH+FACE+Women%27s+Half+Dome+Pullover+Hoodie+Sweatshirt+%28Standard+and+Plus+Sizes%29%2C+TNF+Black%2FTNF+White+2%2C+Large&tbm=shop,Y,https://www.amazon.com/dp/B078WGJQCX?psc=1,"https://www.google.com/shopping/product/6304110965850351791/offers?q=191932297610&prds=cid:6304110965850351791,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,$77.72,
"THE NORTH FACE Men's Box NSE Pullover Hoodie, TNF Black, Small",30774,26418,118.29,,118.29,154.51,,,A20FLYA0IW2L9O,1.0,B083CPLHCY,192000000000.0,GB192362729917,192362729917.0,B0874VRMHJ,THE NORTH FACE,,https://www.google.com/search?q=192362729917+THE+NORTH+FACE+Men%27s+Box+NSE+Pullover+Hoodie%2C+TNF+Black%2C+Small&tbm=shop,Y,https://www.amazon.com/dp/B083CPLHCY?psc=1,"https://www.google.com/shopping/product/5798203839316925133/offers?q=192362729917&prds=cid:5798203839316925133,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,$118.29,
THE NORTH FACE Thermoball Eco Vest Tnf Black Matte SM,501785,497689,184.19,1.0,184.19,192.69,,,A20FLYA0IW2L9O,1.0,B07MXM93R7,192000000000.0,GB192364478097,192364478097.0,B0CNLJ2S96,THE NORTH FACE,,https://www.google.com/search?q=192364478097+THE+NORTH+FACE+Thermoball+Eco+Vest+Tnf+Black+Matte+SM&tbm=shop,Y,https://www.amazon.com/dp/B07MXM93R7?psc=1,"https://www.google.com/shopping/product/4723220622682848486/offers?q=192364478097&prds=cid:4723220622682848486,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,$152.23,
"THE NORTH FACE Men's Gordon Lyons Full Zip Fleece Jacket, TNF Black Heather 1, XX-Large",581118,536899,,,175.32,215.22,,,A27VKVINMW856Q,1.0,B07ML41WVQ,192000000000.0,GB192364498965,192364498965.0,B07TS924VV,THE NORTH FACE,,https://www.google.com/search?q=192364498965+THE+NORTH+FACE+Men%27s+Gordon+Lyons+Full+Zip+Fleece+Jacket%2C+TNF+Black+Heather+1%2C+XX-Large&tbm=shop,Y,https://www.amazon.com/dp/B07ML41WVQ?psc=1,"https://www.google.com/shopping/product/11222378235816973746/offers?q=192364498965&prds=cid:11222378235816973746,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,$176.32,
"THE NORTH FACE Women's Osito Full Zip Fleece Jacket (Standard and Plus Size), TNF White, X-Large",28446,17201,,,167.99,193.65,,,ASYTRLNACMZUN,1.0,B07PYR7N35,193000000000.0,GB192824486488,192824486488.0,B0161S9E6U,THE NORTH FACE,,https://www.google.com/search?q=192824486488+THE+NORTH+FACE+Women%27s+Osito+Full+Zip+Fleece+Jacket+%28Standard+and+Plus+Size%29%2C+TNF+White%2C+X-Large&tbm=shop,Y,https://www.amazon.com/dp/B07PYR7N35?psc=1,"https://www.google.com/shopping/product/18350109705926871730/offers?q=192824486488&prds=cid:18350109705926871730,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,$167.93,
THE NORTH FACE Metropolis Parka III Tnf Black XS,46676,35984,,,324.01,481,,,A20FLYA0IW2L9O,1.0,B07MH5NNCB,193000000000.0,GB192825491405,192825491405.0,B01MQSX3R8,THE NORTH FACE,,https://www.google.com/search?q=192825491405+THE+NORTH+FACE+Metropolis+Parka+III+Tnf+Black+XS&tbm=shop,Y,https://www.amazon.com/dp/B07MH5NNCB?psc=1,"https://www.google.com/shopping/product/11585378865015945708/offers?q=192825491405&prds=cid:11585378865015945708,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,$324.01,
"THE NORTH FACE Men's Textured Cap Rock ¼ Zip Pullover Sweatshirt, TNF Black, Small",56721,39783,,,63.45,95.99,,,ASYTRLNACMZUN,3.0,B07MRJRZMX,193000000000.0,GB192828521499,192828521499.0,B0CTB2R9WM,THE NORTH FACE,,https://www.google.com/search?q=192828521499+THE+NORTH+FACE+Men%27s+Textured+Cap+Rock+%C2%BC+Zip+Pullover+Sweatshirt%2C+TNF+Black%2C+Small&tbm=shop,Y,https://www.amazon.com/dp/B07MRJRZMX?psc=1,"https://www.google.com/shopping/product/5161688267247211245/offers?q=192828521499&prds=cid:5161688267247211245,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,$62.26,
"THE NORTH FACE Men’s Venture 2 Waterproof Hooded Rain Jacket (Standard and Big & Tall Size), TNF Black/TNF Black/Mid Grey (Past Season), X-Small",64507,79719,109.95,1.0,109.95,200.34,,,A7ULJO7NAWM0L,2.0,B07TXKMPDY,193000000000.0,GB193391578453,193391578453.0,B098YKB45Z,THE NORTH FACE,,https://www.google.com/search?q=193391578453+THE+NORTH+FACE+Men%E2%80%99s+Venture+2+Waterproof+Hooded+Rain+Jacket+%28Standard+and+Big+%26+Tall+Size%29%2C+TNF+Black%2FTNF+Black%2FMid+Grey+%28Past+Season%29%2C+X-Small&tbm=shop,Y,https://www.amazon.com/dp/B07TXKMPDY?psc=1,"https://www.google.com/shopping/product/3193112306921533518/offers?q=193391578453&prds=cid:3193112306921533518,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,$109.98,
"THE NORTH FACE Men’s Venture 2 Waterproof Hooded Rain Jacket (Standard and Big & Tall Size), TNF Black/TNF Black/Mid Grey (Past Season), Small",65830,81021,95.05,6.0,95.05,194.75,,,ASYTRLNACMZUN,1.0,B07T8PYWTH,193000000000.0,GB193391578743,193391578743.0,B098YKB45Z,THE NORTH FACE,,https://www.google.com/search?q=193391578743+THE+NORTH+FACE+Men%E2%80%99s+Venture+2+Waterproof+Hooded+Rain+Jacket+%28Standard+and+Big+%26+Tall+Size%29%2C+TNF+Black%2FTNF+Black%2FMid+Grey+%28Past+Season%29%2C+Small&tbm=shop,Y,https://www.amazon.com/dp/B07T8PYWTH?psc=1,"https://www.google.com/shopping/product/9885781371677247178/offers?q=193391578743&prds=cid:9885781371677247178,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,$111.90,
"THE NORTH FACE Men’s Venture 2 Waterproof Hooded Rain Jacket (Standard and Big & Tall Size), Urban Navy/Urban Navy, Medium",64648,80723,,,183,203.74,,,A20FLYA0IW2L9O,1.0,B07TBSR327,193000000000.0,GB193391579160,193391579160.0,B098YKB45Z,THE NORTH FACE,,https://www.google.com/search?q=193391579160+THE+NORTH+FACE+Men%E2%80%99s+Venture+2+Waterproof+Hooded+Rain+Jacket+%28Standard+and+Big+%26+Tall+Size%29%2C+Urban+Navy%2FUrban+Navy%2C+Medium&tbm=shop,Y,https://www.amazon.com/dp/B07TBSR327?psc=1,"https://www.google.com/shopping/product/6212130367634202008/offers?q=193391579160&prds=cid:6212130367634202008,cond:1",,,,,,N,V,0.0,,,no,,,,,0.0,,$183.00,
"THE NORTH FACE Men’s Venture 2 Waterproof Hooded Rain Jacket (Standard and Big & Tall Size), Mid Grey/Mid Grey/TNF Black, 3X-Large",64100,80348,,,,200.34,,,-,,B07TS8MD4L,193000000000.0,GB193391579788,193391579788.0,B098YKB45Z,THE NORTH FACE,,https://www.google.com/search?q=193391579788+THE+NORTH+FACE+Men%E2%80%99s+Venture+2+Waterproof+Hooded+Rain+Jacket+%28Standard+and+Big+%26+Tall+Size%29%2C+Mid+Grey%2FMid+Grey%2FTNF+Black%2C+3X-Large&tbm=shop,Y,https://www.amazon.com/dp/B07TS8MD4L?psc=1,"https://www.google.com/shopping/product/17027859820985706292/offers?q=193391579788&prds=cid:17027859820985706292,cond:1",,,,,,N,V,0.0,,,yes,,,,,0.0,,,
"THE NORTH FACE Women's Shelbe Raschel Hoodie (Standard and Plus Size), TNF Black 2, Medium",231067,144237,,,187.2,265.99,,,ASYTRLNACMZUN,1.0,B08BDNMLSP,193000000000.0,GB193391638744,193391638744.0,B07CZSL1VM,THE NORTH FACE,,https://www.google.com/search?q=193391638744+THE+NORTH+FACE+Women%27s+Shelbe+Raschel+Hoodie+%28Standard+and+Plus+Size%29%2C+TNF+Black+2%2C+Medium&tbm=shop,Y,https://www.amazon.com/dp/B08BDNMLSP?psc=1,"https://www.google.com/shopping/product/9880975062123562566/offers?q=193391638744&prds=cid:9880975062123562566,cond:1",,,,,,N,V,0.0,,,yes,,,,,0.0,,$186.92,
