Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,Referral Fee %,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Blacklisted,Curr_Listed?,Buy Box ðŸšš: Stock,"New, 3rd Party FBM ðŸšš: 30 days avg.",Prime Eligible (Buy Box),Buy Box : Current,Buy Box : Stock,Buy Bo : Current,Buy Box ðŸšš: Current,Curr_match,Buy Box 🚚: Stock,"New, 3rd Party FBM 🚚: 30 days avg.",Buy Box 🚚: Current
"Steve Madden Women's Campo Sneaker, Blue, 9",17968.0,15532.0,89.99,,89.99,135.42,,,-,,B0C5JY4ZCK,197369558898,197369558898,B0BM6F9MLG,Steve Madden,,GB197369558898,https://www.google.com/search?q=197369558898+Steve+Madden+Women%27s+Campo+Sneaker%2C+Blue%2C+9&tbm=shop,Y,https://www.amazon.com/dp/B0C5JY4ZCK?psc=1,"https://www.google.com/shopping/product/9490874158846581021/offers?q=197369558898&prds=cid:9490874158846581021,cond:1",,,,,,N,V,0.0,,$74.36,yes,,,,,0.0,,,
"Steve Madden Women's CATE Ankle Boot, Sand Suede, 8",351485.0,235602.0,49.95,3.0,49.95,138.95,,,-,1.0,B09QH9JLHK,196361647333,196361647333,B09QHMHGQT,Steve Madden,,GB196361647333,https://www.google.com/search?q=196361647333+Steve+Madden+Women%27s+CATE+Ankle+Boot%2C+Sand+Suede%2C+8&tbm=shop,Y,https://www.amazon.com/dp/B09QH9JLHK?psc=1,"https://www.google.com/shopping/product/14201064639820618126/offers?q=196361647333&prds=cid:14201064639820618126,cond:1",,,,,,N,V,0.0,,$56.18,no,,,,,0.0,,,
"Steve Madden Women's Charlie Sneaker, Rhinestone, 7",38374.0,36918.0,79.95,21.0,79.95,79.95,,,-,0.0,B094NYYXZL,195945410851,195945410851,B0CW2324TY,Steve Madden,,GB195945410851,https://www.google.com/search?q=195945410851+Steve+Madden+Women%27s+Charlie+Sneaker%2C+Rhinestone%2C+7&tbm=shop,Y,https://www.amazon.com/dp/B094NYYXZL?psc=1,"https://www.google.com/shopping/product/7402051785291103552/offers?q=195945410851&prds=cid:7402051785291103552,cond:1",,,,,,N,V,0.0,,,yes,,,,,0.0,,,
"Steve Madden Women's Charlie Sneaker, Rhinestone, 7.5",38757.0,37657.0,79.95,28.0,79.95,79.95,,,-,0.0,B094P39WQR,195945410868,195945410868,B0CW2324TY,Steve Madden,,GB195945410868,https://www.google.com/search?q=195945410868+Steve+Madden+Women%27s+Charlie+Sneaker%2C+Rhinestone%2C+7.5&tbm=shop,Y,https://www.amazon.com/dp/B094P39WQR?psc=1,"https://www.google.com/shopping/product/1985413697980227074/offers?q=195945410868&prds=cid:1985413697980227074,cond:1",,,,,,N,V,0.0,,,yes,,,,,0.0,,,
"Steve Madden Women's Charlie Sneaker, Rhinestone, 8",39015.0,37406.0,79.95,55.0,79.95,79.95,,,-,0.0,B094NZ7321,195945410875,195945410875,B0CW2324TY,Steve Madden,,GB195945410875,https://www.google.com/search?q=195945410875+Steve+Madden+Women%27s+Charlie+Sneaker%2C+Rhinestone%2C+8&tbm=shop,Y,https://www.amazon.com/dp/B094NZ7321?psc=1,"https://www.google.com/shopping/product/2012934970749183410/offers?q=195945410875&prds=cid:2012934970749183410,cond:1",,,,,,N,V,0.0,,,yes,,,,,0.0,,,
"Steve Madden Women's Charlie Sneaker, Rhinestone, 8.5",38704.0,37769.0,79.95,47.0,79.95,79.95,,,-,0.0,B094NYNL8H,195945410882,195945410882,B0CW2324TY,Steve Madden,,GB195945410882,https://www.google.com/search?q=195945410882+Steve+Madden+Women%27s+Charlie+Sneaker%2C+Rhinestone%2C+8.5&tbm=shop,Y,https://www.amazon.com/dp/B094NYNL8H?psc=1,"https://www.google.com/shopping/product/8560386869892899718/offers?q=195945410882&prds=cid:8560386869892899718,cond:1",,,,,,N,V,0.0,,,yes,,,,,0.0,,,
"Steve Madden Women's Charlize Pump, Pink Satin, 10",354871.0,284765.0,,,154.12,191.56,,,-,1.0,B09LB7LJS6,196361379609,196361379609,B09WCJWC3F,Steve Madden,,GB196361379609,https://www.google.com/search?q=196361379609+Steve+Madden+Women%27s+Charlize+Pump%2C+Pink+Satin%2C+10&tbm=shop,Y,https://www.amazon.com/dp/B09LB7LJS6?psc=1,"https://www.google.com/shopping/product/6319654169699570085/offers?q=196361379609&prds=cid:6319654169699570085,cond:1",BHFO,76.94,130.798,143.8778,154.12,Y,V,1.0,,$171.14,no,,,,,0.0,,,
"Steve Madden Women's Chart Mule, Black Leather, 7",213375.0,236478.0,84.74,1.0,83.74,98.38,,,A1195MQ583AB5O,1.0,B0BSGXFF9X,196829380369,196829380369,B0BVGXN3MT,Steve Madden,,GB196829380369,https://www.google.com/search?q=196829380369+Steve+Madden+Women%27s+Chart+Mule%2C+Black+Leather%2C+7&tbm=shop,Y,https://www.amazon.com/dp/B0BSGXFF9X?psc=1,"https://www.google.com/shopping/product/12222415454465395008/offers?q=196829380369&prds=cid:12222415454465395008,cond:1",Scheels,36.99,62.883,69.1713,83.74,Y,V,1.0,,$87.74,no,,,,,0.0,,,
"Steve Madden Women's Chart Mule, Black Leather, 7.5",232716.0,244713.0,66.85,2.0,65.64,89.95,,,ANZYNJW9IIF9C,2.0,B0BSGWTNPD,196829380390,196829380390,B0BVGXN3MT,Steve Madden,,GB196829380390,https://www.google.com/search?q=196829380390+Steve+Madden+Women%27s+Chart+Mule%2C+Black+Leather%2C+7.5&tbm=shop,Y,https://www.amazon.com/dp/B0BSGWTNPD?psc=1,"https://www.google.com/shopping/product/3743904216449067549/offers?q=196829380390&prds=cid:3743904216449067549,cond:1",Scheels,36.99,62.883,69.1713,65.64,Y,V,1.0,,$84.79,yes,,,,,0.0,,,
"Steve Madden Women's Chart Mule, Black Leather, 8.5",237211.0,232907.0,66.85,,65.64,89.95,,,A1195MQ583AB5O,2.0,B0BSGWCYZZ,196829380451,196829380451,B0BVGXN3MT,Steve Madden,,GB196829380451,https://www.google.com/search?q=196829380451+Steve+Madden+Women%27s+Chart+Mule%2C+Black+Leather%2C+8.5&tbm=shop,Y,https://www.amazon.com/dp/B0BSGWCYZZ?psc=1,"https://www.google.com/shopping/product/10275673810402668547/offers?q=196829380451&prds=cid:10275673810402668547,cond:1",Scheels,36.99,62.883,69.1713,65.64,Y,V,1.0,,$70.52,yes,,,,,0.0,,,
