Title,Buy Box: Current,Buy Box Seller,Buy Box: Is FBA,Amazon: Current,New: Current,New: Highest,ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand
"Steve Madden Women's Shaye Heeled Sandal, Cognac Patent, 9.5",$49.95 ,3rd Party (A1G9RBEK6CB71F),no,,$49.95 ,$99.99 ,B099TRPDXW,0195945127254,195945127254,B09X3VCVP2,Steve Madden
"Steve Madden Men's MAIVEN Sandal, Brown, 11.5",$84.07 ,3rd Party (AH1YFAUS3NHX2),yes,,$84.07 ,$100.00 ,B0CK6353VT,0197116450758,197116450758,B0CGYWZSRN,Steve Madden
"New Balance Women's Fresh Foam Velo V3 Turf-Trainer Softball Shoe, Black/White, 6.5 Wide",,,no,,,$84.99 ,B09K4VQNCL,0196307527101,196307527101,B09K5496V8,New Balance
"Cole Haan Womens Grandpro Topspin Golf Oxford, White/Heather, 6.5 Wide",,,no,,,$175.00 ,B0CBCZVP16,0196414415681,196414415681,B0D284WXBX,Cole Haan
"New Balance Women's Fresh Foam 880v11, Coral/Citrus Punch, 6.5 Medium",,,no,,$228.51 ,$285.64 ,B08RXX1LYH,0194768661099,194768661099,B08RY22ZM1,New Balance
"New Balance Women's FuelCell Propel V3 Running Shoe, White/Pink Glo/Deep Violet, 5",,,yes,,,$99.99 ,B08P296RBT,0195481444655,195481444655,B08P39HP2V,New Balance
"New Balance Women's FuelCell Propel V3 Running Shoe, Black/Pale Blue Chill, 6 Wide",,,yes,,,$99.97 ,B08P2CP2LQ,0195481445102,195481445102,B08P39HP2V,New Balance
"New Balance Women's FuelCell Propel V3 Running Shoe, Starlight/Bright Mint, 6 Wide",,,yes,,,$99.99 ,B09K4TG4KG,0196307348355,196307348355,B08P39HP2V,New Balance
"Steve Madden Women's Submit Wedge Sandal, Black, 7.5",,,no,,$42.99 ,$99.95 ,B09GWBPLWB,0196361125527,196361125527,B09GWRHPDY,Steve Madden
"Steve Madden Women's Excite Heeled Sandal, Natural Raffia, 8",$119.95 ,3rd Party (AH1YFAUS3NHX2),yes,,$119.95 ,$119.95 ,B0CHZY1DLQ,0198024033989,198024033989,B0CJ12WR41,Steve Madden
"Steve Madden Women's Excite Heeled Sandal, Natural Raffia, 7",$119.95 ,3rd Party (AH1YFAUS3NHX2),yes,,$119.95 ,$119.95 ,B0CHZMRVJ7,0198024033927,198024033927,B0CJ12WR41,Steve Madden
Cole Haan Originalgrand Wing Ox Golf Optic White/Navy Blazer/Burnt Ochre/Gum 10.5 D (M),$159.20 ,3rd Party (AUTFUZM21LT4F),no,,$159.20 ,$213.68 ,B0BYZ6XF1W,0196414233827,196414233827,B0BTNT4QXF,Cole Haan
"Cole Haan Men's Original Grand Wingtip Oxford Golf, White/White Wp, 11.5",$165.99 ,3rd Party (A3E9SVC4GWPUCM),yes,,$165.99 ,$307.99 ,B08T86618Q,0194736320584,194736320584,B0BTNT4QXF,Cole Haan
"New Balance Boys Active Shorts 4 Pack Performance Mesh Basketball Shorts Workout Gym Shorts for Boys (4-20), Size 14-16, StoneBlue Laguna",$47.99 ,3rd Party (A2AFJ1SJWF3R1X),yes,,$47.99 ,$52.99 ,B0CJ15P2TY,0195187854772,195187854772,B0CQRGR9RC,New Balance
"New Balance Men's FuelCell Propel V2 Running Shoe, Light Cyclone/Ghost Pepper/Black, 10.5",$99.95 ,3rd Party (A1Q1PHSVIGZBP8),no,,$99.95 ,$249.96 ,B08BMPGLQW,0194768678790,194768678790,B0815NGYPF,New Balance
New Balance Fresh Foam More Trail v2 Black/Electric Red 9.5 EE - Wide,,,no,,$195.00 ,$319.20 ,B0BL7ST2CQ,0196307442923,196307442923,B08PDCPZNN,New Balance
"Cole Haan Men's Grand+ Wingtip Oxfords, Irish Coffee Nubuck/Tornado, 7.5 Wide",$90.00 ,3rd Party (AH1YFAUS3NHX2),yes,,$90.00 ,$90.00 ,B0CB9HRS8Q,0196414491203,196414491203,B0CPFBNVJX,Cole Haan
"New Balance Women's 940 V4 Running Shoe, Black/Magnet, 8.5",,,no,,,$284.85 ,B07RMK42ZL,0193684997633,193684997633,B08985S9TJ,New Balance
"New Balance Men's 3000 V4 Metal Baseball Shoe, Baby Blue/White, 10 M US",$79.99 ,3rd Party (A1O73SOP9TIVSV),no,,$79.99 ,$112.86 ,B075R7LC2D,0191902082574,191902082574,B0968FQ8MD,New Balance
"New Balance Men's 3000 V4 Metal Baseball Shoe, White, 17",$67.27 ,3rd Party (A24V851RG6UNB7),no,,$52.99 ,$122.40 ,B077FH2FYY,0191902561710,191902561710,B0968FQ8MD,New Balance
"New Balance Women's Fresh Foam X More V4 Permafrost Running Shoe, Black/Nb Burgundy, 9",,,no,,$282.63 ,$293.25 ,B0BJ7KN2TS,0196652817377,196652817377,B0BJ82YYVY,New Balance
"New Balance Men's Fresh Foam Hierro V6 Trail Running Shoe, Black/Mountain Teal, 4.5",,,yes,,,$159.99 ,B08PCDBZLK,0195481434892,195481434892,B08BNC8XBV,New Balance
"New Balance Baby Boys' Shorts Set - 2 Piece T-Shirt and Gym Shorts - Summer Outfits for Infants, Toddlers, Boys (12M-7), Size 7, Black/Red",$22.99 ,3rd Party (A2AFJ1SJWF3R1X),yes,,$22.99 ,$22.99 ,B0CTNZJMZW,0195187879454,195187879454,B0CTNWZFYF,New Balance
"Steve Madden Women's Carrson Heeled Sandal, Black Leather, 10",$24.99 ,3rd Party (A24V851RG6UNB7),no,,$24.99 ,$110.00 ,B016R8X7EE,0715924161521,715924161521,B019D2YXS0,Steve Madden
"Steve Madden Women's Carrson Heeled Sandal, Black Crystal, 8.5",,,no,,$125.33 ,$191.81 ,B07FZ3VHBJ,0824095691529,824095691529,B019D2YXS0,Steve Madden
"New Balance Men's Fresh Foam X Cruz Artisan V3 Running Shoe, White/Blue Oasis/Neo Flame, 10 Wide",$89.99 ,3rd Party (AH1YFAUS3NHX2),yes,,$89.99 ,$89.99 ,B0C34KQQL8,0197375638140,197375638140,B0C364BG2S,New Balance
"New Balance Men's Fresh Foam X Cruz Artisan V3 Running Shoe, White/Blue Oasis/Neo Flame, 13 Wide",$89.99 ,3rd Party (AH1YFAUS3NHX2),yes,,$89.99 ,$89.99 ,B0C35581FL,0197375638195,197375638195,B0C364BG2S,New Balance
"Cole Haan Women's Grandpro Rally Canvas Court Sneaker, Optic White/Black, 7 Wide",,,no,,,$128.22 ,B08KNWZ1KM,0194736480431,194736480431,B08KNYGB62,Cole Haan
"Steve Madden Women's Catcher Sneaker, White Suede, 8.5",$74.95 ,3rd Party (AH1YFAUS3NHX2),yes,,$74.95 ,$74.95 ,B0C5S2PW8V,0197369525227,197369525227,B08NV3RS75,Steve Madden
"Cole Haan Men's Original Grand Chukka Boot, BLACK/BLACK, 11 M US",,,no,,$131.95 ,$180.00 ,B0798BBPK2,0190595993136,190595993136,B0798CX2L1,Cole Haan
"Cole Haan Men's Original Grand Chukka Boot, BLACK/BLACK, 10 M US",,,no,,$149.69 ,$182.43 ,B0798B31DR,0190595993112,190595993112,B0798CX2L1,Cole Haan
SIGNAL LILAC LILAC / 6.5 / 214,$34.99 ,3rd Party (A1XZ3PFSGU10KM),no,,$30.00 ,$64.99 ,B0B7R829WG,0195945298107,195945298107,B099Y9KB7Z,Steve Madden
New Balance Fresh Foam 880v11 Ocean Grey/Deep Violet 6.5 B (M),,,no,,$195.56 ,$235.87 ,B097N638KP,0195481424145,195481424145,B08RY22ZM1,New Balance
"Steve Madden Women's Santo Flat Sandal, Cognac Leather, 9.5",,,no,,$66.03 ,$79.95 ,B0BPTJXTL2,0196829845059,196829845059,B0C69WNQH2,Steve Madden
"Steve Madden Women's Santo Flat Sandal, White Leather, 9",$66.13 ,3rd Party (A24V851RG6UNB7),no,,$53.99 ,$83.21 ,B0BPTJY3QX,0196829845011,196829845011,B0C69WNQH2,Steve Madden
"New Balance Boys' Shorts Set - 2 Piece Performance Fleece Hoodie Sweatshirt and Sweat Shorts - Sweatsuit Set for Boys (8-12), Size 10, Grey",$24.99 ,3rd Party (A2AFJ1SJWF3R1X),yes,,$24.99 ,$24.99 ,B0CXVKBNS3,0195187897403,195187897403,B0CXVVW2PF,New Balance
"New Balance Girls' Active Shorts Set - Fleece Hoodie Sweatshirt and Sweat Shorts - Cute Spring Outfit Set for Girls (7-12), Size 1012, Gulf Red",$26.99 ,3rd Party (A2AFJ1SJWF3R1X),yes,,$26.99 ,$28.99 ,B0CTKWDJDJ,0195187878761,195187878761,B0CTKWLPTF,New Balance
"New Balance CT302 Black/White US Men's 7, Women's 8.5 Medium",,,no,,,$174.89 ,B0CN34S798,0197375695839,197375695839,B0C6XGC9SG,New Balance
"New Balance Women's CT302 Sneakers, Blue Oasis/White, 7.5 Medium US",,,no,,,$174.89 ,B0C9VKD91L,0197375696041,197375696041,B0C6XGC9SG,New Balance
Steve Madden Anders Sandal Denim 8 M,,,no,,$76.74 ,$89.95 ,B0BRQ4M4ZQ,0196829351512,196829351512,B0BFQ22WCN,Steve Madden
"Steve Madden Women's Anders Sandal, Natural Leather, 9",$76.74 ,3rd Party (A1LEM297LNF1FK),no,,$76.74 ,$89.95 ,B0BRKNRH3K,0196829591628,196829591628,B0BFQ22WCN,Steve Madden
"Cole Haan Men's Grand Crosscourt Wingtip Sneaker, Black/Black, 11.5 M",,,no,,$144.33 ,$221.15 ,B0992XS3W7,0194736835743,194736835743,B0993717NW,Cole Haan
"Cole Haan Men's GOTO Wing Oxford, Pinot, 8.5",$151.97 ,3rd Party (AJNSDDEKL0MDQ),no,,$151.97 ,$165.64 ,B08SQT8KM2,0194736514204,194736514204,B0CWT3156C,Cole Haan
"Cole Haan Men's Grand Crosscourt Wingtip Sneaker, Black/Black, 11 M",,,no,,$144.33 ,$197.47 ,B0992W52Z2,0194736835736,194736835736,B0993717NW,Cole Haan
"Steve Madden Women's Shaye Heeled Sandal, Gold, 8.5",$83.15 ,3rd Party (A3V17JP5RCORRR),no,,$83.15 ,$99.95 ,B09GWF5Q16,0196361118956,196361118956,B09X3VCVP2,Steve Madden
"Steve Madden Women's Echo Fisherman Sandal, White, 9",$65.67 ,3rd Party (A24V851RG6UNB7),no,,$52.99 ,$118.94 ,B0BGMGLJ4F,0196829227381,196829227381,B0C632W6GR,Steve Madden
"Steve Madden Women's Catia Wedge Sandal, Natural Leather, 7.5",$44.95 ,3rd Party (A1G9RBEK6CB71F),no,,$44.95 ,$89.99 ,B07LDFXTHF,0193408291580,193408291580,B085477788,Steve Madden
"New Balance Men's CT300 V3 Sneaker, White/Black, 7.5",,,no,,$135.00 ,$135.00 ,B09K4SP3CM,0196307091107,196307091107,B0BLT6CB7D,New Balance
"New Balance Women's 327 Sneaker, Moonbeam/December Sky, White, Pink, 6 Medium US",,,no,,,$158.64 ,B0BQCK713M,0196652760987,196652760987,B0BSS8J4X8,New Balance
"New Balance Women's 327 Sneaker, Moonbeam/December Sky, White, Pink, 11 Medium US",,,no,,$189.95 ,$189.95 ,B0BQCLKY38,0196652761083,196652761083,B0BSS8J4X8,New Balance
"New Balance Men's, 680v6 Running Shoe Dark Grey, 14 Wide",,,no,,$84.95 ,$84.95 ,B09FZ7Y3BT,0195481298111,195481298111,B08M4BWJ3C,New Balance
"New Balance Men's Fresh Foam X 1080 Unlaced V1 Running Shoe, Black/White, 11",,,no,,,$218.41 ,B096N8WR6Z,0196071069487,196071069487,B0CVTTYB7K,New Balance
"Cole Haan Men's Original Grand Chukka Boot, BLACK/BLACK, 13 W US",,,no,,$177.29 ,$269.99 ,B0798KDJRS,0190595993310,190595993310,B0798CX2L1,Cole Haan
"New Balance Men's FuelCell 996v5 Clay Tennis Shoe, Bleached Lime Glo/Graphite/0, 11.5 Wide",,,no,,$134.95 ,$134.99 ,B0CCF6175T,0197375536644,197375536644,B0CCFDKKC3,New Balance
"Cole Haan Men's Zerogrand WFA Stitchlite Sneaker, Marine Blue/Egret, 12 Wide",,,no,,$178.99 ,$184.99 ,B0BQ5NX5LK,0196414155914,196414155914,B0BPWSPMQC,Cole Haan
"Cole Haan Men's Osborn Grand 360 Plain Toe Oxford, Tornado/Microchip, 8.5 Wide",,,no,,,$190.00 ,B0BYLMY8Z5,0196414370539,196414370539,B0BPXS2T76,Cole Haan
"New Balance Men's FuelCell 100 V2 Cross Trainer, White/Ice Blue, 7 Wide",$87.99 ,3rd Party (AH1YFAUS3NHX2),yes,,$87.99 ,$109.99 ,B0BHKSD9NB,0196652942130,196652942130,B0BJ7ZD556,New Balance
"New Balance Women's BBW80 Sneaker, White/Metallic Silver/0, 6.5",,,no,,$123.00 ,$123.00 ,B0CGJDN6FF,0197376280508,197376280508,B0CGJSBN6M,New Balance
"Steve Madden Women's Excite Heeled Sandal, Orange Suede, 10",$119.95 ,3rd Party (AH1YFAUS3NHX2),yes,,$71.99 ,$119.95 ,B0CLSX4MRY,0198024058739,198024058739,B0CJ12WR41,Steve Madden
"Steve Madden Women's Excite Heeled Sandal, Orange Suede, 8.5",$119.95 ,3rd Party (AH1YFAUS3NHX2),yes,,$71.99 ,$119.95 ,B0CLT43NGN,0198024058708,198024058708,B0CJ12WR41,Steve Madden
"Steve Madden Women's Excite Heeled Sandal, Natural Raffia, 9",$119.95 ,3rd Party (AH1YFAUS3NHX2),yes,,$119.95 ,$119.95 ,B0CHZHPFPX,0198024034047,198024034047,B0CJ12WR41,Steve Madden
"Steve Madden Women's Excite Heeled Sandal, Natural Raffia, 9.5",$119.95 ,3rd Party (AH1YFAUS3NHX2),yes,,$119.95 ,$119.95 ,B0CHZJ6Q56,0198024034078,198024034078,B0CJ12WR41,Steve Madden
"Steve Madden Women's Excite Heeled Sandal, Green Suede, 8",$84.44 ,3rd Party (AH1YFAUS3NHX2),yes,,$71.99 ,$119.95 ,B0CHZJKTMQ,0198024033972,198024033972,B0CJ12WR41,Steve Madden
"New Balance 574 PS Girls Shoes Size 13, Color: Purple/White",$64.90 ,3rd Party (A8J09E2FDMZCY),yes,,$64.90 ,$64.90 ,B0CZF19GSZ,0194389568531,194389568531,B0CRDDH3HD,New Balance
"New Balance Kids 574 V1 70s Racing Lace-up Sneaker, TEAM ROYAL/WHITE/TRUE RED, 13 M Little Kid (4-8 Years)",$71.34 ,3rd Party (A1L771VVVO0RJK),no,,$56.39 ,$64.99 ,B09YB9LSLF,0196432556410,196432556410,B0CRDDH3HD,New Balance
"New Balance Men's Fresh Foam X Defender SL Golf Shoe, Grey/Blue, 10.5",$99.95 ,3rd Party (A27F0VSG73P1QR),no,,$99.95 ,$173.36 ,B09C12SFQJ,0889993229700,889993229700,B0CQMXNPXG,New Balance
"Cole Haan Men's GOTO Wing Oxford, Pinot, 10.5",$121.32 ,3rd Party (AGCBFSJ4B9UIH),no,,$106.37 ,$151.97 ,B08SQ3JMP9,0194736514129,194736514129,B0CWT3156C,Cole Haan
"New Balance Women's Fresh Foam Tempo V1 Running Shoe, Uv Glo/Virtual Sky, 12",,,no,,$138.39 ,$181.00 ,B086TFPVDV,0194768804588,194768804588,B07VPT4HZ5,New Balance
Cole Haan Mens 4.zerØgrand Regatta Boat Shoes Tan 11.5,$153.95 ,3rd Party (A1C6SHUL08OHRJ),no,,$153.95 ,$187.95 ,B0C6CLBBWP,0196414876307,196414876307,B0BPX4DCJN,Cole Haan
"Cole Haan Men's Grandpro Rally Canvas T-Toe Sneaker, Microchip/Optic White, 11",,,no,,$122.95 ,$174.91 ,B0B69LFC9Q,0196414135725,196414135725,B0BPX4DCJN,Cole Haan
"Cole Haan Men's Grand Crosscourt Wingtip Sneaker, Black/Black, 12 M",,,no,,$144.33 ,$197.47 ,B0992YGTFQ,0194736835750,194736835750,B0993717NW,Cole Haan
Cole Haan Mens Zerogrand Remastered Wingtip Leather Tornado Cloud Blue Shoes 8 US,$206.80 ,3rd Party (AB8PP5ABO5Y5C),no,,$206.80 ,$206.80 ,B0D14X9DDH,0196414489262,196414489262,B0CB9K8WSB,Cole Haan
"New Balance Baby Boys' Shorts Set - 2 Piece T-Shirt and Gym Shorts - Summer Outfits for Infants, Toddlers, Boys (12M-7), Size 18M, GreyBlack",$22.99 ,3rd Party (A2AFJ1SJWF3R1X),yes,,$22.99 ,$22.99 ,B0CTNWHLRY,0195187879713,195187879713,B0CTNWZFYF,New Balance
