Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box)
"Birkenstock Original Milano ESD Birko Flor Narrow Width, Black L7 M5 38,0",530314,598873,,,$148.98 ,$218.67 ,$115.73 ,A2PM2LFH21HQNQ,1,B00G9V77QE,4.052E+12,4052001199319,B00INUXPD8,Birkenstock,no
Birkenstock Women's Boston Cocoa Wool Clogs 45 M EU / 12 F(M) UK,669387,2269755,,,$194.67 ,$334.10 ,$217.41 ,A2PM2LFH21HQNQ,1,B003BZ970A,4.01387E+12,4013871778813,B07J4LQPHY,Birkenstock,no
Birkenstock 1024199138 Arizona SFB Old Rose Nb R 38,1619267,1340066,$167.25 ,2,$165.00 ,$251.50 ,$165.00 ,A1C20BH4U0AX41,1,B0BTBTFWVD,0192761078968,0192761078968,B0CGT9X9SV,Birkenstock,yes
"Birkenstock Women's Madrid Big Buckle Sandals, White, 10 Medium US",462485,1231656,$129.95 ,5,$129.95 ,$250.73 ,$129.95 ,A1L773GETBGUZ2,5,B08RS2FHNS,0822698671924,0822698671924,B09B2BCCCV,Birkenstock,no
"Birkenstock Men's EVA Arizona Sandals, Black, 11 Medium US",602449,233194,$54.57 ,12,$54.57 ,$100.00 ,$80.37 ,AB8PP5ABO5Y5C,2,B0B8GQ674Z,0886454426517,0886454426517,,Birkenstock,yes
"Birkenstock Classic Women's Madrid Birko-Flor Patent Mules, White (Weiss Lack), 8",449481,861968,,,$195.95 ,$195.95 ,$198.57 ,A3LKHEMJ2S42DV,1,B01N56KFHH,4.05261E+12,4052605933531,B07STDHJ5C,Birkenstock,no
Birkenstock 1016790338 Arizona Ds Khaki Bf N 38,539239,852074,$109.95 ,1,$109.95 ,$188.05 ,$104.86 ,A2F3U3NJJC3IJO,3,B07VF9MF2C,0822698139998,0822698139998,B0CLHCRYH8,Birkenstock,no
"Birkenstock Girls Buckle Sandal, Cosmic Sparkle White, 7.5 Little Kid",648814,737793,,,,$121.95 ,,-,,B07ZTWKC6D,4.03985E+12,4039854932225,B09SBTVNFK,Birkenstock,no
Birkenstock 1001113038 Birkosport Medium 38,340522,332138,$64.95 ,3,$38.90 ,$151.36 ,$70.96 ,"AYN5A0CZC142X, ANZYNJW9IIF9C",3,B00591TIBC,0822698010457,0822698010457,B0BF11Q16W,Birkenstock,yes
Birkenstock Women's Dusty Blue,586487,759143,,,$155.00 ,$235.52 ,$141.43 ,-,1,B09N9XMZCX,0887759276319,0887759276319,B007IGOOUQ,Birkenstock,no
