Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box)
"Birkenstock Women's GIzeh Thong Sandal, Black (Birko Flor), 40 N EU/9-9.5 2A(N) US",13941,21424,,,,$199.00 ,,-,,B000I68B3O,0809410073952,0809410073952,B004EIHD18,Birkenstock,yes
"Birkenstock Women's Sandals, Sand Nubuk, 13-13.5 Narrow",13882,21965,,,,,,-,,B002S3435U,4.04071E+12,4040714204055,B004EIHD18,Birkenstock,no
"Birkenstock Women's Sandals, Stone Birkibuc, 14-14.5 Narrow",13887,21549,,,,,,-,,B002N1GRVU,4.04071E+12,4040714777795,B004EIHD18,Birkenstock,no
"Birkenstock Gizeh, Women's Sandals, ivory (ral 1013), 5.5",14282,17916,,,,$253.95 ,$263.34 ,-,,B0CRVYDHNP,4.06665E+12,4066648035107,B004EIHD18,Birkenstock,no
"Birkenstock Unisex Sandals, Blue, 10-10.5 US Women",13496,20939,,,,$150.00 ,,-,,B000KC5Y72,4.04071E+12,4040714301273,B004EIHD18,Birkenstock,no
"Birkenstock Unisex Sandals, Blue, 9-9.5 US Women",13590,21678,,,,$151.22 ,,-,,B000KC1SQS,4.04071E+12,4040714301266,B004EIHD18,Birkenstock,no
Birkenstock Unisex Adults Gizeh Open Toe Summer T-Bar Birko Flor Sandals - Blue - W6/M4,13639,21315,,,,$236.95 ,$214.38 ,-,,B000MSVW48,4.01387E+12,4013871369202,B004EIHD18,Birkenstock,yes
Birkenstock 1005048142 Gizeh Sfb Met Copper Ltr 42,13803,21688,,,,$251.44 ,$234.59 ,-,,B01J4HELKO,0886925556828,0886925556828,B004EIHD18,Birkenstock,no
"BIRKENSTOCK Model Gizeh EVA Gold T., Gold, 9.5",14020,17926,,,,$113.44 ,$130.34 ,-,,B0B4GSW3Z5,4.06142E+12,4061417604324,B004EIHD18,Birkenstock,no
"Birkenstock Women's Flip Flops, White Varnish, 9",14002,21299,,,,$149.99 ,$109.00 ,-,,B07MXM28LG,4.052E+12,4052001504595,B004EIHD18,Birkenstock,yes
"Birkenstock Women's Sandals, Pool Varnish, 12-12.5 Narrow",13784,23420,,,,,,-,,B003ART6XM,4.04071E+12,4040714533360,B004EIHD18,Birkenstock,no
"Birkenstock Unisex Arizona Sandal,Mocha Birkibuc,36 N EU",308486,144413,,,,$225.00 ,$110.00 ,-,,B005G1DWLM,0809410059277,0809410059277,B000EYBKY2,Birkenstock,no
"Birkenstock Arizona H SYN Indigo, Blue, 40 EU",5425501,12371630,,,,$207.95 ,$219.97 ,-,,B0BZD7R7GX,4.06142E+12,4061417838644,B000EYBKY2,Birkenstock,no
"Birkenstock Unisex Boston Clog,Habana Oiled Leather,38 M EU",35954,26490,,,,$250.73 ,$142.25 ,-,,B003JBHDDE,0809410438140,0809410438140,B000HDNWFK,Birkenstock,yes
"Birkenstock Boston Classic Arch Clog,Tobacco Brown Leather,36 N EU",35974,26184,,,,$154.00 ,$154.00 ,-,,B004S96T7M,0809410854940,0809410854940,B000HDNWFK,Birkenstock,no
"Birkenstock Men's Boston SFB Heritage Leather Black Suede, 12-12.5 Narrow",35726,26238,,,,$284.07 ,$179.00 ,-,,B000JLOFVK,0809410382917,0809410382917,B000HDNWFK,Birkenstock,no
"Birkenstock Women's Mules Open Toe Sandals, Silver, 4 UK",1843681,5974004,,,,$206.95 ,$215.49 ,-,,B07G37FJH5,"4052605930271, 4044477426013","4052605930271, 4044477426013",B000EYBKY2,Birkenstock,no
Birkenstock Women's Florida Soft Cork Footbed Sandal Mocha 40 Medium EU,59952,80567,,,,$213.56 ,$126.32 ,-,,B071VRQP6Z,4.04071E+12,4040714846705,B01BR6MK6C,Birkenstock,yes
"BIRKENSTOCK Women's Mules, Blue, 40 EU Schmal",5336263,6429634,,,,$250.65 ,$245.98 ,-,,B000MSW1EI,4.01387E+12,4013871020813,B000EYBKY2,Birkenstock,no
"Birkenstock Women's Narrow Fit Sandals, White, 6",60169,79626,,,,$179.74 ,,-,,B004329BCE,4.04071E+12,4040714891521,B09XP33DDH,Birkenstock,no
"Birkenstock Women's Narrow Fit Mules, Brown Electric Metallic Copper, 9",58320,78196,,,,$136.00 ,,-,,B07MYMBW8S,4.01153E+12,4011526937011,B09XP33DDH,Birkenstock,no
Birkenstock Women's Gizeh SFB Leather Regular Fit Sandal Metallic Silver-Silver-5,60116,79638,,,,$237.15 ,$235.30 ,-,,B01M7SCRTJ,4.05261E+12,4052605658526,B09XP33DDH,Birkenstock,no
Birkenstock Unisex Arizona Essentials EVA White Sandals - 41 EU Narrow,60338,80021,,,,$119.95 ,$66.55 ,-,,B00LFCIIJC,4.052E+12,4052001424909,B09XP33DDH,Birkenstock,no
"BIRKENSTOCK Women's Flip Flops, Metallic Silver, 10 Narrow",60630,79733,,,,$264.95 ,$260.81 ,-,,B01M7SCRN9,4.05261E+12,4052605658588,B09XP33DDH,Birkenstock,no
"Birkenstock Women's Madrid EVA, Pink Pink Neon Pink, 4.5 UK",57380,78834,,,,$92.45 ,,-,,B00XG0YKFC,4.052E+12,4052001584382,B09XP33DDH,Birkenstock,no
"Birkenstock Women's Heels Sandals, White, 5.5",60941,79677,,,,$147.15 ,$98.85 ,-,,B00LFC4DXM,4.052E+12,4052001424459,B09XP33DDH,Birkenstock,no
Birkenstock Unisex Arizona BS Birko-Flor Silver Sandals 10 W / 8 M US,61937,61937,,,,$108.31 ,$105.70 ,-,,B0CTN1JSD8,0886457267988,0886457267988,B001EJNJN6,Birkenstock,no
Birkenstock 1022510341 Arizona Dusty Blue Eva N 41,98746,121962,,,,$133.06 ,$98.24 ,-,,B09N5DNWNX,0887759628996,0887759628996,B073H46FB1,Birkenstock,yes
"Birkenstock Unisex Honolulu EVA Sandal, Navy, 36 R EU",95037,519248,,,,$79.95 ,$79.95 ,-,,B08CPV3L5Y,0802436769007,0802436769007,B08P154LKZ,Birkenstock,no
Birkenstock 1019055140 Honolulu Purple Fog Eva R 40,95451,520356,,,,$92.01 ,$79.95 ,-,,B08P29GLNJ,0822698701881,0822698701881,B08P154LKZ,Birkenstock,no
"Birkenstock Girl's Sandal, Kaki, 6 us",114529,1341396,,,,$81.95 ,$79.95 ,-,,B08NXJRFPP,4.06142E+12,4061416489380,B079PRFQBM,Birkenstock,no
"Birkenstock Women's Madrid Big Buckle Sandals, Black Oiled Leather, 39 Narrow",114013,194785,,,,$147.06 ,,-,,B0CRCB29V8,0736399995640,0736399995640,B079PRFQBM,Birkenstock,yes
"Birkenstock Women's Madrid Big Buckle Sandals, White, EU 38 (US 7-7.5)",127137,127137,,,,$260.65 ,$260.65 ,-,,B09F2T5NHB,4.06142E+12,4061416277536,B079PRFQBM,Birkenstock,yes
"Birkenstock Women's Madrid Big Buckle Sandals, Cognac Oiled Leather, 38 Narrow",117033,190379,,,,$139.95 ,,-,,B0CRCKBPRH,0736399995688,0736399995688,B079PRFQBM,Birkenstock,yes
Birkenstock Women's Madrid Big Buckle Narrow Fit Sandal Graceful Licorice-5 Black,118383,206406,,,,$230.95 ,$241.26 ,-,,B07KYF6GC2,4.03985E+12,4039854763744,B079PRFQBM,Birkenstock,no
"Birkenstock Women's Madrid Big Buckle Sandals, Orchid, Purple, Pink, 7 Medium US",112091,219575,,,,$233.18 ,$164.31 ,-,,B09MSMBRM1,0887759510710,0887759510710,B079PRFQBM,Birkenstock,no
"Birkenstock Men's Arizona Shearling Sandals, White Wool, 8 Medium US",78844,177606,,,,$228.44 ,$155.05 ,-,,B08CS144YR,0822698495001,0822698495001,B01MSYS2UL,Birkenstock,no
"Birkenstock Women's Tongs Sandal, Graceful Lavender Blush, 8",83744,78460,,,,$126.95 ,$89.99 ,-,,B08KHMQ21T,4.06142E+12,4061416281946,B01MSYS2UL,Birkenstock,no
Birkenstock 1025007140 Mayari V Pecan Bb R 40,81062,78154,,,,$190.05 ,$188.23 ,-,,B0BTN2PN6W,0192761300601,0192761300601,B01MSYS2UL,Birkenstock,no
"Birkenstock Women's Arizona Sandal, Concrete Gray, 6",184436,390273,,,,$199.00 ,,-,,B08NXVCJG9,4.06142E+12,4061416643447,B0816GTS1V,Birkenstock,no
"Birkenstock Women's Arizona Sandal, Shiny Python Eggshell Gold, 7",82371,79264,,,,$237.73 ,,-,,B08M49F68K,4.06142E+12,4061416448608,B01MSYS2UL,Birkenstock,no
"Birkenstock Women's 1016417_40 Slides, Gold, Women 2",82417,77914,,,,$132.50 ,,-,,B084KBQHR6,4.04373E+12,4043734795008,B01MSYS2UL,Birkenstock,no
Birkenstock Milton Black Suede 45 (US Men's 12-12.5) Regular,82181,186132,,,,$219.95 ,$219.95 ,-,,B094W78YNB,0822698266663,0822698266663,B01MSYS2UL,Birkenstock,no
"Birkenstock Women's Boston Shearling Clogs, Light Rose/Light Rose, Pink, 8 Narrow Women/6 Men",83074,77918,,,,$300.73 ,$269.06 ,-,,B09F9CLH9V,0886454801901,0886454801901,B01MSYS2UL,Birkenstock,no
Birkenstock Unisex Professional Boston Super Grip Leather Slip Resistant Work Shoe - White - Size 44 (13 Women/11 Men),174163,171198,,,,$189.00 ,$189.00 ,-,,B003V6SXM2,0736399084146,0736399084146,B07J5KTNYK,Birkenstock,no
Birkenstock 1014190138 Mayari Wht W/Copper Bf R 38,120828,179058,,,,$152.88 ,$84.95 ,-,,B07H45VHQY,0802436413818,0802436413818,B0C6Z24282,Birkenstock,no
"Birkenstock Womens Yara Leather Open Toe Casual Strappy Sandals, Mocha, Size 9.0",207889,295489,,,,$188.99 ,$135.00 ,-,,B0791KXG19,0886457213985,0886457213985,B00ES8FEQ0,Birkenstock,no
"Birkenstock Women's GIzeh Thong Sandal, Graceful Antique Lace, 41 N EU/10-10.5 2A(N) US",248701,272216,,,,$119.95 ,$119.95 ,-,,B005GCBIRG,0809410949080,0809410949080,B07ZZDZF7X,Birkenstock,yes
"Birkenstock Women's Clogs and Mules, White, 7.5",204593,318553,,,,$160.12 ,$143.09 ,-,,B000UWNVW2,4.01387E+12,4013871084259,B07C9X4GCM,Birkenstock,no
"Birkenstock Unisex Clogs, White, 6 US Men",210300,327066,,,,$160.12 ,,-,,B000QE2P08,4.01387E+12,4013871084235,B07C9X4GCM,Birkenstock,no
"Birkenstock Unisex's Clogs and Mules, Black, 8 us",215583,332871,,,,$160.12 ,$143.90 ,-,,B0013W9HF8,4.01387E+12,4013871900405,B07C9X4GCM,Birkenstock,no
"Birkenstock Clogs, Black, 4.5 US Unisex Big Kid",221021,343268,,,,$252.95 ,,-,,B000MSY4QG,4.01387E+12,4013871061533,B07C9X4GCM,Birkenstock,no
BIRKENSTOCK Women's Arizona Sandal Taupe Suede Size 38 M EU,243506,255757,,,,$149.95 ,$98.95 ,-,,B07N14ZYTQ,0736399065831,0736399065831,B004S98O6G,Birkenstock,no
"BIRKENSTOCK Men's Clogs Clogs , Noir Black , 9 US",482609,539508,,,,$235.13 ,$248.93 ,-,,B07CVN7GG1,4.04071E+12,4040714383002,B07J4LQPHY,Birkenstock,yes
Birkenstock Arizona EVA (Toddler/Little Kid/Big Kid) White Eva EU 26 (US 8.5 Toddler) Narrow,325875,623542,,,,$34.95 ,,-,,B09TVBKSS5,0822698676622,0822698676622,B0792HC62X,Birkenstock,yes
"Birkenstock Women's Arizona SFB Open Toe Sandals, Green (Vert Forest Vert Forest), 5 UK",224912,226598,,,,$156.99 ,,-,,B07F859KC4,4.04448E+12,4044477292151,B01NCNBCCK,Birkenstock,no
"Birkenstock Women's Arizona Sandal, Blue, 8-8.5",227333,233609,,,,$143.01 ,,-,,B07TP7LYM8,4.03985E+12,4039854375305,B01NCNBCCK,Birkenstock,no
Birkenstock Unisex Clogs Super-Birki - Red - Men 15-15.5,208064,208495,,,,$85.07 ,,-,,B000KCV7D2,4.01387E+12,4013871462354,B00I84NRP0,Birkenstock,no
"Birki Unisex Clogs & Mules, Yellow, 9 US Men",205516,216097,,,,$71.20 ,,-,,B00432JNZY,4.03986E+12,4039855624877,B00I84NRP0,Birkenstock,no
Birkenstock Arizona - Habana Oiled Leather EU 40 Narrow,37197,16136,,,,$139.95 ,,-,,B0CRBLM4Q4,0736399995213,0736399995213,B0CZ1MTFP8,Birkenstock,yes
"Birkenstock Women's Mules Yao Balance Birko-Flor Gold Sandal, 9",223318,223614,,,,$136.95 ,,-,,B07ZTH3ZCN,4.04373E+12,4043734863769,B07ZS6Y3S7,Birkenstock,no
"Birkenstock Women's Slide Sandal, Mocca, 10",228603,242186,,,,$149.95 ,$124.88 ,-,,B07ZTGT2QF,4.04373E+12,4043734779220,B07ZS6Y3S7,Birkenstock,no
Birkenstock 1022243141 Sonora Ggr BRN Oil LTR R 41,500181,3652698,,,,$291.25 ,$291.25 ,-,,B09NCKJMJL,0887759562474,0887759562474,B00INUXPD8,Birkenstock,yes
"Birkenstock Milano Smooth Leather, Unisex Adults' Sandals, Brown (Dunkelbraun), 8 UK Slim",249405,294311,,,,$317.32 ,,-,,B003AQCQYO,"0736399042023, 4013871041368","0736399042023, 4013871041368",B003AM95EM,Birkenstock,no
Birkenstock New Women's Yao Slide Sandal Dove Blue Nubuck 39 N,363706,415066,,,,$139.99 ,$110.00 ,-,,B07VHY6BZ6,0822698139486,0822698139486,B07GSFQWKQ,Birkenstock,no
"BIRKENSTOCK Arizona SFB Birko-Flor Men's Sandals, Soft Bed, Normal, Chocolate 1023445, 10 US",292056,772976,,,,$170.95 ,$105.86 ,-,,B0B8KYDJHL,4.06142E+12,4061417962660,B0C6LFPBH2,Birkenstock,yes
Birkenstock Unisex Clogs Super-Birki - Blue - Woman 11-11.5 / Men 9-9.5,215801,209313,,,,$152.95 ,$98.45 ,-,,B000MUZ4YK,4.01387E+12,4013871267751,B00I84NRP0,Birkenstock,no
"Birkenstock Girls Buckle Sandal, Cosmic Sparkle White, 7.5 Little Kid",648814,737793,,,,$121.95 ,,-,,B07ZTWKC6D,4.03985E+12,4039854932225,B09SBTVNFK,Birkenstock,no
"Birkenstock Women's Boston Soft Footbed Clogs, Black, 7-7.5 Narrow",298933,309563,,,,$280.72 ,$214.47 ,-,,B000GLPZXK,0809410382849,0809410382849,B000GLRPB0,Birkenstock,no
Birkenstock Men?s Profi-Birki Black Alpro-Foam Sandals 42 EU (M9/L11 US) R 074011,686641,575472,,,,$292.48 ,$107.57 ,-,,B000MV0BKQ,4.01387E+12,4013871345015,B000ZNPYO4,Birkenstock,yes
"Birkenstock Men's Boston Soft Footbed Clogs, Iron, Grey, 10-10.5 Women/8-8.5 Men",294473,305471,,,,$280.73 ,$153.00 ,-,,B079K9KZW8,0886457914097,0886457914097,B000GLRPB0,Birkenstock,no
"Birkenstock Kids Gizeh Sandals, MF Metallic Stones Pink, 4-4.5 Big Kid",1119077,1058183,,,,$139.99 ,$59.99 ,-,,B0BM8QSS84,0886925961943,0886925961943,B09SBTVNFK,Birkenstock,no
Birkenstock Gizeh Kid's Hologram Pink Birko-Flor Sandals 32 EU (US 1-1.5 Little Kid),487246,731809,,,,$64.95 ,$64.95 ,-,,B07FBMKQ3Q,0886457791995,0886457791995,B09SBTVNFK,Birkenstock,no
"Birkenstock Women's Sandales Sydney Birko-Flor Graceful Taupe, 9",560937,954005,,,,$226.65 ,$189.07 ,-,,B07YLXYVQ1,4.04373E+12,4043734718908,B0816GHF2S,Birkenstock,yes
"Birkenstock Men's Zermatt Slippers, Anthracite, Grey, 9 Medium US",754027,551467,,,,$183.99 ,$119.02 ,-,,B07PGJV6FY,0802436667150,0802436667150,B0CTMLWYW9,Birkenstock,no
Birkenstock 1017828340 Buckley- Tea Sd N 40,715419,678958,,,,$267.32 ,$150.00 ,-,,B087ZYWH98,0822698425848,0822698425848,B0BZQS8PKW,Birkenstock,no
"Birkenstock Women's Zermatt 365 Suede Clogs, Lavender Blush, Purple, 11 Medium US",598756,423226,,,,$258.98 ,$144.95 ,-,,B09MSMGG6B,0887759287704,0887759287704,B0CFGR3K8Z,Birkenstock,no
"Birkenstock Mens Ramses Thong Sandals, Black, Size 43 EU (10-10.5 M US Men)",1111024,931922,,,,$140.00 ,$114.00 ,-,,B01MYWD7QU,0736399131659,0736399131659,B003AM8V2O,Birkenstock,no
