Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: UPC,Prime Eligible (Buy Box),Parent ASIN,Brand,Product Codes: EAN,PID,Black_list
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Black/Purple/Coral - 5 Narrow,83,70,,,$134.99 ,$247.62 ,$122.74 ,A325BWLW9IYYOY,1,B09MJSG3D8,1.95394E+11,yes,B0C62SXDLR,Brooks,1.95394E+11,9458970127578515801,V
Brooks Men's Adrenaline GTS 22 Supportive Running Shoe - Black/Bittersweet/Limelight - 8.5 Medium,710,480,,,$145.90 ,$199.99 ,$159.83 ,AZ3XNKNN838E9,2,B0BHKYWJQ1,1.95394E+11,no,B08QTW6QFH,Brooks,1.95394E+11,94435120828645061,V
Brooks Men's Levitate 5 Neutral Running Shoe - White/Bluebird/Black - 10 Medium,218396,170805,,,$189.98 ,$196.22 ,$189.98 ,A1PF2RJVZ25QD4,1,B09MVBQZMP,1.95394E+11,no,B09MVB1489,Brooks,1.95394E+11,9341335223602470837,V
Brooks Women’s Caldera 6 Trail Running Shoe - Slate/Cheddar/Silver Gray - 9 Medium,9851,13234,,,$174.19 ,$188.23 ,$159.32 ,A1MLP04OASBI2Z,9,B0BJ4JX2VP,1.95394E+11,no,B09MGD7X8G,Brooks,1.95394E+11,9340418600707061374,V
Brooks Dare Racerback 2.0 Women’s Run Bra - Asphalt - 40F,71914,101598,$75.00 ,2,$74.99 ,$75.00 ,$74.99 ,A3NWHXTQ4EBCZS,5,B09HSTB887,1.95394E+11,no,B0CLBNY9QK,Brooks,1.95394E+11,9330532529899450274,V
Brooks Men's Levitate 4 Running Shoe - Black/Blackened Pearl/White - 10.5,89831,505049,$149.95 ,1,$149.95 ,$198.33 ,$193.68 ,A1R2LN4EZ9SAP8,3,B083R6T85Y,1.90341E+11,no,B08Q5LFX6Z,Brooks,1.90341E+11,9314256620373310759,V
Brooks Women's Levitate 5 Neutral Running Shoe - Ebony/Black/Lilac - 5 Medium,172668,137710,,,$189.98 ,$189.98 ,$189.98 ,A1PF2RJVZ25QD4,1,B09B2X3MVH,1.95394E+11,yes,B0B41982ZR,Brooks,1.95394E+11,9300739153266691996,V
Brooks Women's Glycerin GTS 20 Supportive Running Shoe - Black/White/Alloy - 9 Wide,4172,4237,,,$220.00 ,$276.50 ,$220.00 ,A1PF2RJVZ25QD4,1,B096YMSSSZ,1.95394E+11,no,B0BMZMYKQ1,Brooks,1.95394E+11,9273369224010438919,V
Brooks Men's Ghost 15 Neutral Running Shoe - Blue/White - 12 Medium,109,191,,,$181.39 ,$241.55 ,$180.91 ,A31AXZ2ONSA7MG,5,B0BHXTRV45,1.95394E+11,yes,B09RRZXQHS,Brooks,1.95394E+11,9236222096792011646,V
"Brooks Men's Rush Jogger, Heather Black, Small",3505756,3169896,$83.48 ,1,$75.99 ,$164.85 ,$83.48 ,A1ZJW9GWSYIH9Q,1,B07LDGF4G8,1.90341E+11,no,B07S5X1STW,Brooks,1.90341E+11,9221587649498703045,V
Brooks Women's Hyperion Tempo Road Running Shoe - Black/Silver/White - 5.5 Medium,10983,9614,,,$223.49 ,$223.49 ,$233.44 ,A2E1VN4OEXE0LB,1,B087W3GR9X,1.90341E+11,yes,B089TMQRTF,Brooks,1.90341E+11,9218635042628365417,V
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - White/Oyster/Primer Grey - 11 Medium,85,72,,,$144.28 ,$243.28 ,$128.06 ,A3KPHGJZVOLD1G,1,B08QTZ5MKG,1.90341E+11,no,B0C62SXDLR,Brooks,1.90341E+11,9201759570030881361,V
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Black/Purple/Coral - 12 Medium,83,70,,,$145.02 ,$163.09 ,$105.69 ,A2I4KIISCXKZBK,2,B08QVJL4HY,1.90341E+11,no,B0C62SXDLR,Brooks,1.90341E+11,9196605374602013176,V
Brooks Men's Adrenaline GTS 22 Supportive Running Shoe - Alloy/Grey/Black - 12 Wide,704,479,,,$163.09 ,$163.15 ,$149.28 ,A1MLP04OASBI2Z,1,B08QTRF31Q,1.90341E+11,yes,B08QTW6QFH,Brooks,1.90341E+11,9191099151664475305,V
Brooks Women's Ghost 15 Neutral Running Shoe - Rhapsody/Dress Blue/Viola - 7 Medium,49,71,$109.95 ,,$109.95 ,$207.81 ,$180.15 ,A31AXZ2ONSA7MG,2,B0BSD74FB3,1.95394E+11,yes,B0CKKBPDKF,Brooks,1.95394E+11,9180255233148349923,V
Brooks Distance Tank 2.0 Heather Asphalt/Run Lucky MD (US Women's 8-10),1243699,1091141,$24.28 ,,$24.28 ,$40.00 ,,-,0,B0BQVP99F2,1.95394E+11,yes,B0BMLXFBRD,Brooks,1.95394E+11,9176697675982459273,V
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Ginger/Black/Citrus - 8 Medium,86,71,,,,$219.90 ,,-,,B0BHKS9PPZ,1.95394E+11,yes,B0C62SXDLR,Brooks,1.95394E+11,9146358962115073702,V
"Brooks Ghost 14 Sneakers for Men Offers Soft Fabric Lining, Plush Tongue and Collar, and L Lace-Up Closure Shoes Black/White/Silver 9.5 D - Medium",10857,7225,,,$160.99 ,$235.51 ,$160.99 ,AARE9XK4E62SZ,1,B095QQPZPQ,1.95394E+11,no,B0C699QDPJ,Brooks,1.95394E+11,9102822435888834558,V
Brooks Womens Adrenaline GTS 20 Running Shoe - Ebony/Black/Hollyhock - B - 10.5,367088,323082,$147.16 ,1,$139.66 ,$354.32 ,$147.16 ,A2L08LAS8PARNC,1,B07MBGPCHK,1.90341E+11,no,B07WWPNL2W,Brooks,1.90341E+11,9094622563601450897,V
