Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Black_list,PID
"Skechers Men's Gray Grey, 14",287847,255249,,,$62.35,$144.65,$64.18,A1LEM297LNF1FK,1,B082WKB71V,194428387833,194428387833,B0B468NPHJ,Skechers,no,V,10560158541738144571
"Skechers Women's Sneaker, Light Grey, 8.5",297104,280921,$48.97,1,$48.97,$152.09,$49.06,A1BNXE6U3W2NOH,1,B096KP8695,195969320969,195969320969,B09HPH4T25,Skechers,no,V,10581083642448909678
"Skechers mens Gorun Consistent - Athletic Workout Running Walking Shoe With Air Cooled Foam Sneaker, Grey/Navy, 10 X-Wide US",224036,166117,$57.34,11,$49.99,$126.01,$57.34,A2OTE410JXLA5O,1,B07W7W9BY4,193642332667,193642332667,B0CR8BPKG4,Skechers,no,V,10603666735308503473
"Skechers Women's GO Walk Flex-Bright Summer Sneaker, Black, 6.5",223163,211181,,,$76.02,$76.02,$76.02,AP3VA1GJZM3EQ,1,B09SNXK8LY,196311546877,196311546877,B0CLDWD1Y2,Skechers,no,V,10626580161819084748
"Speedo mens Swimsuit Jammer Endurance+ Splice Team Colors Short, Maroon/Black Spark, 36 US",38838,34549,,,,$68.41,$59.50,-,,B07HB8Z8R9,27556252783,27556252783,B0CGYJCNSL,Speedo,no,V,10661679887472997336
"Skechers womens Arch Fit Uplift - Perceived Loafer Flat, Grey, 7 US",302214,315598,,,,$84.00,$59.50,-,,B08J89VHR6,195204162903,195204162903,B0C62LHC4K,Skechers,no,V,10676451943938594911
Skechers Satisfaction Flash Point Black/Gray 10.5,963992,957010,$69.59,4,$52.79,$85.45,$69.59,A36M48BBTNHG64,1,B06ZXWG6KN,190872198742,190872198742,B01L4MYTLI,Skechers,no,V,10734834920210271527
"Skechers Women's Microburst 2.0-Best Ever Sneaker, BBK, 7 M US",209947,199645,,,$75.95,$86.98,$80.59,AP3VA1GJZM3EQ,1,B07P5PJ6M5,193113982834,193113982834,B07P5PHCRK,Skechers,no,V,10739434457015003710
"Skechers mens Telfin-sanphet Industrial Shoe, Black Leather Courdura, 10.5 Wide US",275946,289394,,,$74.98,$141.09,$83.12,A3AE2380ROK0L0,1,B07CSPS4MP,192283460562,192283460562,B093SB8J8G,Skechers,yes,V,10830975132249077349
"Skechers Women's GO Walk AIR 2.0-Quick Breeze Sneaker, Black/White, 6",335790,339590,$69.60,2,$69.60,$80.17,$69.60,AFBLHVLJSOBWY,1,B09B2VYLG5,195204389348,195204389348,B097CZ2S4S,Skechers,no,V,10833187473811529780
"Skechers Men's Boot Rain Shoe, Gray, 9",281586,215669,,,$142.53,$144.53,$143.48,A1B43WMIJ58I3U,2,B085B6PM6N,194428601212,194428601212,B093TVV7QF,Skechers,yes,V,10909558820946338830
Skechers Bobs B Cute - Clean Life Blue 6 B (M),119151,147428,,,$49.95,$120.33,$46.40,A1BNXE6U3W2NOH,1,B09BVF3PJ4,195969372623,195969372623,B08PFM8YXK,Skechers,no,V,10927741507657931377
"Skechers Men's Arch Fit Banline Oxford, Taupe, 6.5",237256,192428,,,$116.00,$165.43,$113.76,AP3VA1GJZM3EQ,1,B07YG2CXTB,193642943764,193642943764,B0C21L83NN,Skechers,no,V,10935530425929640364
"Skechers Men's, Work Arch Fit: Riverbound SR Clog Camo",286244,335120,$56.95,1,$51.24,$64.88,$56.95,A137YFL4D3NCBG,2,B09QL99WMD,195969144060,195969144060,B0CBB79LP7,Skechers,no,V,11031054571848776309
Skechers USA Arch Fit MotleyVaseo Mens Slip On 10 DM US Taupe,437753,937262,$74.95,8,$74.95,$139.00,$74.95,A1LEM297LNF1FK,1,B097C8V97Q,195204607268,195204607268,B099NSNGBV,Skechers,no,V,11084909195009854749
"Skechers Women's Work: Weirton - Farous WP Waterproof Boot, Camouflage, 8",422287,450103,$47.95,7,$47.95,$214.34,$44.97,A1OF9NHNVI4T5U,1,B083M9BQDB,193642826111,193642826111,B08X51PT2G,Skechers,no,V,11085517481904015322
