"Title","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Buy Box 🚚: Current","Buy Box 🚚: Stock","New: Current","New: Highest","New, 3rd Party FBM 🚚: 30 days avg.","Lowest FBM Seller","Count of retrieved live offers: New, FBM","ASIN","Product Codes: EAN","Product Codes: UPC","Parent ASIN","Brand","Prime Eligible (Buy Box)"
"Champion Cutting Tool BlackGold XG12-13/16 Silver & Deming 1/2"" Shank Drill: MADE IN USA","156892","130300","$ 36.48","5","$ 35.91","$ 41.24","$ 38.82","A3492A4RFALDQG","3","B001TREZD6","0846035046183","846035046183","B003BT5TQW","Champion","no"
"Champion Cutting Tool BlackGold XG12-1-1/8 Silver & Deming 1/2"" Shank Drill: MADE IN USA","158200","130925","$ 74.00","4","$ 74.00","$ 80.10","$ 75.16","A2I9G61XDT1RQW","3","B001TREZCM","0846035046329","846035046329","B003BT5TQW","Champion","no"
"129-XL28, Champion Brute Platinum, 29 Piece Heavy Duty Brute Platinum Mechanic's Length Drill Set (1 PK)","855942","721101","$ 191.72","1000","$ 191.72","$ 212.72","$ 186.08","-","2","B07M7B1HLM","0846035047944","846035047944","","Champion","no"
"Champion Jersey Knit Dad's Cap Adjustable Black","2894677","3066401","$ 21.38","3","$ 20.38","$ 29.16","$ 20.48","A3MXVU2Y0BWEIR","1","B082M9N67Q","0846679035635","846679035635","B0BLXNRW4S","Champion","no"
"Tommy Hilfiger Girls' Two-Piece Rashguard Swimsuit Set with UPF 50+ Sun Protection, Jolt Pink, 16","2542932","2322408","$ 44.50","1","$ 44.50","$ 46.00","$ 44.50","A2KPABV4LV1QLW","1","B07G2M4BJP","0880680218090","880680218090","B0D45CBTD2","Tommy Hilfiger","no"
"Tommy Hilfiger Girls' Sleeveless Cinched Waist Knit Romper, Blue 1 Shoulder, 8-10","307058","285129","$ 36.99","1","$ 32.50","$ 74.37","$ 36.99","A1LK16Z38LSBU5","1","B07JKVV3Q9","0880680749570","880680749570","B0CZXDSKND","Tommy Hilfiger","no"
"Brooks Mens Addiction Walker Walking Shoe - Black - D - 14.0","1159496","1201946","","","","$ 226.58","$ 217.60","-","","B0012IL9GI","0883439084779","883439084779","B0012HR2I8","Brooks","no"
"Brooks Mens Addiction Walker Walking Shoe - Black - B - 9.0","1146915","1192038","","","$ 229.99","$ 339.99","$ 229.99","A38E5BJHKJK0JT","1","B0012HQZ40","0883439089583","883439089583","B0012HR2I8","Brooks","no"
"Brooks Women's Addiction, Black","","","","","$ 217.09","$ 241.15","$ 217.67","A1MLP04OASBI2Z","1","B0012INDQM","0883439092828","883439092828","","Brooks","no"
"Skechers Men's Energy Afterburn Lace-Up Sneaker, Black/Grey, 16","1574","1487","$ 69.99","","$ 69.99","$ 75.00","$ 87.98","A3F3KWYGC9RXMV","1","B002EVQ8ZO","0883646626083","883646626083","B0CP19XDGZ","Skechers","yes"
"Skechers Men's Expected Avillo Moccasin, Blue, 7 Medium US","2217","2185","$ 69.95","30","$ 69.95","$ 119.00","$ 87.99","-","0","B00E7X96NI","0883646963508","883646963508","B097RFNY9K","Skechers","yes"
"Skechers Men's Expected Avillo Moccasin, Blue, 8.5","2213","2167","$ 69.95","118","$ 69.95","$ 134.88","$ 79.93","-","0","B00E7X99H6","0883646963539","883646963539","B097RFNY9K","Skechers","yes"
"Tommy Hilfiger Men’s Crewneck Logo Sweater (XX-Large, Navy)","5639250","5639250","$ 62.98","13","$ 62.98","$ 78.99","$ 62.98","AM6N2HFGPSJN8","1","B08PW61HHZ","0883849398138","883849398138","","Tommy Hilfiger","no"
"Tommy Hilfiger Mens Stretch Slim Fit Mesh Polo Shirt (Navy White Striped,M)","112523","112523","$ 39.99","2","$ 39.99","$ 39.99","","-","0","B0D2114MWN","0883849442602","883849442602","","Tommy Hilfiger","yes"
"Tommy Hilfiger Mens Stretch Slim Fit Mesh Polo Shirt (Blue White Striped,XS)","115272","115272","","","","$ 39.99","","-","","B0D212DQTB","0883849442657","883849442657","","Tommy Hilfiger","yes"
"Tommy Hilfiger Mens Stretch Slim Fit Mesh Polo Shirt (Blue White Striped,S)","138822","138822","","","","$ 39.99","","-","","B0D216QNYR","0883849442664","883849442664","","Tommy Hilfiger","yes"
"Tommy Hilfiger Mens Stretch Slim Fit Mesh Polo Shirt (Green Navy Striped,M)","236530","236530","$ 39.99","1","$ 39.99","$ 39.99","","-","0","B0D216P478","0883849442749","883849442749","","Tommy Hilfiger","yes"
"Tommy Hilfiger Mens Stretch Slim Fit Mesh Polo Shirt (Green Navy Striped,L)","114279","114279","$ 39.99","2","$ 39.99","$ 39.99","","-","0","B0D21BWH26","0883849442756","883849442756","","Tommy Hilfiger","yes"
"Tommy Hilfiger Denim Men's Essential Cotton Short Sleeved Henley T-Shirt (Navy, M)","735906","639406","$ 39.97","","$ 39.97","$ 39.97","","-","0","B08SJG62L7","0883849505338","883849505338","","Tommy Hilfiger","yes"
"Skechers for Work Women's Eldred Work Shoe, Black, 5 M US","119678","91441","","","","$ 126.61","$ 104.47","-","","B00GM46RIW","0884292006588","884292006588","B0D3272X6R","Skechers","no"
