"Title","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Buy Box 🚚: Current","Buy Box 🚚: Stock","New: Current","New, 3rd Party FBM 🚚: 30 days avg.","Lowest FBM Seller","Count of retrieved live offers: New, FBM","ASIN","Product Codes: EAN","Product Codes: UPC","Parent ASIN","Brand","Prime Eligible (Buy Box)"
"Tommy Hilfiger Men's Crew Sweatshirt (Medium, Grey)","463570","473120","$ 45.98","2","$ 41.16","$ 64.82","A1UHXTO3R3LMBX","1","B082K6XJKL","0008763225678","008763225678","B082K9KY43","Tommy Hilfiger","no"
"Tommy Hilfiger Men's Short Sleeve Button Down Shirt in Custom Fit, Blossom, MD","1172056","1204138","$ 64.99","1","$ 64.99","$ 64.99","A1VB1EYNTDWCN4","1","B07XPRN2GV","0008763262857","008763262857","B0D3V7CWZ1","Tommy Hilfiger","no"
"Tommy Hilfiger Men's Short Sleeve Button Down Shirt in Custom Fit, Tangerine Tango, SM","1201759","1204368","$ 57.99","1","$ 57.99","$ 57.99","A1VB1EYNTDWCN4","1","B07XPX9XRY","0008763262987","008763262987","B0D3V7CWZ1","Tommy Hilfiger","no"
"Tommy Hilfiger Men's Regular Short Sleeve Crewneck T Shirt with Pocket, Lemon Zest, XS","1609721","552512","$ 29.50","1","$ 29.50","$ 29.50","A2MNTTLXBY99QF","1","B07XPDSJDB","0008763270142","008763270142","","Tommy Hilfiger","no"
"Tommy Hilfiger Men's Stretch Chino Pants in Custom Fit, Spiced Coral, 34W X 34L","7116255","6910465","$ 80.50","1","$ 80.50","$ 80.28","-","1","B07XJR4N3R","0008763298177","008763298177","B0D3V1LDC2","Tommy Hilfiger","no"
"Tommy Hilfiger mens Long Sleeve Casual Button-down in Classic Fit Button Down Shirt, Beige Hilfiger, Small US","98041","91896","","","$ 62.99","$ 62.84","-","1","B0846KS4GG","0008763306995","008763306995","B0C59MDR3Y","Tommy Hilfiger","no"
"Tommy Hilfiger Mens TH Flex 5 Pocket Chino Pants (Sky Captain, 32Wx30L)","1571127","1548552","","","","","-","","B0867NR4LQ","0008763325262","008763325262","B0D3V6FHP1","Tommy Hilfiger","yes"
"Tommy Hilfiger Mens Flat Front Academy Shorts (Mallet, 36W)","1893334","1664513","$ 39.90","3","$ 39.90","$ 39.90","AC2TCRMMQCMQB","2","B08CSYTF4C","0008763325644","008763325644","B087WJ6GDS","Tommy Hilfiger","no"
"Tommy Hilfiger mens Short Sleeve Logo T-shirt T Shirt, Bright White, 4X-Large Tall US","22660","19884","$ 29.99","1000","","$ 45.98","A1VYASX4SRDHDH","1","B084KN2NCG","0008763326696","008763326696","B0B15MDJKQ","Tommy Hilfiger","yes"
"Tommy Hilfiger Men's Short Sleeve Signature Stripe T-Shirt, The Deep Black, X-Small","554584","197289","$ 51.18","1","$ 44.50","$ 50.32","A1DZESJ93XXY35, A48T25DC7FFOI","2","B081TV9WB8","0008763402499","008763402499","B0C6MCHX31","Tommy Hilfiger","yes"
