Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),PID,Black_list
"Tommy Hilfiger Women's Bula Flip-Flop, Dark Blue Multi, 11",686783,667871,$29.75,,$29.75,$31.50,,-,0,B0BZFXJ113,197016861357,1.97E+11,B0C6RTY32R,Tommy Hilfiger,yes,none,Y
"Tommy Hilfiger Men's Cotton Classics Woven Boxer, Black Micro Flag",1443919,1443919,$23.95,,$23.95,$23.95,,-,0,B0CV63YK7C,194999361287,1.95E+11,B0CQTSGKTV,Tommy Hilfiger,yes,none,Y
"Tommy Hilfiger Men's Cotton Classics Woven Boxer, Black Micro Flag",1101659,1101659,$23.95,,$23.95,$23.95,,-,0,B0CV63P5W6,194999361324,1.95E+11,B0CQTSGKTV,Tommy Hilfiger,yes,none,Y
"Tommy Hilfiger Women's Braia Sneaker, White, 11",964304,993004,$51.75,,$51.75,$62.10,,-,0,B0CMX58GF9,197648454361,1.98E+11,B0CMX6PG5Z,Tommy Hilfiger,yes,none,Y
"Tommy Hilfiger Men's NASHON Sneaker, White/Green Multi 141, 13",858989,914038,$49.97,,$49.97,$64.95,,-,0,B0CLBBZ4KR,197648448216,1.98E+11,B0CLBFD7KW,Tommy Hilfiger,yes,none,Y
Free People Mystic Diamante Flat Black EU 36 (US Women's 6) M,514035,951575,$125.80,,$125.80,$148.00,,-,0,B0CJ6RDQRD,197267507776,1.97E+11,B0CR3SY9BY,Free People,yes,none,Y
Free People Mystic Diamante Flat Black EU 37.5 (US Women's 7.5) M,635817,1010803,$125.80,,$125.80,$148.00,,-,0,B0CJ6SY88V,197267507806,1.97E+11,B0CR3SY9BY,Free People,yes,none,Y
Free People Mystic Diamante Flat Black EU 36.5 (US Women's 6.5) M,547134,983866,$125.80,,$125.80,$148.00,,-,0,B0CJ6S5H72,197267507783,1.97E+11,B0CR3SY9BY,Free People,yes,none,Y
"Lacoste Men's Jump Serve Sneaker, WHT/BLU, 10",1092586,1028539,$99.97,1,$99.97,$114.00,$109.97,-,1,B097FF2H2T,193367737464,1.93E+11,B0B6CHPH4H,Lacoste,no,none,Y
"Tommy Hilfiger men's Embroidered Tommy Logo Fleece Quarter Zip Pullover Sweatshirt, Grey Heather, L",814379,814379,$78.00,,$78.00,$78.00,,-,0,B0CR7C6BYN,197232032579,1.97E+11,B08BFTS259,Tommy Hilfiger,yes,none,Y
Tommy Hilfiger Zip-Up Quilted Jacket Chino LG (US 12-14),1280690,1027532,$99.00,,$99.00,$110.00,,-,0,B0C8FW4PSV,196701573551,1.97E+11,B0CR71HC5S,Tommy Hilfiger,yes,none,Y
Polo Ralph Lauren Baby Boy's Keaton (Toddler) Blue Bearwiian Print 6 Toddler M,1405918,2213163,$24.50,,$24.50,$50.00,,-,0,B0BGZM89VG,196382310292,1.96E+11,B08R67Z7H3,Polo Ralph Lauren,yes,none,Y
Free People Tallulah Western Wedge Sand Suede EU 39 (US Women's 9) M,1022827,1105824,,,,$148.00,$249.04,-,,B0C1SCK3V1,196790787280,1.97E+11,B0CBGFW95V,Free People,yes,none,Y
POLO RALPH LAUREN 4D-Flex Breathable Mesh Boxer Brief 3-Pack Cruise Navy/Rl2000 Red Feeder Stripe/Cruise Navy/Rl2000 Red SM,1010183,851605,$55.95,2,$49.99,$49.99,$55.95,A2YGW1BKN89EQD,1,B09P195ZVG,196062113731,1.96E+11,B082Y5BMHZ,POLO RALPH LAUREN,no,none,Y
Tommy Hilfiger Long Sleeve Scuba Crepe Twofer Black 4,4893421,3257899,$109.65,,$109.65,$129.00,,-,0,B0CH4MVJZC,196701932815,1.97E+11,B0CH563ZRT,Tommy Hilfiger,yes,none,Y
Lacoste L-Guard BRKR CT 2231 SFA Navy/Green 6.5 M,1105326,1108993,$105.57,,$105.57,$105.57,,-,0,B0CKBX61BT,196224278483,1.96E+11,B0CJC9VQD7,Lacoste,yes,none,Y
"Tommy Hilfiger Men's Siward Oxford, Black 001, 8",1569676,2566317,$49.97,,$49.97,$62.96,,-,0,B0CKV13GL9,197648448261,1.98E+11,B0CKV5JHHH,Tommy Hilfiger,yes,none,Y
"Tommy Hilfiger Women's Bula Flip-Flop, Dark Blue Multi, 5",733389,634772,$29.75,,$29.75,$31.50,,-,0,B0BZG3RK3K,197016861234,1.97E+11,B0C6RTY32R,Tommy Hilfiger,yes,none,Y
"Tommy Hilfiger Women's Diyana Ankle Boot, Medium Natural, 11",650256,544115,$77.35,,$77.35,$89.25,,-,0,B0C7HPHZD8,197016963877,1.97E+11,B0C7HL563Y,Tommy Hilfiger,yes,none,Y
Tommy Hilfiger Long Sleeve Mixed Media Top with Tie Black/Sand SM (US 4-6),5070951,5413572,$66.75,,$47.57,$89.00,,-,0,B0CDLC6VB2,196701598967,1.97E+11,B0CDQ94KVB,Tommy Hilfiger,no,none,Y
"Tommy Hilfiger Women's Diyana Ankle Boot, Black, 5.5",763574,613259,$89.25,,$89.25,$95.20,,-,0,B0C7HND2KG,197016955018,1.97E+11,B0C7HL563Y,Tommy Hilfiger,yes,none,Y
"Tommy Hilfiger Men's Short Sleeve Crew Neck Graphic T-Shirt (XX-Large, Light Brown (Hilfiger Logo))",8055396,8184776,$39.00,,$39.00,$54.99,,-,0,B0CCWV4CHQ,196805800959,1.97E+11,B09D95ZL5J,Tommy Hilfiger,yes,none,Y
"POLO RALPH LAUREN Mens Classic Fit Polo Big Pony (XX-Large, Black)",673117,1590722,$122.44,2,$115.99,$137.49,$125.25,A48T25DC7FFOI,1,B0CG65VJ8B,196206693372,1.96E+11,B097TT7HZH,POLO RALPH LAUREN,no,none,Y
Free People Sandre Pullover Navy SM (Women's 4-6),722115,552487,$65.25,1,$57.26,$148.00,$91.02,A1UZ5BDW6O7KAD,3,B0CG958QMM,197267808583,1.97E+11,B0C7LQYTWG,Free People,no,none,Y
"Tommy Hilfiger Women's Striped Rib Sweater, Kalamata Multi, X-Large",805433,1036402,$26.27,2,$15.59,$82.56,$26.27,A24V851RG6UNB7,2,B09ZHHPZR7,196701999610,1.97E+11,B09ZHKXF9Y,Tommy Hilfiger,no,none,Y
"Tommy Hilfiger Women's Hooded Diamond Adjustable Waist Quilted Coat, Navy",1219041,998776,$66.00,,$66.00,$110.00,,-,0,B0C8FWQ12Z,196701573445,1.97E+11,B0CR71HC5S,Tommy Hilfiger,yes,none,Y
Free People Rumor Mary Jane Black Leather EU 37.5 (US Women's 7.5) M,1206123,1097199,$128.00,,$128.00,$128.00,,-,0,B0CJ6SJ3Y5,197267444880,1.97E+11,B0CNF7V4YB,Free People,yes,none,Y
Free People Rumor Mary Jane Black Leather EU 36.5 (US Women's 6.5) M,1301384,1165866,$128.00,,$128.00,$128.00,,-,0,B0CJ6SCS9T,197267444866,1.97E+11,B0CNF7V4YB,Free People,yes,none,Y
"Tommy Hilfiger Women's Captio-X Flat Sandal, Black Multi, 10",790258,1037361,$31.50,,$31.50,$31.50,,-,0,B0CT3KPWRS,198095589958,1.98E+11,B0CT43L24Z,Tommy Hilfiger,yes,none,Y
"Lacoste Women's Carnaby EVO Sneaker, Pink/White, 7.5 Medium US",1057852,1057140,$79.99,2,$79.99,$95.99,$79.99,A3V17JP5RCORRR,1,B07BLV5QYJ,48283170799,7.56E+11,B0CH2QTFP1,Lacoste,no,none,Y
Free People Disco Fever Mini Slip Black Combo LG (Women's 12),795883,1601197,,,$39.18,$151.47,,-,0,B0CK6M8GVQ,197267963664,1.97E+11,B0CK76QV58,Free People,no,none,Y
"Tommy Hilfiger Women's Bexlee Not Water Resistant, Black, 8",1711806,1883922,$51.35,,$51.35,$59.25,,-,0,B0CRPQ1YLS,198095430960,1.98E+11,B0CRPZ7L6G,Tommy Hilfiger,yes,none,Y
"Lacoste Men's Short Sleeve Script T-Shirt, Heather Wall Chine, 4XL",1208570,1040529,$64.98,1,$64.98,$75.00,$64.98,A19YF9ARFJN5WK,1,B099BH6RQH,194951511668,1.95E+11,B099BPRPQQ,Lacoste,no,none,Y
"Lacoste Men's Short Sleeve Script T-Shirt, Heather Wall Chine, XXL",1181302,1069858,$69.95,6,$69.95,$75.00,$69.95,A1BA0314EZN7ON,1,B099BVVNZS,194951499096,1.95E+11,B099BPRPQQ,Lacoste,no,none,Y
"Tommy Hilfiger Men's Essential Short Sleeve Stripe Crewneck Pocket T-Shirt, Regatta Blue, Small",935877,814933,$31.97,1,$31.97,$34.09,$31.97,A1VB1EYNTDWCN4,1,B098KXGMT2,89467696452,89467696452,B0BH1YFHS1,Tommy Hilfiger,no,none,Y
"Tommy Hilfiger Men's Dress Shirt Slim Fit Stretch Solid, Aqua, 18"" Neck 36""-37"" Sleeve",1040773,1041866,,,,$113.40,$60.00,-,,B08PW3SYSD,194916424378,1.95E+11,B0794FLDCL,Tommy Hilfiger,no,none,Y
"Lacoste Women's Carnaby Evo Sneakers, White/navy/red, 6.5 Medium US",1100452,1063049,$80.00,1,$80.00,$95.00,$80.00,A2ZVX1OUSHY6F0,1,B07F2P9LXN,755722846466,7.56E+11,B0CH2QTFP1,Lacoste,no,none,Y
"Tommy Hilfiger Men's Modern Essentials French Terry Sweatshirt, Dark Navy Tommy Logo, S",1261705,1242053,$58.95,3,$58.95,$58.95,$58.95,A2UN9OA4TJ0X92,1,B082YR4KLX,88541942645,88541942645,B072Y8YT2X,Tommy Hilfiger,no,none,Y
Lacoste L-Guard BRKR CT 2231 SFA Navy/Green 5.5 M,912370,1015901,$105.57,,$105.57,$164.95,,-,0,B0CKBJGGSR,196224278445,1.96E+11,B0CJC9VQD7,Lacoste,yes,none,Y
"Tommy Hilfiger Women's Beila Flip-Flop, Dark Blue Multi, 6",2242353,2533855,$26.25,,$26.25,$29.75,,-,0,B0BZG7BVNG,197016860831,1.97E+11,B0BZG2S859,Tommy Hilfiger,yes,none,Y
Lacoste Long Sleeve Solid Color Sweatshirt Ultramarine/Ultramarine 5 (LG),862158,826802,$95.00,2,$95.00,$140.58,$95.00,ATT4HF1MHG1C6,1,B08BCVJRRJ,193869328047,1.94E+11,B0BH9LYXGQ,Lacoste,no,none,Y
"Tommy Hilfiger Men's Sport Short Sleeve Graphic T Shirt, Apple Red, MD",1238758,1457703,$32.99,1,$32.99,$39.50,$32.99,A1VB1EYNTDWCN4,1,B081TVM9YX,715676309974,7.16E+11,B08C2S1F7H,Tommy Hilfiger,no,none,Y
Tommy Hilfiger Boy's Ivy Polo (Little Kids) Lemonade 5 Little Kid,1369168,1591369,$29.25,,$29.25,$32.50,,-,0,B0CN368ZKL,197571147682,1.98E+11,B0CN5TRXZJ,Tommy Hilfiger,yes,none,Y
"Lacoste Women's Carnaby Evo Sneakers, white/navy/red, 5.5 Medium US",966637,1028858,$80.00,3,$80.00,$94.95,$80.00,A2ZVX1OUSHY6F0,1,B07F2P9ML5,755722846442,7.56E+11,B0CH2QTFP1,Lacoste,no,none,Y
"Tommy Hilfiger Women's V-Neck Tie 3/4th Sleeve High Low Midi Dress, Sky Captain/Grenadine, 6",2668720,2541115,$39.24,1,$27.99,$115.27,$43.36,A24V851RG6UNB7,1,B09PCBPHKC,195105160800,1.95E+11,B0CFZ2XHT7,Tommy Hilfiger,no,none,Y
"Tommy Hilfiger Men's Smooth Stretch 3-Pack Boxer Brief, Desert Sky-Primary Red/Copenhagen Blue/Vivid Yellow Wb",790878,790878,$29.85,,$29.85,$45.95,,-,0,B0CQTSK75K,194999363137,1.95E+11,B0CQTRHGCV,Tommy Hilfiger,yes,none,Y
"Lacoste Men's Short Sleeve Summer Croc Polo Shirt, Heather NAPOLITAIN, 3XL",3463622,3917478,$124.99,,$124.99,$134.98,,-,0,B099C6SWZ4,194951480612,1.95E+11,B099BXK3KL,Lacoste,yes,none,Y
