"Title","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Buy Box 🚚: Current","Buy Box 🚚: Stock","New: Current","New, 3rd Party FBM 🚚: 30 days avg.","Lowest FBM Seller","Count of retrieved live offers: New, FBM","ASIN","Product Codes: EAN","Product Codes: UPC","Parent ASIN","Brand","Prime Eligible (Buy Box)"
"Columbia Men's Glennaker Lake Rain Jacket, Metal/Shark, 5X Big","1712","904","","","","","-","","B09KMF88YW","0194895571810","194895571810","B0C8KPCKYM","Columbia","no"
"Columbia Men's Glennaker Lake Rain Jacket, Metal/Shark, 6X Big","1743","915","","","","","-","","B09KMFMPDV","0194895571827","194895571827","B0C8KPCKYM","Columbia","no"
"Columbia Men's Glennaker Lake Rain Jacket, Metal/Shark, 2X Tall","1726","907","","","","","-","","B09KMG91NH","0194895572183","194895572183","B0C8KPCKYM","Columbia","yes"
"Columbia Men's Glennaker Lake Rain Jacket, Metal/Shark, Small","1745","912","","","","","-","","B09KMFBZ71","0194895573197","194895573197","B0C8KPCKYM","Columbia","yes"
"Columbia Men's Glennaker Lake Rain Jacket, Metal/Shark, XX-Large","1724","905","","","","","-","","B09KMG54R4","0194895573203","194895573203","B0C8KPCKYM","Columbia","yes"
"Columbia Men's Glennaker Lake Rain Jacket, Metal/Shark, Large","1727","905","","","","","-","","B09KMFNYPH","0194895573210","194895573210","B0C8KPCKYM","Columbia","yes"
"Columbia Men's Glennaker Lake Rain Jacket, Metal/Shark, Medium","1729","907","","","","$ 107.48","-","","B09KMD6SSX","0194895573227","194895573227","B0C8KPCKYM","Columbia","yes"
"Columbia Men's Glennaker Lake Rain Jacket, Elderberry, Medium","1740","913","","","","","-","","B09KMC7SS9","0194895573302","194895573302","B0C8KPCKYM","Columbia","yes"
"Columbia Women's Powder Lite Hooded Jacket, Blue Chill, X-Small","224796","149470","","","","$ 189.68","-","","B09KMFNDW2","0194895576976","194895576976","B081KMR128","Columbia","no"
"Columbia Women's Grand Trek II Down Jacket, Nocturnal/Dark Nocturnal, Medium","551802","598824","$ 115.00","11","$ 115.00","$ 128.72","AU8KF031TC39C","1","B09KMF6SYV","0194895585787","194895585787","B09KMVQFLR","Columbia","no"
