Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),PID,Black_list
Free People Jaymes Midi Burgundy Combo XS (Women's 0-2),167894,164301,$117.57,1,$114.94,$179.04,$148.43,ANZYNJW9IIF9C,3,B0CG95DGFY,197267909075,197267909075,B0CLDM1DR5,Free People,no,9535177302527628733,V
"TYR Women's Standard Durafast Elite Trinityfit Swimsuit, BLK/WHT, 22",159037,175432,,,$125.63,$140.34,$131.85,-,1,B07QD6W62Q,36702798907,36702798907,B07QF9Y3WN,TYR,no,9513003646836593680,V
"Birkenstock Unisex Arizona Sandal,Mocha Birkibuc,39 M EU",42046,37742,,,$196.39,$196.41,$177.73,-,1,B005FPCVD4,809410059185,809410059185,B08J43HD3G,Birkenstock,yes,9499673667588940966,V
Kate Spade New York Women's Rosedale Three-Hand Rose Gold-Tone Stainless Steel Chain Bracelet Watch (Model: KSW1810),369647,523231,$136.40,,$136.40,$248.00,,-,0,B0C7WJCRGL,796483625778,796483625778,B0BWSDLZRQ,Kate Spade New York,yes,9478489009440480264,V
"Buffalo David Bitton Ladies' Short Sleeve V-Neck Top (White, XXL)",4875353,4227810,$19.99,5,$19.99,$24.99,$19.99,A3KCW0JQJAV742,1,B07WC5HPWB,192412512940,192412512940,,Buffalo David Bitton,no,9451382012378255455,V
"TYR Men's Standard Poly Mesh Trainer Swim Suit, 401 Navy, 30",86574,73080,$42.87,1,$38.88,$68.20,$42.87,A218NCVVSLQN1Q,2,B000H39FLK,36702150699,36702150699,B0BGJDK6C7,TYR,no,944630985045108111,V
"LifeStride Women's Tango 2 Espadrille Wedge Sandal, Lux Navy, 7",117857,123210,,,,$168.99,$101.53,-,,B08X6RQB41,17127194666,17127194666,B09NS9LJQ1,LifeStride,yes,938299303275625984,V
"New Balance Men's Fresh Foam X 860 V12 Running Shoe, Black/White, 10.5 XW",60615,44402,,,,$260.84,$182.40,-,,B096WKMK5C,195481441883,195481441883,B0B9BRT7LY,New Balance,no,9372022925010091430,V
TYR TFCTP3A401M Womens Alliance Tech Polo Navy M,8604149,8294729,$28.99,,$25.00,$39.06,$28.99,A218NCVVSLQN1Q,3,B07B8H8J3B,36702086431,36702086431,B07B89XPST,TYR,no,9351625142759420820,V
TYR Women's Alliance Splice Maxfit Black/Burgundy 40,,,$79.99,1,$79.99,$160.05,$79.99,A3VX72MEBB21JI,1,B000XYFJAY,36702017251,36702017251,,TYR,no,9321101857129622301,V
