"Title","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Buy Box 🚚: Current","Buy Box 🚚: Stock","New: Current","New: Highest","New, 3rd Party FBM 🚚: 30 days avg.","Lowest FBM Seller","Count of retrieved live offers: New, FBM","ASIN","Product Codes: EAN","Product Codes: UPC","Parent ASIN","Brand","Prime Eligible (Buy Box)"
"Steve Madden Icey Wedge Sandal Rhinestone 7.5 M","327306","441914","$ 46.69","","$ 46.69","$ 64.35","","-","0","B0BS6GCLV1","0196361197586","196361197586","B0CG6G1HM1","Steve Madden","yes"
"Steve Madden Women's Charlize Pump, Black Satin, 9.5","412326","325099","","","$ 84.99","$ 189.98","$ 110.33","A1XZ3PFSGU10KM","2","B09LBHTT7Z","0196361379579","196361379579","B09WCJWC3F","Steve Madden","no"
"Steve Madden Women's Charlize Pump, Pink Satin, 11","388954","315243","","","","$ 175.56","$ 59.95","-","","B09LB72XH1","0196361379623","196361379623","B09WCJWC3F","Steve Madden","no"
"Steve Madden Women's Shaye Heeled Sandal, Light Pink, 10","286764","339360","$ 88.04","5","$ 88.04","$ 88.04","$ 78.19","-","1","B09GWCJ6ZH","0196361119083","196361119083","B09X3VCVP2","Steve Madden","no"
"Steve Madden womens Shaye Heeled Sandal, Natural, 9.5 US","295997","348598","","","$ 121.83","$ 155.03","$ 133.70","ANZYNJW9IIF9C","3","B08YFMZQVJ","0195945127247","195945127247","B09X3VCVP2","Steve Madden","no"
"Steve Madden Women's Shaye Heeled Sandal, Gold, 8.5","269226","342019","$ 83.54","2","$ 83.54","$ 99.95","$ 77.02","-","1","B09GWF5Q16","0196361118956","196361118956","B09X3VCVP2","Steve Madden","no"
"Steve Madden Women's Cally Mule, Black Suede Faux Fur, 7","379160","334456","","","$ 169.55","$ 183.18","$ 182.54","-","1","B09VYD48YW","0196829004517","196829004517","B0BMP9NJ78","Steve Madden","no"
"Steve Madden Women's Bixby Knee High Boot, Sand Suede, 9","255655","173265","$ 178.30","2","$ 169.99","$ 199.95","$ 178.30","A2OTE410JXLA5O","1","B0CGZL5BMP","0197369847770","197369847770","B0C67KNDMX","Steve Madden","no"
"Steve Madden Women's Bixby Knee High Boot, Sand Suede, 8","244743","166815","$ 178.21","1","$ 169.99","$ 238.97","$ 121.35","A2OTE410JXLA5O","1","B0CGYZQFM6","0197369847756","197369847756","B0C67KNDMX","Steve Madden","no"
"Steve Madden Women's Forte Mule, Black/Black, 7.5","256166","247805","","","","$ 79.95","","-","","B0B318SL1W","0196361769929","196361769929","B0B6WSLXN3","Steve Madden","yes"
"Steve Madden Roxie Women's Boots Bone Leather Size 9.5 M","718101","489824","","","$ 54.99","$ 54.99","","-","1","B0C63NQ8DL","0196361802299","196361802299","B0CLDVLMX5","Steve Madden","no"
"Steve Madden Women's Shaye Heeled Sandal, Light Pink, 7.5","276794","336418","$ 87.56","6","$ 87.56","$ 99.95","$ 77.72","-","1","B09GWBTJP1","0196361118888","196361118888","B09X3VCVP2","Steve Madden","no"
"Steve Madden Women's Shaye Heeled Sandal, Light Pink, 9","295673","353472","$ 74.99","3","$ 74.99","$ 84.03","$ 75.07","A3V17JP5RCORRR","1","B09GWC5MSQ","0196361119007","196361119007","B09X3VCVP2","Steve Madden","no"
"Steve Madden Women's Catia Wedge Sandal, Black Leather, 9.5","367006","415160","$ 59.95","21","$ 59.95","$ 89.99","$ 69.49","A1G9RBEK6CB71F","1","B07LDFP134","0193408291726","193408291726","B085477788","Steve Madden","no"
"Steve Madden Women's Alessi Pump, Green, 5.5","806222","734900","$ 78.98","2","$ 78.98","$ 224.98","$ 84.53","ACTZ4HD4YIH8O","1","B08KSGG2YY","0195189348576","195189348576","B0B9WVR518","Steve Madden","no"
"Steve Madden Women's Alessi Pump, Clear, 8.5","818380","772685","$ 59.95","10","$ 59.95","$ 224.99","$ 87.39","A1G9RBEK6CB71F","1","B08KSG6ZMD","0195189348828","195189348828","B0B9WVR518","Steve Madden","no"
"Steve Madden Men's Vallme Penny Loafer, Black, 9","1424513","1424513","$ 69.99","","$ 69.99","$ 69.99","","-","0","B0CK65B5P3","0197116375235","197116375235","B0CVFNZT2F","Steve Madden","yes"
"Steve Madden Men's Vallme Penny Loafer, Cognac, 11.5","1216177","1216177","$ 69.99","","$ 69.99","$ 69.99","","-","0","B0CK659FV5","0197116375341","197116375341","B0CVFNZT2F","Steve Madden","yes"
"Steve Madden Men's Vallme Penny Loafer, Black, 12","1533259","1533259","$ 69.99","","$ 69.99","$ 69.99","","-","0","B0CK65SMBJ","0197116375358","197116375358","B0CVFNZT2F","Steve Madden","yes"
"Steve Madden Men's Vallme Penny Loafer, Black, 8","1269846","1269846","$ 69.99","","$ 69.99","$ 69.99","","-","0","B0CK65JSS4","0197116375198","197116375198","B0CVFNZT2F","Steve Madden","yes"
