"Title","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Buy Box 🚚: Current","Buy Box 🚚: Stock","New: Current","New: Highest","New, 3rd Party FBM 🚚: 30 days avg.","Lowest FBM Seller","Count of retrieved live offers: New, FBM","ASIN","Product Codes: EAN","Product Codes: UPC","Parent ASIN","Brand","Prime Eligible (Buy Box)"
"Birkenstock Granada Soft Footbed Midnight Nubuck 40 R EU 9-9.5 Women7-7.5 Men","1603289","2824863","$ 155.00","14","$ 155.00","$ 155.00","$ 155.00","A1C20BH4U0AX41","4","B094PTGJ97","0886454904633","886454904633","B0CYXWK7T1","Birkenstock","no"
"Birkenstock 1020973340 Arizona SFB Dove Gry Nb N 40","1018195","1795221","$ 135.00","1","$ 135.00","$ 243.09","$ 120.06","A1C20BH4U0AX41","2","B093T3X1PZ","0886454918012","886454918012","B0C5DXSZ8S","Birkenstock","no"
"Birkenstock Arizona Washed Metallic Washed Metallic Silver Leather EU 41 (US Women's 10-10.5) Narrow","195055","228063","$ 170.30","1","$ 170.30","$ 180.92","$ 170.31","ANZYNJW9IIF9C","1","B08VH5V9ZC","0886454922477","886454922477","B01NCNBCCK","Birkenstock","no"
"Birkenstock Women's Arizona Shearling Sandals, Mountain View/Natural, White, Green, 8-8.5 Medium US","88731","145125","","","$ 247.65","$ 283.98","$ 247.81","ANZYNJW9IIF9C","2","B099P3D7NL","0886454945650","886454945650","B01MSYS2UL","Birkenstock","no"
"THE NORTH FACE Montana Ski Mitten - Men's Military Olive/Tea Green, XL","3480979","2396513","","","$ 107.28","$ 126.40","$ 107.28","A20FLYA0IW2L9O","1","B09TPTSTTQ","0196013453893","196013453893","","THE NORTH FACE","yes"
"Birkenstock Men's Arizona Shearling Sandals, Habana/Natural, Tan, 9 Medium US","88270","147805","$ 160.00","2","$ 160.00","$ 238.51","$ 160.00","A1C20BH4U0AX41","2","B0989SQ76M","0886454948224","886454948224","B01MSYS2UL","Birkenstock","no"
"Birkenstock Men's Arizona Shearling Sandals, Habana/Natural, Tan, 12 Medium US","89858","174893","$ 179.95","1","$ 179.95","$ 238.51","$ 179.95","A1C20BH4U0AX41","1","B0989T6F33","0886454948316","886454948316","B01MSYS2UL","Birkenstock","no"
"Birkenstock Men's Arizona Shearling Sandals, Habana/Natural, Tan, 13 Medium US","92060","147477","$ 150.00","2","$ 150.00","$ 238.51","$ 150.00","A1C20BH4U0AX41","1","B0989TK63J","0886454948347","886454948347","B01MSYS2UL","Birkenstock","no"
"THE NORTH FACE Men's Sprag 5-Pocket Pant, Meld Grey, 36 Long","119902","124761","","","","$ 110.85","$ 91.81","-","","B09K95KF4S","0772204978774","772204978774","B0CNLJYTC9","THE NORTH FACE","yes"
"Birkenstock 1021112135 Franca Black Oil LTR R 35","806445","955327","$ 136.58","1","$ 135.00","$ 235.52","$ 135.00","A1C20BH4U0AX41","2","B094PVGHB6","0886454950890","886454950890","B0BQXPKS9L","Birkenstock","yes"
"Birkenstock Men's Boston Shearling Clogs, Mocha/Mocha, Brown, 10 Medium US","543691","578650","","","$ 290.25","$ 296.89","$ 279.47","ANZYNJW9IIF9C","2","B09F99DHK1","0886454827734","886454827734","B07J4LQPHY","Birkenstock","no"
"Birkenstock, Arizona Shearling Lined Sandal - Narrow Width Mocha M, 5","426698","5997321","","","$ 150.00","$ 288.99","$ 161.07","A3G7Z84I6CXKAW","2","B09B2QX8NS","0886454830581","886454830581","B0CMLL5SPN","Birkenstock","no"
"Birkenstock 1021112136 Franca Black Oil LTR R 36","627987","1277257","$ 130.00","2","$ 130.00","$ 235.45","$ 130.73","A75YKTBGJI3V4","3","B094PXN854","0886454950920","886454950920","B0BZQKQ78G","Birkenstock","no"
"Birkenstock Men's Arizona Shearling Sandals, Iron/Natural, Grey, Tan, 8 Medium US","87993","211092","","","$ 179.95","$ 221.12","$ 179.95","A1C20BH4U0AX41","1","B0989QSLJN","0886454951637","886454951637","B01MSYS2UL","Birkenstock","no"
"Birkenstock 1021112141 Franca Black Oil LTR R 41","1030734","1028851","$ 130.00","1","$ 130.00","$ 235.52","$ 127.65","A75YKTBGJI3V4","4","B094PZLFWL","0886454953174","886454953174","","Birkenstock","no"
"Birkenstock Men's Boston Shearling Shoes, Midnight/Midnight, Blue, 11 Medium US","86205","80829","$ 199.00","1","$ 198.00","$ 300.65","$ 186.97","ANZYNJW9IIF9C","3","B0989SB8P9","0886454827000","886454827000","B01MSYS2UL","Birkenstock","no"
"Birkenstock Women's, Arizona Shearling Lined Sandal - Narrow Width Mocha 39 M","42214","2662219","","","$ 281.07","$ 288.99","$ 270.13","-","2","B09B2P4HR2","0886454830673","886454830673","B000EYBKY2","Birkenstock","yes"
"THE NORTH FACE Women's Venture 2 1/2 Zip Pants, TNF Black - Large Long","1178024","1179903","","","","$ 189.31","$ 175.76","-","","B01GQUV2KY","0190541578677","190541578677","B076T8NQ9N","THE NORTH FACE","no"
"Birkenstock Men's Arizona Shearling Sandals, Habana/Natural, Tan, 11 Medium US","87763","191795","$ 179.95","1","$ 178.95","$ 241.14","$ 179.40","A1C20BH4U0AX41, ANZYNJW9IIF9C","3","B0989SCH9S","0886454948286","886454948286","B01MSYS2UL","Birkenstock","no"
"Birkenstock Women's Arizona Shearling Sandals, Midnight/Midnight, Blue, 8-8.5 Medium US","95383","113815","","","$ 189.95","$ 189.95","$ 160.00","-","","B09BFT1GNM","0886454831021","886454831021","B073H46FB1","Birkenstock","yes"
"Birkenstock Men's Arizona Split Sandals, Black/Camo Green, 9 Medium US","425077","400002","$ 120.00","1","$ 120.00","$ 230.00","$ 120.00","A1C20BH4U0AX41","1","B09G86X7B8","0886454954010","886454954010","B0C85W1V2V","Birkenstock","no"
"Birkenstock 1021078338 Buckley Night Sd N 38","732367","737319","$ 150.00","1","$ 150.00","$ 266.87","$ 149.98","A1C20BH4U0AX41","4","B094PQTWW3","0886454954324","886454954324","B0BZQS8PKW","Birkenstock","yes"
"Birkenstock 1021078339 Buckley Night Sd N 39","749112","730092","$ 170.00","1","$ 170.00","$ 267.40","$ 152.07","A1C20BH4U0AX41","4","B094Q5FZNM","0886454954355","886454954355","B0BZQS8PKW","Birkenstock","no"
"Birkenstock New Women's Arizona Sandal Sky Nubuck 39 N,8-8.5 Narrow Women6-6.5 Narrow Men","62593","68812","$ 135.00","3","$ 135.00","$ 243.08","$ 135.00","A1C20BH4U0AX41","1","B093T4BG6J","0886454955031","886454955031","B09XP33DDH","Birkenstock","no"
