Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box)
"Steve Madden Women's Kiley Ankle Boot, Brown Suede, 9.5",601188,364438,$67.30 ,1,$67.30 ,$109.95 ,$75.10 ,A1LEM297LNF1FK,1,B0BXBXNN3H,0197369312117,1.97369E+11,B0BXBGJMP3,Steve Madden,no
LifeStride Womens Devoted Hunter Camo Slip-On Flats Casual - Green - Size 9 M,868438,875885,$19.95 ,28,$19.95 ,$103.56 ,$19.95 ,AG670YE9WDQRF,1,B09VD2TF2Z,0017136836014,017136836014,B09C12BKBZ,LifeStride,no
"Steve Madden West Black Leather Pull On Pointed Toe Block Heel Western Boots (Black Leather, 6)",559047,547347,$99.99 ,8,$99.99 ,$199.95 ,$99.99 ,A1G9RBEK6CB71F,1,B09KC22QZ4,0196361038308,1.96361E+11,B09L131Q3Y,Steve Madden,no
"Steve Madden West White Leather Cowboy Mid Calf Block Heel Dagget Cowgirl Boots (White Leather, 10)",588715,572660,$89.95 ,1,$89.95 ,$199.16 ,$94.66 ,A1G9RBEK6CB71F,1,B09KBXCHYX,0195945340745,1.95945E+11,B09L131Q3Y,Steve Madden,no
"Steve Madden West White Leather Cowboy Mid Calf Block Heel Dagget Cowgirl Boots (White Leather, 6.5)",493428,544212,$119.95 ,2,$119.95 ,$322.62 ,$119.95 ,A1G9RBEK6CB71F,1,B09KC1XKRS,0195945340608,1.95945E+11,B09L131Q3Y,Steve Madden,no
"Steve Madden West Black Leather Pull On Pointed Toe Block Heel Western Boots (Black Leather, 8.5)",610901,543083,$59.98 ,4,$54.99 ,$199.95 ,$189.99 ,A1XZ3PFSGU10KM,2,B09KBZ6RBM,0196361038353,1.96361E+11,B09L131Q3Y,Steve Madden,no
"Steve Madden West Black Leather Pull On Pointed Toe Block Heel Western Boots (Black Leather, 7.5)",556720,558636,$59.98 ,2,$54.99 ,$324.16 ,$60.80 ,A1XZ3PFSGU10KM,2,B09KBZKPPC,0196361038339,1.96361E+11,B09L131Q3Y,Steve Madden,no
Women's Brooks Spark Capri,673136,673569,$71.24 ,,$71.24 ,$87.95 ,,-,0,B0CN33HR9K,0195394380781,1.95394E+11,B0CN4VS45Q,Brooks,yes
"New Balance Women's Fresh Foam Cruz V2 Sneaker, Black/Magnet/White, 6 B US",1105057,1218332,,,$120.73 ,$168.18 ,$120.64 ,A1B43WMIJ58I3U,1,B075R7YTBB,0191902003883,1.91902E+11,B0BLP8RCR6,New Balance,no
"New Balance Women's Fresh Foam Cruz V2 Sneaker, Light Cashmere/Cashmere, 11 D US",1201624,1460151,,,$164.01 ,$181.87 ,$164.01 ,A20FLYA0IW2L9O,1,B07BL38DSG,0192662408208,1.92662E+11,B0BLP8RCR6,New Balance,no
"Steve Madden Women's Cosmic Heeled Sandal, Black, 8.5",453635,557565,$96.36 ,2,$96.36 ,$109.95 ,$91.77 ,A1LEM297LNF1FK,1,B09Z56WJ9C,0196361446066,1.96361E+11,B0CG6GZDSH,Steve Madden,no
