"Title","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Buy Box 🚚: Current","Buy Box 🚚: Stock","New: Current","New: Highest","New, 3rd Party FBM 🚚: 30 days avg.","Lowest FBM Seller","Count of retrieved live offers: New, FBM","ASIN","Product Codes: EAN","Product Codes: UPC","Parent ASIN","Brand","Prime Eligible (Buy Box)"
"THE NORTH FACE Women's Shellista IV Mid WP, Monks Robe Brown/Demitasse Brown, 5","151810","97231","$ 130.91","1","$ 130.91","$ 172.99","$ 131.84","ANZYNJW9IIF9C","1","B0971CH9BY","0195439250079","195439250079","B09BK8J5H4","THE NORTH FACE","no"
"THE NORTH FACE Women's Shellista IV Mid WP, TNF Black/TNF Black, 6.5","147550","95577","","","$ 184.46","$ 202.10","$ 185.07","A20FLYA0IW2L9O","2","B0971D7NZF","0195439251007","195439251007","B09BK8J5H4","THE NORTH FACE","yes"
"THE NORTH FACE Women's Shellista IV Mid WP, Monks Robe Brown/Demitasse Brown, 7","150741","96359","","","$ 190.34","$ 190.34","$ 190.34","ANZYNJW9IIF9C","1","B0971BYXJH","0195439251182","195439251182","B09BK8J5H4","THE NORTH FACE","yes"
"THE NORTH FACE Women's Shellista IV Mid WP, Zinc Grey/TNF Black, 7","150499","96300","","","$ 148.95","$ 257.84","$ 148.95","A2XZ0K8FIJS0FD","1","B0971DS27B","0195439251748","195439251748","B09BK8J5H4","THE NORTH FACE","no"
"THE NORTH FACE Women's Shellista IV Mid WP, TNF Black/TNF Black, 10","150149","96779","$ 158.95","1","$ 158.95","$ 265.28","$ 125.16","A6Y8EA3VZD1DF","3","B0971CRC95","0195439253315","195439253315","B09BK8J5H4","THE NORTH FACE","no"
"THE NORTH FACE Women's Shellista IV Mid WP, Demitasse Brown/TNF Black, 9.5","149761","97109","","","$ 150.00","$ 235.91","$ 169.66","A3BSCZERD91AOE","3","B0971CRWX8","0195439253322","195439253322","B09BK8J5H4","THE NORTH FACE","yes"
"THE NORTH FACE Women's Shellista IV Mid WP, Flax/Walnut Brown, 5","151565","96781","$ 130.91","1","$ 130.91","$ 257.84","$ 130.60","ANZYNJW9IIF9C","1","B0971B47R5","0195439250123","195439250123","B09BK8J5H4","THE NORTH FACE","no"
"THE NORTH FACE Men's Canyonlands Jogger, Almond Butter Heather, X-Large Regular","303076","210298","$ 124.87","1","$ 124.87","$ 167.26","$ 124.87","A20FLYA0IW2L9O","1","B0C1CR913Y","0196573652835","196573652835","B0B5M9FGXS","THE NORTH FACE","no"
"THE NORTH FACE Clement Triclimate Jacket Asphalt Grey/Tnf Black/Tnf Black LG","241538","265288","","","$ 356.59","$ 356.59","$ 356.59","A20FLYA0IW2L9O","1","B09V5N8KCV","0196249249109","196249249109","B07CHXPSRM","THE NORTH FACE","no"
"THE NORTH FACE Men's Oxeye Everyday Shoe, TNF White/TNF White, 7.5","208965","256127","","","$ 128.95","$ 154.74","$ 138.69","AP3VA1GJZM3EQ","1","B0C28JVWRX","0196573302198","196573302198","B0C28H61Q4","THE NORTH FACE","yes"
"THE NORTH FACE Women's Amry Soft Shell Pant, TNF Black, 6 Regular","372318","281901","$ 229.95","1","$ 229.95","$ 413.96","$ 229.95","A2XZ0K8FIJS0FD","1","B09V5R9Z7Z","0196248018386","196248018386","B0C6R61QKK","THE NORTH FACE","no"
"THE NORTH FACE Tamburello Vest - Women's Coral Sunrise X-Large","302913","249987","$ 79.00","8","$ 79.00","$ 128.08","$ 85.38","AT1XJTZC6RZLX","1","B09V3HQM82","0196246244756","196246244756","B07TWHXHC3","THE NORTH FACE","no"
"THE NORTH FACE Women's Tamburello Insulated Vest, Asphalt Grey, X-Large","318607","295132","","","","$ 163.16","","-","","B0BZT25FNT","0196573721944","196573721944","B07TWHXHC3","THE NORTH FACE","yes"
"THE NORTH FACE Women's Tamburello Insulated Vest, Thyme, Large","306141","252539","$ 89.00","11","$ 89.00","$ 100.00","$ 89.00","AT1XJTZC6RZLX","1","B09V3GJS62","0196246244916","196246244916","B07TWHXHC3","THE NORTH FACE","no"
"THE NORTH FACE Men’s Garment Dye Hoodie Pullover (US, Alpha, Medium, Regular, Regular, Almond Butter/Almond Butter)","171709","450992","$ 49.42","","$ 49.42","$ 79.99","","-","0","B0CS32857G","0196573569713","196573569713","B0CS2RFRL2","THE NORTH FACE","yes"
"THE NORTH FACE Women's Aphrodite Jogger (Standard and Plus Size), Summit Navy, XX-Large","110688","180384","$ 80.00","163","$ 80.00","$ 80.00","$ 79.98","A2XZ0K8FIJS0FD","1","B09VJZQFR9","0196249122365","196249122365","B09KMHRC47","THE NORTH FACE","no"
"THE NORTH FACE Women's Aphrodite Jogger (Standard and Plus Size), Summit Navy, X-Small","116113","215367","","","$ 80.00","$ 110.65","$ 79.98","A2XZ0K8FIJS0FD","2","B09VJ9XPCN","0196249121849","196249121849","B09KMHRC47","THE NORTH FACE","no"
"THE NORTH FACE Girls' Reversible North Down Hooded Jacket, Mr. Pink, Small","103661","80836","$ 155.66","1","$ 155.66","$ 199.85","$ 176.44","A20FLYA0IW2L9O","1","B0BZ8V1PJ6","0196573237667","196573237667","B0B82P4DGQ","THE NORTH FACE","no"
"THE NORTH FACE Girls' Reversible North Down Hooded Jacket, Lavender Fog, Small","106926","81969","","","$ 184.12","$ 246.08","$ 184.12","ANZYNJW9IIF9C","1","B09V5RHD4T","0196013445317","196013445317","B0B82P4DGQ","THE NORTH FACE","no"
"THE NORTH FACE Girls' Reversible North Down Hooded Jacket, Boysenberry Floret Print, Large","103175","80359","","","$ 191.82","$ 267.40","$ 190.05","A20FLYA0IW2L9O","1","B0BZ8WJBLT","0196573237421","196573237421","B0B82P4DGQ","THE NORTH FACE","yes"
"THE NORTH FACE Kids' Antora Rain Jacket, Lime Cream,2","138200","191116","","","$ 77.84","$ 152.88","$ 78.63","ANZYNJW9IIF9C","1","B0BGQBPLTX","0196010718001","196010718001","B0BNTKYK7S","THE NORTH FACE","yes"
"THE NORTH FACE Women's Hedgehog Fastpack 3 Waterproof Hiking Shoes, Indigo Stone/Shady Blue, 7.5","183352","283971","","","","$ 135.00","","-","","B0CHSFXQFV","0197063205814","197063205814","B0CB77K6PD","THE NORTH FACE","yes"
"The North Face Men's Short Sleeve Half Dome Tee TNF Black/TNF White T-Shirt MD","133828","116825","$ 30.00","196","$ 30.00","$ 54.99","$ 30.00","A286F0EQFR6L75","2","B00ZANOHA6","0887040123056","887040123056","B00OTWNERG","THE NORTH FACE","no"
"THE NORTH FACE Men's Short Sleeve Half Dome Tee, TNF White, X-Large","131835","115269","","","$ 55.94","$ 55.94","$ 42.89","ANZYNJW9IIF9C","1","B07TQF3BDS","0194112016971","194112016971","B00OTWNERG","THE NORTH FACE","yes"
"THE NORTH FACE Baby Reversible Perrito Hooded Jacket, Cameo Pink , 6-12 Months","135457","134475","","","$ 130.07","$ 163.16","$ 130.88","ANZYNJW9IIF9C","1","B09V6PPV9T","0196013491826","196013491826","B09BK97WM8","THE NORTH FACE","no"
"THE NORTH FACE Boys' Reversible North Down Hooded Jacket, Dark Sage, XX-Large","201295","123294","$ 149.95","1","$ 149.95","$ 149.96","$ 149.95","A2WU6JHR5PVKH1","1","B0BZ8TB8PY","0196573230903","196573230903","B09V3BDS51","THE NORTH FACE","no"
"THE NORTH FACE Boys' Reversible North Down Hooded Jacket, Asphalt Grey, Large","209169","128105","","","","$ 214.62","$ 178.64","-","","B09V5TS29T","0196013413941","196013413941","B09V3BDS51","THE NORTH FACE","no"
"The North Face Boys' Printed Reversible North Down Hooded Jacket, New Taupe Green, X-Small","214136","128781","$ 182.00","1","$ 182.00","$ 250.65","$ 182.00","A3NK3V1OETXEPR","2","B09V5S2MQ3","0196013442736","196013442736","B09V3BDS51","THE NORTH FACE","no"
