"Title","Buy Box 🚚: Current","Amazon: Current","New: Current","New: Highest","New, 3rd Party FBM 🚚: Current","eBay Used 🚚: Current","Count of retrieved live offers: New, FBM","ASIN","Product Codes: EAN","Product Codes: UPC"
"Laura Mercier Longwear Lip Liner Red Velvet","$ 28.00","","$ 28.00","$ 28.00","$ 28.00","","1","B07QJTPFGQ","0736150169006","736150169006"
"Laura Mercier Longwear Lip Liner Ruby","","","","$ 52.14","","","","B07QFH61VB","0736150169044","736150169044"
"Laura Mercier velour lip powder collection - New York","$ 15.03","","$ 15.03","$ 78.59","$ 15.03","","2","B07P14GXK6","0736150169426","736150169426"
"Laura Mercier Velour Lip Powder Collection","$ 19.47","","$ 19.47","$ 78.59","$ 19.47","","2","B07NZ179GT","0736150169440","736150169440"
"Laura Mercier Velour Extreme Matte Lipstick, Soiree","$ 19.10","","$ 19.10","$ 69.88","$ 19.10","","5","B07NWNHKJX","0736150169488","736150169488"
"Laura Mercier Velour Extreme Matte Lipstick - Chill","$ 28.88","","$ 27.88","$ 46.59","$ 27.88","","2","B07NWN7L8R","0736150169501","736150169501"
"Laura Mercier Velour Extreme Matte Lipstick Muse","$ 20.27","","$ 18.00","$ 29.99","$ 18.00","","6","B07NWPPV5J","0736150169525","736150169525"
"Laura Mercier Women's Tinted Moisturizer Natural Skin Perfector SPF 30, Pearl, Tan, 1.7 oz/ 50 mL","","","$ 63.11","$ 99.99","$ 61.11","","1","B07Z8HTFMF","0736150171986","736150171986"
"Laura Mercier Almond Coconut Eau De Toilette 3-Pcs Collection","$ 144.00","","$ 144.00","$ 144.00","$ 144.00","","1","B0C5N9NJ5M","0736150173881","736150173881"
"Laura Mercier Caviar Chrome Veil Liquid Eye Shadow Opalescent","$ 29.50","","$ 29.50","$ 59.20","$ 29.50","","1","B08HR5JY17","0736150174079","736150174079"
"Velour Extreme Matte Lipstick","","","","$ 54.95","","","","B07XHSPGN6","0736150174710","736150174710"
"Laura Mercier Velour Extreme Matte Lipstick - Independant Deep Plum","","","$ 30.00","$ 78.96","$ 30.00","","1","B07XHSPQW6","0736150174734","736150174734"
"Laura Mercier Women's Flawless Fusion Concealer 5W - Deep with Warm Undertones, One Size","$ 33.00","","$ 33.00","$ 33.00","$ 32.00","","3","B07VZ27N7R","0736150175120","736150175120"
"Laura Mercier Artist Eyelash Curler Eyelash Curler 100g","$ 27.98","","$ 27.98","$ 54.99","$ 27.98","","1","B07SD5YZN6","0736150175205","736150175205"
"Purifying Micellar Water","","","$ 44.95","$ 59.95","$ 44.95","","3","B08954MS69","0736150180278","736150180278"
"Laura Mercier Conditioning Cleansing Oil 5oz (150ml)","$ 29.99","","$ 29.99","$ 59.95","$ 29.99","","1","B089558SMJ","0736150180346","736150180346"
"Laura Mercier Women's Intense Caviar Stick Eye Color Raspberry, One Size","","","$ 42.81","$ 77.87","","","1","B086MBG56L","0736150182500","736150182500"
"Laura Mercier Petal Soft Lipstick Crayon 302 Ella","","","$ 46.70","$ 49.70","$ 46.70","","1","B0BZJZ7P8Y","0736150183545","736150183545"
"Laura Mercier Petal Soft Lipstick Crayon 360 Agnés","","","$ 43.99","$ 46.17","$ 51.94","","1","B0BZK18FD9","0736150183705","736150183705"
"Laura Mercier Petal Soft Lipstick Crayon 341 Simone","","","$ 41.99","$ 44.99","$ 41.99","","2","B0BZJY7VWY","0736150183958","736150183958"
"Birkenstock Arizona Black Mens Sandals Size 42 EU","$ 99.00","","$ 99.00","$ 183.23","","","0","B07N157759","0736399000665","736399000665"
"Birkenstock Arizona Leather Sandals Black Size 42","$ 97.99","","$ 97.99","$ 195.00","$ 97.99","","1","B000JLOGM8","0736399000665","736399000665"
"Birkenstock Unisex Milano BS Leather Black Sandals 6 W / 4 M US","","","$ 123.25","$ 148.95","$ 123.25","","1","B000IHJGEQ","0736399005509","736399005509"
"Birkenstock Unisex-Adult Sandals Medina V Dd Black Bb R, Multi, 6-6.5 M US","$ 103.75","","$ 103.75","$ 162.50","$ 103.75","","1","B000QDZVC8","4013871006725, 0736399006728","736399006728"
"Birkenstock Men's, Arizona Birko Flor Sandal - Regular Width Black 46 M","","","","$ 154.61","","","0","B07N14WMBY","0736399007695","736399007695"
"Birkenstock Unisex Arizona Sandals Black Birko-Flor 46 = Men's 13-13.5 Regular","","","","$ 143.44","","","","B07N14BH45","0736399007695","736399007695"
"BIRKENSTOCK Men's Arizona Sandal Taupe Suede Size 44 M EU","","","$ 155.00","$ 155.00","$ 155.00","","1","B07N157PD4","0736399008289","736399008289"
"Birkenstock Women's Arizona Double Buckle Cork Sandals Brown Size 39","$ 102.56","","$ 101.96","$ 161.22","","","0","B07N148Y7P","0736399008388","736399008388"
"Birkenstock Unisex Arizona Dark Brown Leather Sandal 41 R EU","$ 97.00","","$ 97.00","$ 269.99","","","0","B00901JRNQ","0736399009187","736399009187"
"Birkenstock Arizona - Leather (Unisex) Black Leather EU 39 (US Men's 6-6.5, Women's 8-8.5) Regular","","","$ 117.83","$ 213.79","$ 117.83","","1","B000JLKGOU","0736399009231","736399009231"
"Birkenstock Womens Arizona White Synthetic Sandals 40 EU","","","","$ 134.99","","","","B07N14NR7F","0736399009958","736399009958"
"Birkenstock Womens Arizona White Synthetic Sandals 40 EU","$ 109.90","$ 117.50","$ 109.90","$ 253.26","$ 109.90","","1","B008YFK5HQ","0736399009958","736399009958"
"Birkenstock Womens Arizona Black Leather Sandals 41 EU","","","","$ 238.00","","","","B000JLKGPE","0736399010145","736399010145"
"Birkenstock Arizona Classic - Birko-Flor Black 41 Narrow","","","","$ 156.40","","","","B07N14TJQK","0736399010527","736399010527"
"Birkenstock Arizona Unisex Black Birko-Flor Sandal 41 / Unisex US Size 10-10.5","","","$ 130.41","$ 139.95","","","0","B07N15LHCZ","0736399010527","736399010527"
"Birkenstock Arizona Unisex Suede Sandal","","","$ 187.55","$ 250.59","$ 187.55","","3","B000EYDK0O","0736399014204","736399014204"
"Birkenstock Blue Footbed Casual (Sport), Narrow Width, (43) Men 10-10.5","$ 59.95","","$ 59.95","$ 122.58","$ 59.95","","1","B002Y48YM6","0736399015447","736399015447"
"Birkenstock Womens Arizona Blue Birko-Flor Sandals 37 EU","$ 67.99","","$ 67.99","$ 135.00","$ 99.95","","4","B005AXZ3WM","0736399016581","736399016581"
"Birkenstock Arizona Sandals - EUR 37 - Narrow - Black - Leather","","","$ 172.88","$ 205.18","","","1","B000JLKGOA","0736399016796","736399016796"
"Birkenstock Women's Arizona Brown Birko-Flor 41 N","$ 95.95","","$ 95.95","$ 129.00","$ 95.95","","1","B07N132JRD","0736399019919","736399019919"
"Birkenstock Arizona Unisex Black Birko-Flor Sandal 39 / Unisex US Size 8-8.5","$ 114.78","","$ 114.78","$ 199.18","","","0","B07N149YJ7","0736399020274","736399020274"
"BIRKENSTOCK Blue Footbed Casual (Sport), Medium Width, (38) Women 7-7.5","$ 59.95","","$ 59.95","$ 60.00","","","0","B001HY0HPQ","0736399021110","736399021110"
"Birkenstock Arizona 41 Black Birko Flor","$ 105.45","","$ 105.45","$ 155.78","$ 105.45","","2","B07N14NNYR","0736399021240","736399021240"
"Birkenstock Men's Arizona Birko-Flor Sandals, Black, 8 US","$ 102.63","","$ 89.06","$ 130.00","$ 102.63","","2","B07MZZHPXV","0736399021240","736399021240"
"Birkenstock Arizona Unisex Leather Sandal Men's 11-11.5, Women's 13-13.5 Narrow","","","$ 195.41","$ 198.41","$ 195.41","","2","B000G6SRY4","0736399022698","736399022698"
"Birkenstock Women's Dark Brown Arizona Birkoflor 44 2A(N) EU","$ 109.95","","$ 109.95","$ 135.00","","","1","B07N14XMQK","0736399022698","736399022698"
"Birkenstock Arizona Unisex Suede Sandal","$ 135.00","","$ 135.00","$ 236.29","$ 135.00","","3","B000EYBKO2","0736399023800","736399023800"
