Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,Referral Fee %,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Custom_SKU,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Blacklisted,Curr_Listed?,Buy Box ðŸšš: Stock,"New, 3rd Party FBM ðŸšš: 30 days avg.",Prime Eligible (Buy Box),Buy Box : Current,Buy Box : Stock,Buy Bo : Current,Buy Box ðŸšš: Current,Curr_match,Buy Box 🚚: Stock,"New, 3rd Party FBM 🚚: 30 days avg.",Buy Box 🚚: Current
"Buffalo David Bitton Women's Carrie Mid Rise Slim Jeans, Medium Acid, 25",407745.0,491021.0,$47.81,4.0,$36.65,,,,A24V851RG6UNB7,1.0,B09N41HWGC,195990328323,GB195990328323,195990328323.0,B09N4DPZZC,Buffalo David Bitton,,https://www.google.com/search?q=195990328323+Buffalo+David+Bitton+Women%27s+Carrie+Mid+Rise+Slim+Jeans%2C+Medium+Acid%2C+25&tbm=shop,Y,https://www.amazon.com/dp/B09N41HWGC?psc=1,"https://www.google.com/shopping/product/16208036329259050155/offers?q=195990328323&prds=cid:16208036329259050155,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
"Kate Spade New York Blue Willow Drive8482 Trivet, 0.90 LB",537278.0,334724.0,,,,,,,-,,B07STFZPPT,882864826794,GB882864826794,882864826794.0,,Kate Spade New York,,https://www.google.com/search?q=882864826794+Kate+Spade+New+York+Blue+Willow+Drive8482+Trivet%2C+0.90+LB&tbm=shop,Y,https://www.amazon.com/dp/B07STFZPPT?psc=1,"https://www.google.com/shopping/product/16184839888302679376/offers?q=882864826794&prds=cid:16184839888302679376,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
"Kate Spade New York Women's Scalloped Hipster Bikini Bottoms, White, M",,,$57.00,1.0,$57.00,,,,A5B8CQY4F8JBW,1.0,B07146LPN1,755448493630,GB755448493630,755448493630.0,,Kate Spade New York,,https://www.google.com/search?q=755448493630+Kate+Spade+New+York+Women%27s+Scalloped+Hipster+Bikini+Bottoms%2C+White%2C+M&tbm=shop,Y,https://www.amazon.com/dp/B07146LPN1?psc=1,"https://www.google.com/shopping/product/16148455222318671947/offers?q=755448493630&prds=cid:16148455222318671947,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
Buffalo David Bitton Emerson Side Ruched T-Shirt Black MD,,7054916.0,$19.60,,$19.60,,,,-,0.0,B09N2FKLXG,195990199787,GB195990199787,195990199787.0,,Buffalo David Bitton,,https://www.google.com/search?q=195990199787+Buffalo+David+Bitton+Emerson+Side+Ruched+T-Shirt+Black+MD&tbm=shop,Y,https://www.amazon.com/dp/B09N2FKLXG?psc=1,"https://www.google.com/shopping/product/1614374563847285188/offers?q=195990199787&prds=cid:1614374563847285188,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
"Kate Spade New York Alexya Pine Grove Way Pebbled Leather Shoulder Bag Handbag, Merlot",,,$138.00,1.0,$138.00,,,,A1ZOO4O7Q3NVOD,1.0,B074PW6N5Z,98687101110,GB98687101110,98687101110.0,,Kate Spade New York,,https://www.google.com/search?q=98687101110+Kate+Spade+New+York+Alexya+Pine+Grove+Way+Pebbled+Leather+Shoulder+Bag+Handbag%2C+Merlot&tbm=shop,Y,https://www.amazon.com/dp/B074PW6N5Z?psc=1,"https://www.google.com/shopping/product/16084279911993049620/offers?q=98687101110&prds=cid:16084279911993049620,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
"Kate Spade New York Women's Avaline2/S Aviator Sunglasses, Silver, 58mm, 14mm",1454466.0,1512206.0,,,$69.95,,,,A2G8LN62QID17B,1.0,B09KCD66WZ,716736316840,GB716736316840,716736316840.0,B093NSWDQ8,Kate Spade New York,,https://www.google.com/search?q=716736316840+Kate+Spade+New+York+Women%27s+Avaline2%2FS+Aviator+Sunglasses%2C+Silver%2C+58mm%2C+14mm&tbm=shop,Y,https://www.amazon.com/dp/B09KCD66WZ?psc=1,"https://www.google.com/shopping/product/16053480338735422330/offers?q=716736316840&prds=cid:16053480338735422330,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
Kate Spade New York Darcy Small Zip Card Case Wallet,,,,,,,,,-,,B0B4WT44QW,196021023101,GB196021023101,196021023101.0,,Kate Spade New York,,https://www.google.com/search?q=196021023101+Kate+Spade+New+York+Darcy+Small+Zip+Card+Case+Wallet&tbm=shop,Y,https://www.amazon.com/dp/B0B4WT44QW?psc=1,"https://www.google.com/shopping/product/16033989048746889954/offers?q=196021023101&prds=cid:16033989048746889954,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
Kate Spade New York Charmer Black Multi 6 B (M),775612.0,1926530.0,$131.32,,$131.32,,,,-,0.0,B0BST2VW4C,196021232930,GB196021232930,196021232930.0,B0C6YN3CRY,Kate Spade New York,,https://www.google.com/search?q=196021232930+Kate+Spade+New+York+Charmer+Black+Multi+6+B+%28M%29&tbm=shop,Y,https://www.amazon.com/dp/B0BST2VW4C?psc=1,"https://www.google.com/shopping/product/16031305541442819329/offers?q=196021232930&prds=cid:16031305541442819329,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
"Buffalo David Bitton Ladies’ Cozy Top (Pink, XX-Large)",1037062.0,890675.0,$59.99,1.0,$59.99,,,,A26NFHXZV4BPGO,1.0,B079NQB9CC,627650613130,GB627650613130,627650613130.0,B079NLP5XL,Buffalo David Bitton,,https://www.google.com/search?q=627650613130+Buffalo+David+Bitton+Ladies%E2%80%99+Cozy+Top+%28Pink%2C+XX-Large%29&tbm=shop,Y,https://www.amazon.com/dp/B079NQB9CC?psc=1,"https://www.google.com/shopping/product/16022771470171206735/offers?q=627650613130&prds=cid:16022771470171206735,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
"KATE SPADE Larabee Road Platinum 5-piece Place Setting, 4.5 LB, Metallic",322794.0,296678.0,,,$186.00,,,,AML6V7FTQQ2Y6,3.0,B0037HXUI2,882864265104,GB882864265104,882864265104.0,B0988CTG1R,Kate Spade,,https://www.google.com/search?q=882864265104+KATE+SPADE+Larabee+Road+Platinum+5-piece+Place+Setting%2C+4.5+LB%2C+Metallic&tbm=shop,Y,https://www.amazon.com/dp/B0037HXUI2?psc=1,"https://www.google.com/shopping/product/1596241836506034981/offers?q=882864265104&prds=cid:1596241836506034981,cond:1",,,,,,N,V,0.0,,,,,,,,,,,
