Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box)
"Steve Madden Women's Jannie Heeled Sandal, Hot Pink, 7",442936,354412,$67.91 ,3,$56.00 ,$99.36 ,$67.91 ,A24V851RG6UNB7,1,B0BTZC6D7T,0197369233061,1.97369E+11,B0BTZCXQ7N,Steve Madden,yes
"Steve Madden Women's Jannie Heeled Sandal, Hot Pink, 7.5",375016,336906,$34.99 ,1,$34.99 ,$99.95 ,$84.57 ,ANZYNJW9IIF9C,1,B0BTZ9W7YG,0197369233092,1.97369E+11,B0BTZCXQ7N,Steve Madden,yes
"Steve Madden Women's Jannie Heeled Sandal, Black, 8",362582,335158,$65.29 ,4,$55.95 ,$99.95 ,$63.45 ,A3V17JP5RCORRR,2,B0BTZC8PWW,0197369233115,1.97369E+11,B0BTZCXQ7N,Steve Madden,yes
"Steve Madden Women's Jannie Heeled Sandal, Hot Pink, 9",380649,334233,$72.39 ,1,$58.18 ,$99.95 ,$80.02 ,A24V851RG6UNB7,2,B0BTZ6N8CZ,0197369233184,1.97369E+11,B0BTZCXQ7N,Steve Madden,yes
"Steve Madden Women's Jannie Heeled Sandal, Black, 9.5",367073,338542,$63.54 ,7,$55.95 ,$99.95 ,$63.54 ,A3V17JP5RCORRR,2,B0BTZ96SBX,0197369233207,1.97369E+11,B0BTZCXQ7N,Steve Madden,yes
"Steve Madden Women's Jannie Heeled Sandal, Hot Pink, 11",492298,377590,$99.95 ,1,$99.95 ,$99.95 ,$99.95 ,A1LEM297LNF1FK,1,B0BTZBB6WQ,0197369233276,1.97369E+11,B0BTZCXQ7N,Steve Madden,no
"Steve Madden Women's Bryar Ballet Flat, Denim Multi, 10",235429,213973,$59.98 ,1,$54.99 ,$128.62 ,$59.98 ,A1XZ3PFSGU10KM,1,B0BWKZT5KD,0197369253236,1.97369E+11,B0BWL9DPB5,Steve Madden,no
"Steve Madden Women's Roaring Sneaker, White Multi Rhinestone, 7.5",75842,66321,$44.83 ,26,$43.93 ,$109.95 ,$46.78 ,-,4,B0BW4VL98B,0197369271223,1.97369E+11,B07GJSL3VL,Steve Madden,yes
"Steve Madden Women's Gene Sandal, Denim, 9.5",86575,105959,$79.95 ,5,$79.95 ,$79.95 ,$79.95 ,A1LEM297LNF1FK,1,B0BWKT1ZQW,0197369279489,1.97369E+11,B0C62MNX4W,Steve Madden,no
"Steve Madden Women's Mayven Slide Sandal, White/Black, 6",9577,22482,$69.05 ,24,$69.05 ,$89.95 ,$126.14 ,A1195MQ583AB5O,1,B0BWKWQ5FF,0197369279632,1.97369E+11,B0BRSW95CN,Steve Madden,yes
