Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,Referral Fee %,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Black_list,PID
"New Balance Women's Dynasoft Nitrel V4 Trail Running Shoe, Garnet/Black, 9",96854,96778,,,,,,-,,B08MWT36LP,195481233877,195481233877,B08QZNKMH5,New Balance,,GB195481233877,https://www.google.com/search?q=195481233877+New+Balance+Women%27s+Dynasoft+Nitrel+V4+Trail+Running+Shoe%2C+Garnet%2FBlack%2C+9&tbm=shop,Y,https://www.amazon.com/dp/B08MWT36LP?psc=1,"https://www.google.com/shopping/product/18089926713367293946/offers?q=195481233877&prds=cid:18089926713367293946,cond:1",Rack Room Shoes,84.99,144.48,160.63,160.63,Y,V,9441804495397661147
"New Balance Women's 237 V1 Classic Sneaker, Grey/Reflection/Nb Navy, 11",2297,3836,,,,,,-,0,B09YBY3VTC,196432914081,196432914081,B08M39MS47,New Balance,,GB196432914081,https://www.google.com/search?q=196432914081+New+Balance+Women%27s+237+V1+Classic+Sneaker%2C+Grey%2FReflection%2FNb+Navy%2C+11&tbm=shop,Y,https://www.amazon.com/dp/B09YBY3VTC?psc=1,"https://www.google.com/shopping/product/6334400768464654455/offers?q=196432914081&prds=cid:6334400768464654455,cond:1",Zappos.com,79.95,135.91,151.11,151.11,Y,V,9436527486440032091
"New Balance Men's Fresh Foam X 860 V12 Running Shoe, Light Aluminum/Deep Violet, 13 W",38308,50447,,,,,,-,,B096WGW45N,195481440473,195481440473,B0B9BRT7LY,New Balance,yes,GB195481440473,https://www.google.com/search?q=195481440473+New+Balance+Men%27s+Fresh+Foam+X+860+V12+Running+Shoe%2C+Light+Aluminum%2FDeep+Violet%2C+13+W&tbm=shop,Y,https://www.amazon.com/dp/B096WGW45N?psc=1,"https://www.google.com/shopping/product/6495634105944588848/offers?q=195481440473&prds=cid:6495634105944588848,cond:1",Fleet Feet,140,238,264.6,264.6,Y,V,9429120902400691500
"New Balance Women's Nergize Sport V1 Training Shoe, Washed Mint/Faded Teal, 7 W",8742,9336,,,,,,-,,B09XRFFWJ3,196432886005,196432886005,B0C7LWK3HG,New Balance,,GB196432886005,https://www.google.com/search?q=196432886005+New+Balance+Women%27s+Nergize+Sport+V1+Training+Shoe%2C+Washed+Mint%2FFaded+Teal%2C+7+W&tbm=shop,Y,https://www.amazon.com/dp/B09XRFFWJ3?psc=1,"https://www.google.com/shopping/product/1661765542419971291/offers?q=196432886005&prds=cid:1661765542419971291,cond:1",Kohl's,69.99,118.98,132.28,132.28,Y,V,9412580946238447181
"New Balance Women's 515 V3 Classic Sneaker, Black-Sky Blue, 7",2622,2936,,,,,,-,,B093X54YG8,195907890127,195907890127,B0B5NR1Z2V,New Balance,no,GB195907890127,https://www.google.com/search?q=195907890127+New+Balance+Women%27s+515+V3+Classic+Sneaker%2C+Black-Sky+Blue%2C+7&tbm=shop,Y,https://www.amazon.com/dp/B093X54YG8?psc=1,"https://www.google.com/shopping/product/4703600942823111222/offers?q=195907890127&prds=cid:4703600942823111222,cond:1",DSW,84.99,144.48,160.63,160.63,Y,V,9409282124815674845
"New Balance Unisex-Adult 420 V2 Sneaker, Black/Tan, 9 Wide Women/7.5 Men",88633,75567,,,,,,-,,B096NHBSMF,195907787977,195907787977,B096NTCZVM,New Balance,,GB195907787977,https://www.google.com/search?q=195907787977+New+Balance+Unisex-Adult+420+V2+Sneaker%2C+Black%2FTan%2C+9+Wide+Women%2F7.5+Men&tbm=shop,Y,https://www.amazon.com/dp/B096NHBSMF?psc=1,"https://www.google.com/shopping/product/5080653480961238264/offers?q=195907787977&prds=cid:5080653480961238264,cond:1",DSW,59.99,101.98,113.38,113.38,Y,V,9364597119198117194
"New Balance Men's 410 V7 Running Shoe, Ocean Grey/Outerspace/Wave, 10.5 X-Wide",26106,24229,,,,,,-,,B088P9PJW7,195173063379,195173063379,B088PRF7P4,New Balance,,GB195173063379,https://www.google.com/search?q=195173063379+New+Balance+Men%27s+410+V7+Running+Shoe%2C+Ocean+Grey%2FOuterspace%2FWave%2C+10.5+X-Wide&tbm=shop,Y,https://www.amazon.com/dp/B088P9PJW7?psc=1,"https://www.google.com/shopping/product/7079679368735510523/offers?q=195173063379&prds=cid:7079679368735510523,cond:1",Nordstrom Rack,49.97,84.95,94.44,94.44,Y,V,933658942289647020
"New Balance Women's Fresh Foam X 860 V12 Running Shoe, Black/Phantom, 11 M",47036,59077,,,,,,-,,B096WLY7BS,195481446291,195481446291,B0B8THVT7V,New Balance,,GB195481446291,https://www.google.com/search?q=195481446291+New+Balance+Women%27s+Fresh+Foam+X+860+V12+Running+Shoe%2C+Black%2FPhantom%2C+11+M&tbm=shop,Y,https://www.amazon.com/dp/B096WLY7BS?psc=1,"https://www.google.com/shopping/product/12246533816634208917/offers?q=195481446291&prds=cid:12246533816634208917,cond:1",New Balance,139.99,237.98,264.58,264.58,Y,V,9329446203157509827
"New Balance Women's Fresh Foam X 1080 V12 Running Shoe, Starlight/Dusk Blue/Sea Salt, 11.5",2580,2902,,,214.62,,,ANZYNJW9IIF9C,1,B096NKQHXP,196071068091,196071068091,B096NKR8NM,New Balance,,GB196071068091,https://www.google.com/search?q=196071068091+New+Balance+Women%27s+Fresh+Foam+X+1080+V12+Running+Shoe%2C+Starlight%2FDusk+Blue%2FSea+Salt%2C+11.5&tbm=shop,Y,https://www.amazon.com/dp/B096NKQHXP?psc=1,"https://www.google.com/shopping/product/18352043532530082019/offers?q=196071068091&prds=cid:18352043532530082019,cond:1",Fleet Feet,120,204,226.8,213.62,Y,V,931143301284697073
"New Balance Men's Nitrel V4 Running Shoe, Black/Black, 9",70039,76185,,,,,,-,,B08MWSCSSQ,195481230708,195481230708,B08DJQVRGT,New Balance,no,GB195481230708,https://www.google.com/search?q=195481230708+New+Balance+Men%27s+Nitrel+V4+Running+Shoe%2C+Black%2FBlack%2C+9&tbm=shop,Y,https://www.amazon.com/dp/B08MWSCSSQ?psc=1,"https://www.google.com/shopping/product/6364098902411402958/offers?q=195481230708&prds=cid:6364098902411402958,cond:1",shoebacca.com,105.95,180.12,200.25,200.25,Y,V,9270454574183859609
