Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,Referral Fee %,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Blacklisted,Curr_Listed?,Buy Box ðŸšš: Stock,"New, 3rd Party FBM ðŸšš: 30 days avg.",Prime Eligible (Buy Box),Buy Box : Current,Buy Box : Stock,Buy Bo : Current,Buy Box ðŸšš: Current,Curr_match,Buy Box 🚚: Stock,"New, 3rd Party FBM 🚚: 30 days avg.",Buy Box 🚚: Current
"New Balance Women's Made in US 990 V5 Sneaker, Grey/Castlerock, 6.5 X-Wide",58599.0,53519.0,,,306.81,318.17,,,A1B43WMIJ58I3U,1.0,B0791ZMLQJ,192662149712,192662149712,B08986L1PD,New Balance,,GB192662149712,https://www.google.com/search?q=192662149712+New+Balance+Women%27s+Made+in+US+990+V5+Sneaker%2C+Grey%2FCastlerock%2C+6.5+X-Wide&tbm=shop,Y,https://www.amazon.com/dp/B0791ZMLQJ?psc=1,"https://www.google.com/shopping/product/4836242921326254083/offers?q=0192662149712&prds=cid:4836242921326254083,cond:1",Sole Provisions,184.95,314.41499999999996,345.8565,318.17,Y,V,1.0,,,,,,,,,,,
"New Balance Men's Made in US 990 V5 Sneaker, Grey/Castlerock, 11.5 XX-Wide",25995.0,22225.0,,,308.81,350.6,,308.81$,A20FLYA0IW2L9O,1.0,B0797LTWLJ,192662166566,192662166566,B07H2T76RK,New Balance,yes,GB192662166566,https://www.google.com/search?q=192662166566+New+Balance+Men%27s+Made+in+US+990+V5+Sneaker%2C+Grey%2FCastlerock%2C+11.5+XX-Wide&tbm=shop,Y,https://www.amazon.com/dp/B0797LTWLJ?psc=1,"https://www.google.com/shopping/product/16939748091936332502/offers?q=0192662166566&prds=cid:16939748091936332502,cond:1",Orleans Shoe Co.,184.95,314.41499999999996,345.8565,345.8565,Y,V,1.0,,,,,,,,,,,
"New Balance Men's Made in US 990 V5 Sneaker, Grey/Castlerock, 16 Narrow",24893.0,21770.0,,,308.81,323.13,,,A20FLYA0IW2L9O,1.0,B07976X2VF,192662165835,192662165835,B07H2T76RK,New Balance,,GB192662165835,https://www.google.com/search?q=192662165835+New+Balance+Men%27s+Made+in+US+990+V5+Sneaker%2C+Grey%2FCastlerock%2C+16+Narrow&tbm=shop,Y,https://www.amazon.com/dp/B07976X2VF?psc=1,"https://www.google.com/shopping/product/1238244139806739444/offers?q=0192662165835&prds=cid:1238244139806739444,cond:1",,,,,,N,V,1.0,,,,,,,,,,,
"New Balance Men's Made in US 990 V5 Sneaker, Grey/Castlerock, 9.5 XX-Wide",20592.0,21936.0,,,306.81,334.69,,,A1B43WMIJ58I3U,1.0,B079788N4J,192662166528,192662166528,B07H2T76RK,New Balance,,GB192662166528,https://www.google.com/search?q=192662166528+New+Balance+Men%27s+Made+in+US+990+V5+Sneaker%2C+Grey%2FCastlerock%2C+9.5+XX-Wide&tbm=shop,Y,https://www.amazon.com/dp/B079788N4J?psc=1,"https://www.google.com/shopping/product/3126099025847412886/offers?q=0192662166528&prds=cid:3126099025847412886,cond:1",,,,,,N,V,1.0,,,,,,,,,,,
"New Balance Men's Made in US 990 V5 Sneaker, Grey/Castlerock, 12.5 Narrow",26285.0,22916.0,,,306.81,335.35,,309.72$,A1B43WMIJ58I3U,3.0,B07976ZDM3,192662165798,192662165798,B07H2T76RK,New Balance,no,GB192662165798,https://www.google.com/search?q=192662165798+New+Balance+Men%27s+Made+in+US+990+V5+Sneaker%2C+Grey%2FCastlerock%2C+12.5+Narrow&tbm=shop,Y,https://www.amazon.com/dp/B07976ZDM3?psc=1,"https://www.google.com/shopping/product/17248333303998665256/offers?q=0192662165798&prds=cid:17248333303998665256,cond:1",APerfectDealer,184.95,314.41499999999996,345.8565,335.35,Y,V,1.0,,,,,,,,,,,
"New Balance Men's Made in US 990 V5 Sneaker, Grey/Castlerock, 11 Narrow",25504.0,22054.0,,,306.81,318.17,,,A1B43WMIJ58I3U,3.0,B0797GD8YQ,192662165767,192662165767,B07H2T76RK,New Balance,,GB192662165767,https://www.google.com/search?q=192662165767+New+Balance+Men%27s+Made+in+US+990+V5+Sneaker%2C+Grey%2FCastlerock%2C+11+Narrow&tbm=shop,Y,https://www.amazon.com/dp/B0797GD8YQ?psc=1,"https://www.google.com/shopping/product/7093376748117549813/offers?q=0192662165767&prds=cid:7093376748117549813,cond:1",APerfectDealer,184.95,314.41499999999996,345.8565,318.17,Y,V,1.0,,,,,,,,,,,
"New Balance Men's Made in US 990 V5 Sneaker, Grey/Castlerock, 9 XX-Wide",21034.0,220646.0,,,306.81,334.69,,,A1B43WMIJ58I3U,2.0,B0797LTWLR,192662166511,192662166511,B07H2T76RK,New Balance,,GB192662166511,https://www.google.com/search?q=192662166511+New+Balance+Men%27s+Made+in+US+990+V5+Sneaker%2C+Grey%2FCastlerock%2C+9+XX-Wide&tbm=shop,Y,https://www.amazon.com/dp/B0797LTWLR?psc=1,"https://www.google.com/shopping/product/9691098912900774434/offers?q=0192662166511&prds=cid:9691098912900774434,cond:1",Orleans Shoe Co.,184.95,314.41499999999996,345.8565,334.69,Y,V,1.0,,,,,,,,,,,
"New Balance Women's Made in US 990 V5 Sneaker, Grey/Castlerock, 7.5",58084.0,50887.0,,,289.95,521.0,,293.31$,AZPPRMV8HVKZ8,2.0,B079252XMK,192662149255,192662149255,B08986L1PD,New Balance,yes,GB192662149255,https://www.google.com/search?q=192662149255+New+Balance+Women%27s+Made+in+US+990+V5+Sneaker%2C+Grey%2FCastlerock%2C+7.5&tbm=shop,Y,https://www.amazon.com/dp/B079252XMK?psc=1,"https://www.google.com/shopping/product/13466729883436422483/offers?q=0192662149255&prds=cid:13466729883436422483,cond:1",Van Dyke and Bacon,184.99,314.483,345.9313,345.9313,Y,V,1.0,,,,,,,,,,,
"New Balance Women's Made in US 990 V5 Sneaker, Grey/Castlerock, 11 Narrow",57111.0,49405.0,,,308.89,335.35,,308.89$,A20FLYA0IW2L9O,1.0,B0791XV3KM,192662149644,192662149644,B08986L1PD,New Balance,no,GB192662149644,https://www.google.com/search?q=192662149644+New+Balance+Women%27s+Made+in+US+990+V5+Sneaker%2C+Grey%2FCastlerock%2C+11+Narrow&tbm=shop,Y,https://www.amazon.com/dp/B0791XV3KM?psc=1,"https://www.google.com/shopping/product/4336405106684833749/offers?q=0192662149644&prds=cid:4336405106684833749,cond:1",,,,,,N,V,1.0,,,,,,,,,,,
"New Balance Men's Made in US 990 V5 Sneaker, Grey/Castlerock, 9.5 Narrow",25759.0,22168.0,,,318.17,318.17,,306.31$,ANZYNJW9IIF9C,,B07978FBTN,192662165736,192662165736,B07H2T76RK,New Balance,no,GB192662165736,https://www.google.com/search?q=192662165736+New+Balance+Men%27s+Made+in+US+990+V5+Sneaker%2C+Grey%2FCastlerock%2C+9.5+Narrow&tbm=shop,Y,https://www.amazon.com/dp/B07978FBTN?psc=1,"https://www.google.com/shopping/product/16430601645583559280/offers?q=0192662165736&prds=cid:16430601645583559280,cond:1",Van Dyke and Bacon,184.99,314.483,345.9313,317.17,Y,V,1.0,,,,,,,,,,,
"New Balance Men's Made in US 990 V5 Sneaker, Grey/Castlerock, 10 X-Narrow",20412.0,21897.0,,,,318.23,,,-,1.0,B0797CJ78X,192662166054,192662166054,B07H2T76RK,New Balance,,GB192662166054,https://www.google.com/search?q=192662166054+New+Balance+Men%27s+Made+in+US+990+V5+Sneaker%2C+Grey%2FCastlerock%2C+10+X-Narrow&tbm=shop,Y,https://www.amazon.com/dp/B0797CJ78X?psc=1,"https://www.google.com/shopping/product/3176057239875568577/offers?q=0192662166054&prds=cid:3176057239875568577,cond:1",Van Dyke and Bacon,184.99,314.483,345.9313,318.23,Y,V,1.0,,,,,,,,,,,
"Tory Burch Women's Bubble Jelly Slides, New Ivory, Off White, 11 Medium US",251501.0,337863.0,,,,188.0,,,-,,B099PMR8JR,192485938197,192485938197,B09GNW268M,Tory Burch,,GB192485938197,https://www.google.com/search?q=192485938197+Tory+Burch+Women%27s+Bubble+Jelly+Slides%2C+New+Ivory%2C+Off+White%2C+11+Medium+US&tbm=shop,Y,https://www.amazon.com/dp/B099PMR8JR?psc=1,"https://www.google.com/shopping/product/12543169769268131079/offers?q=0192485938197&prds=cid:12543169769268131079,cond:1",,,,,,N,V,1.0,,,,,,,,,,,
"New Balance Women's Fresh Foam X 1080 V12 Running Shoe, Phantom/Bright Mint, 7.5",2761.0,3188.0,149.77,,149.77,199.95,,,A20O9LUC2WFY7S,1.0,B09K4S28HT,196307469517,196307469517,B096NKR8NM,New Balance,,GB196307469517,https://www.google.com/search?q=196307469517+New+Balance+Women%27s+Fresh+Foam+X+1080+V12+Running+Shoe%2C+Phantom%2FBright+Mint%2C+7.5&tbm=shop,Y,https://www.amazon.com/dp/B09K4S28HT?psc=1,"https://www.google.com/shopping/product/9139914445523681176/offers?q=0196307469517&prds=cid:9139914445523681176,cond:1",,,,,,N,V,1.0,,,,,,,,,,,
"New Balance Women's Fresh Foam X 860 V13, White/Light Aluminum/Light Gold Metallic, 9 X-Wide",12407.0,15753.0,,,,243.85,,,-,,B0BB3SJ8NH,196307625456,196307625456,B0CVTX666Q,New Balance,,GB196307625456,https://www.google.com/search?q=196307625456+New+Balance+Women%27s+Fresh+Foam+X+860+V13%2C+White%2FLight+Aluminum%2FLight+Gold+Metallic%2C+9+X-Wide&tbm=shop,Y,https://www.amazon.com/dp/B0BB3SJ8NH?psc=1,"https://www.google.com/shopping/product/2071039946841970297/offers?q=0196307625456&prds=cid:2071039946841970297,cond:1",,,,,,N,V,1.0,,,,,,,,,,,
"New Balance Men's Fresh Foam X Hierro V7 Running Shoe, Magnet/Castlerock, 9",6507.0,10832.0,,,186.51,192.17,,,ANZYNJW9IIF9C,1.0,B09K4V9ZR2,196307407380,196307407380,B0CLDCBKLP,New Balance,,GB196307407380,https://www.google.com/search?q=196307407380+New+Balance+Men%27s+Fresh+Foam+X+Hierro+V7+Running+Shoe%2C+Magnet%2FCastlerock%2C+9&tbm=shop,Y,https://www.amazon.com/dp/B09K4V9ZR2?psc=1,"https://www.google.com/shopping/product/17734405928721234182/offers?q=0196307407380&prds=cid:17734405928721234182,cond:1",Philadelphia Runner,107.88,183.396,201.7356,185.51,Y,V,1.0,,,,,,,,,,,
