Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List
"Steve Madden Women's Cliff Sneaker, Burgundy Multi, 5.5 M US",90971.0,73123.0,,,144.29,$144.29 ,$144.29 ,A35T3I43XUSHP7,1.0,B07H9LZNBR,0824095936347,824095936347,B07DQ5NZ2V,Steve Madden,no,GB824095936347,https://www.google.com/search?q=824095936347+Steve+Madden+Women%27s+Cliff+Sneaker%2C+Burgundy+Multi%2C+5.5+M+US&tbm=shop,N,https://www.amazon.com/dp/B07H9LZNBR?psc=1,Not Found,Not Found,,,,,N
"Steve Madden Women's Cliff Sneaker, White/Gold, 9 M US",90781.0,74137.0,74.95,1.0,74.95,$99.95 ,,-,0.0,B08DTMN2ZS,0194068910323,194068910323,B07DQ5NZ2V,Steve Madden,yes,GB194068910323,https://www.google.com/search?q=194068910323+Steve+Madden+Women%27s+Cliff+Sneaker%2C+White%2FGold%2C+9+M+US&tbm=shop,Y,https://www.amazon.com/dp/B08DTMN2ZS?psc=1,"https://www.google.com/shopping/product/68089452736090685/offers?q=194068910323&prds=cid:68089452736090685,cond:1",Not Found,,,,,N
"Steve Madden Women's Cliff Sneaker (Black/Gold, us_Footwear_Size_System, Adult, Women, Numeric, Medium, Numeric_6_Point_5)",89390.0,73382.0,79.95,4.0,79.95,$84.99 ,$79.95 ,A1G9RBEK6CB71F,1.0,B08D7BGKBT,0194068910231,194068910231,B07DQ5NZ2V,Steve Madden,no,GB194068910231,https://www.google.com/search?q=194068910231+Steve+Madden+Women%27s+Cliff+Sneaker+%28Black%2FGold%2C+us_Footwear_Size_System%2C+Adult%2C+Women%2C+Numeric%2C+Medium%2C+Numeric_6_Point_5%29&tbm=shop,Y,https://www.amazon.com/dp/B08D7BGKBT?psc=1,"https://www.google.com/shopping/product/15208715758280319589/offers?q=194068910231&prds=cid:15208715758280319589,cond:1",Not Found,,,,,N
"Steve Madden Women's Cliff Sneaker, Silver Glitter, 6.5 M US",94061.0,74410.0,69.95,18.0,69.95,$81.96 ,,-,0.0,B093CKHM13,0195945423202,195945423202,B07DQ5NZ2V,Steve Madden,yes,GB195945423202,https://www.google.com/search?q=195945423202+Steve+Madden+Women%27s+Cliff+Sneaker%2C+Silver+Glitter%2C+6.5+M+US&tbm=shop,N,https://www.amazon.com/dp/B093CKHM13?psc=1,,,,,,,N
"Steve Madden Cliff Snake Multi Round-Toe Lace Up Platform Fashion Sneakers (Bright Multi Snake, 8.5)",94152.0,75488.0,69.95,1.0,69.95,$99.95 ,$69.95 ,A1G9RBEK6CB71F,1.0,B08DTRQTVR,0193408177990,193408177990,B07DQ5NZ2V,Steve Madden,no,GB193408177990,https://www.google.com/search?q=193408177990+Steve+Madden+Cliff+Snake+Multi+Round-Toe+Lace+Up+Platform+Fashion+Sneakers+%28Bright+Multi+Snake%2C+8.5%29&tbm=shop,Y,https://www.amazon.com/dp/B08DTRQTVR?psc=1,"https://www.google.com/shopping/product/9641779183782836844/offers?q=193408177990&prds=cid:9641779183782836844,cond:1",Not Found,,,,,N
"Steve Madden Women's Cliff Sneaker, neon Green, 8 M US",91449.0,74487.0,64.99,5.0,64.99,$191.15 ,,-,0.0,B07K2QLYMV,0193408157909,193408157909,B07DQ5NZ2V,Steve Madden,yes,GB193408157909,https://www.google.com/search?q=193408157909+Steve+Madden+Women%27s+Cliff+Sneaker%2C+neon+Green%2C+8+M+US&tbm=shop,Y,https://www.amazon.com/dp/B07K2QLYMV?psc=1,"https://www.google.com/shopping/product/12299649046790295270/offers?q=193408157909&prds=cid:12299649046790295270,cond:1",Not Found,,,,,N
"Steve Madden Women's Lessa Pump, Gold, 8.5",76039.0,66475.0,84.96,104.0,84.96,$224.99 ,,-,0.0,B097Q57CMG,0195945733677,195945733677,B0CW1XQLJ7,Steve Madden,yes,GB195945733677,https://www.google.com/search?q=195945733677+Steve+Madden+Women%27s+Lessa+Pump%2C+Gold%2C+8.5&tbm=shop,Y,https://www.amazon.com/dp/B097Q57CMG?psc=1,"https://www.google.com/shopping/product/7870873937153866629/offers?q=195945733677&prds=cid:7870873937153866629,cond:1",Steve Madden,86.97,147.85,164.37,,N
"Steve Madden Women's Lessa Heeled Sandal, Leopard Velvet, 8",77723.0,68093.0,24.99,5.0,24.99,$109.95 ,$24.99 ,A24V851RG6UNB7,2.0,B09TDLZFCG,0196361874142,196361874142,B0CW1XQLJ7,Steve Madden,no,GB196361874142,https://www.google.com/search?q=196361874142+Steve+Madden+Women%27s+Lessa+Heeled+Sandal%2C+Leopard+Velvet%2C+8&tbm=shop,Y,https://www.amazon.com/dp/B09TDLZFCG?psc=1,"https://www.google.com/shopping/product/10670883558020910501/offers?q=196361874142&prds=cid:10670883558020910501,cond:1",Not Found,,,,,N
"Steve Madden Women's Annie Heeled Sandal, Black, 7.5",117750.0,146281.0,99.95,12.0,99.95,$99.95 ,,-,0.0,B0B7R7MFWZ,0196361425047,196361425047,B0B5YH5W9H,Steve Madden,yes,GB196361425047,https://www.google.com/search?q=196361425047+Steve+Madden+Women%27s+Annie+Heeled+Sandal%2C+Black%2C+7.5&tbm=shop,Y,https://www.amazon.com/dp/B0B7R7MFWZ?psc=1,"https://www.google.com/shopping/product/11633864427767455971/offers?q=196361425047&prds=cid:11633864427767455971,cond:1",Zappos.com,109.95,186.91,207.81,,N
"Steve Madden Women's Annie Heeled Sandal, Black, 6",130008.0,163049.0,99.95,8.0,99.95,$99.95 ,$183.18 ,A1195MQ583AB5O,1.0,B0B7R5STV1,0196361424958,196361424958,B0B5YH5W9H,Steve Madden,yes,GB196361424958,https://www.google.com/search?q=196361424958+Steve+Madden+Women%27s+Annie+Heeled+Sandal%2C+Black%2C+6&tbm=shop,Y,https://www.amazon.com/dp/B0B7R5STV1?psc=1,"https://www.google.com/shopping/product/6096606392237596335/offers?q=196361424958&prds=cid:6096606392237596335,cond:1",Zappos.com,109.95,186.91,207.81,,N
