Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List
"THE NORTH FACE Mudder Trucker Hat, TNF White/Kelp Tan TNF Camo Print/Graphic Patch, One Size",18679.0,18483.0,,,,$38.99 ,,-,,B09KP255VZ,193391978581,193391978581,B078WCBVW8,THE NORTH FACE,yes,GB193391978581,https://www.google.com/search?q=193391978581+THE+NORTH+FACE+Mudder+Trucker+Hat%2C+TNF+White%2FKelp+Tan+TNF+Camo+Print%2FGraphic+Patch%2C+One+Size&tbm=shop,Y,https://www.amazon.com/dp/B09KP255VZ?psc=1,"https://www.google.com/shopping/product/4397834148986207178/offers?q=193391978581&prds=cid:4397834148986207178,cond:1",EMS,39.99,67.98,75.58,75.58,Y
"THE NORTH FACE Men's Antora Waterproof Jacket (Standard and Big Size), Deep Grass Green, X-Large",19454.0,18533.0,,,,$109.95 ,,-,,B0BGYKHBYD,196011663720,196011663720,B0CNLD3XFY,THE NORTH FACE,yes,GB196011663720,https://www.google.com/search?q=196011663720+THE+NORTH+FACE+Men%27s+Antora+Waterproof+Jacket+%28Standard+and+Big+Size%29%2C+Deep+Grass+Green%2C+X-Large&tbm=shop,Y,https://www.amazon.com/dp/B0BGYKHBYD?psc=1,"https://www.google.com/shopping/product/4503750694729345343/offers?q=196011663720&prds=cid:4503750694729345343,cond:1",evo.com,64.99,110.48,122.83,122.83,Y
"THE NORTH FACE Men's Antora Waterproof Jacket (Standard and Big Size), Mandarin/TNF Black, XX-Large",19193.0,18456.0,,,,$176.40 ,,-,,B0BZ8TWBW9,196573177857,196573177857,B0CNLD3XFY,THE NORTH FACE,yes,GB196573177857,https://www.google.com/search?q=196573177857+THE+NORTH+FACE+Men%27s+Antora+Waterproof+Jacket+%28Standard+and+Big+Size%29%2C+Mandarin%2FTNF+Black%2C+XX-Large&tbm=shop,Y,https://www.amazon.com/dp/B0BZ8TWBW9?psc=1,"https://www.google.com/shopping/product/14919835432279939145/offers?q=196573177857&prds=cid:14919835432279939145,cond:1",SunnySports.com,79.95,135.91,151.11,151.11,Y
"THE NORTH FACE Men's Antora Waterproof Jacket (Standard and Big Size), Optic Emerald Generative Camo Print, Large",18963.0,18417.0,,,,$110.00 ,,-,,B0CHWLBTMZ,196575604542,196575604542,B0CNLD3XFY,THE NORTH FACE,yes,GB196575604542,https://www.google.com/search?q=196575604542+THE+NORTH+FACE+Men%27s+Antora+Waterproof+Jacket+%28Standard+and+Big+Size%29%2C+Optic+Emerald+Generative+Camo+Print%2C+Large&tbm=shop,Y,https://www.amazon.com/dp/B0CHWLBTMZ?psc=1,"https://www.google.com/shopping/product/186039415035682430/offers?q=196575604542&prds=cid:186039415035682430,cond:1",The North Face,130.0,221.0,245.7,245.7,Y
"THE NORTH FACE Women's Waterproof Antora Jacket (Standard and Plus Size), White Dune/Khaki Stone, 3X",19703.0,25250.0,,,,$110.00 ,$110.00 ,-,,B0CHWKKQW2,196575605419,196575605419,B09F1K52N7,THE NORTH FACE,no,GB196575605419,https://www.google.com/search?q=196575605419+THE+NORTH+FACE+Women%27s+Waterproof+Antora+Jacket+%28Standard+and+Plus+Size%29%2C+White+Dune%2FKhaki+Stone%2C+3X&tbm=shop,Y,https://www.amazon.com/dp/B0CHWKKQW2?psc=1,"https://www.google.com/shopping/product/14822026780141370179/offers?q=196575605419&prds=cid:14822026780141370179,cond:1",REI,110.0,187.0,207.9,207.9,Y
"THE NORTH FACE Women's Waterproof Antora Jacket (Standard and Plus Size), Super Sonic Blue, 2X",19956.0,24781.0,,,,$110.00 ,,-,,B0BHTK717W,196011654384,196011654384,B09F1K52N7,THE NORTH FACE,yes,GB196011654384,https://www.google.com/search?q=196011654384+THE+NORTH+FACE+Women%27s+Waterproof+Antora+Jacket+%28Standard+and+Plus+Size%29%2C+Super+Sonic+Blue%2C+2X&tbm=shop,Y,https://www.amazon.com/dp/B0BHTK717W?psc=1,"https://www.google.com/shopping/product/17807013796489987142/offers?q=196011654384&prds=cid:17807013796489987142,cond:1",Eagle Eye Outfitters,119.95,203.91,226.71,226.71,Y
"THE NORTH FACE Men's Thermoball Traction Mule V Winter Shoe, TNF Red/TNF Black, 10",18709.0,12871.0,,,,$136.29 ,$69.63 ,-,,B09TRYWJ2C,196247349092,196247349092,B07PM8Y639,THE NORTH FACE,yes,GB196247349092,https://www.google.com/search?q=196247349092+THE+NORTH+FACE+Men%27s+Thermoball+Traction+Mule+V+Winter+Shoe%2C+TNF+Red%2FTNF+Black%2C+10&tbm=shop,Y,https://www.amazon.com/dp/B09TRYWJ2C?psc=1,"https://www.google.com/shopping/product/8354444963112292381/offers?q=196247349092&prds=cid:8354444963112292381,cond:1",Ramsey Outdoor,51.3,87.21,96.96,96.96,Y
"THE NORTH FACE Men's Thermoball Traction Mule V Winter Shoe, TNF Black Half Dome Tagline Toss/Fiery Red, 14",18377.0,12651.0,,,,$59.00 ,$42.83 ,-,,B0BGT1ZR2N,196012345908,196012345908,B07PM8Y639,THE NORTH FACE,no,GB196012345908,https://www.google.com/search?q=196012345908+THE+NORTH+FACE+Men%27s+Thermoball+Traction+Mule+V+Winter+Shoe%2C+TNF+Black+Half+Dome+Tagline+Toss%2FFiery+Red%2C+14&tbm=shop,Y,https://www.amazon.com/dp/B0BGT1ZR2N?psc=1,"https://www.google.com/shopping/product/12085654786019826633/offers?q=196012345908&prds=cid:12085654786019826633,cond:1",The North Face,69.0,117.3,130.41,130.41,Y
"THE NORTH FACE Men's Thermoball Traction Mule V Winter Shoe, Summit Navy/TNF White, 11",18706.0,12918.0,,,,$104.71 ,,-,,B0C28KNM9V,196573288980,196573288980,B07PM8Y639,THE NORTH FACE,yes,GB196573288980,https://www.google.com/search?q=196573288980+THE+NORTH+FACE+Men%27s+Thermoball+Traction+Mule+V+Winter+Shoe%2C+Summit+Navy%2FTNF+White%2C+11&tbm=shop,Y,https://www.amazon.com/dp/B0C28KNM9V?psc=1,"https://www.google.com/shopping/product/16879656095525055026/offers?q=196573288980&prds=cid:16879656095525055026,cond:1",Zappos.com,68.95,117.22,130.32,130.32,Y
"THE NORTH FACE Men's Short Sleeve Box NSE Tee (Standard and Big Size), Pine Needle/Photo Real/Graphics, Small",24421.0,44265.0,,,,$44.97 ,$27.43 ,-,,B0C1PB9HW4,196573581166,196573581166,B08BF62RL8,THE NORTH FACE,no,GB196573581166,https://www.google.com/search?q=196573581166+THE+NORTH+FACE+Men%27s+Short+Sleeve+Box+NSE+Tee+%28Standard+and+Big+Size%29%2C+Pine+Needle%2FPhoto+Real%2FGraphics%2C+Small&tbm=shop,Y,https://www.amazon.com/dp/B0C1PB9HW4?psc=1,"https://www.google.com/shopping/product/14213730195608867635/offers?q=196573581166&prds=cid:14213730195608867635,cond:1",Dillard's,40.0,68.0,75.6,75.6,Y
