Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box 🚚: Current,Buy Box 🚚: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box)
Brooks Womens Adrenaline GTS 22 Black/Black/Ebony 5 B - Medium,83.0,70.0,,,$ 134.99,$ 188.99,$ 124.10,A325BWLW9IYYOY,1.0,B08QV5D687,190340946189.0,190340946189.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - White/Coral/Purple - 7 Medium,82.0,70.0,,,$ 163.15,$ 163.15,$ 131.11,A1MLP04OASBI2Z,1.0,B08QTRG2RF,190340947568.0,190340947568.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Peacoat/Blue Iris/Rhapsody - 8.5 Medium,84.0,71.0,,,$ 139.99,$ 163.09,$ 154.05,A114I0OUP3FTFB,2.0,B0BHKNCBN8,195394226294.0,195394226294.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Black/Purple/Coral - 5 Narrow,83.0,70.0,,,$ 134.99,$ 247.62,$ 122.74,A325BWLW9IYYOY,1.0,B09MJSG3D8,195394073393.0,195394073393.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Peacoat/Blue Iris/Rhapsody - 10 Medium,83.0,70.0,,,$ 139.99,$ 170.01,$ 149.98,A114I0OUP3FTFB,1.0,B0BHKX3WSL,195394226386.0,195394226386.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Alloy/Blue/Green - 9.5 X-Wide,83.0,71.0,,,$ 151.02,$ 177.79,$ 159.00,A24V851RG6UNB7,2.0,B08QV32BFG,190340947018.0,190340947018.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Grey/Peacoat/Aruba - 11 Medium,83.0,70.0,,,,$ 160.45,,-,,B09RRSPRCQ,195394172478.0,195394172478.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Black/Ebony/Citrus - 9.5 Medium,83.0,70.0,,,$ 175.00,$ 219.99,$ 175.00,A2F3F8BB3QYULR,1.0,B0BHKN2ZHL,195394246575.0,195394246575.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Pearl/Black/Metallic - 7.5 Medium,84.0,70.0,,,,$ 268.93,,-,,B09MJRCV4C,195394031348.0,195394031348.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Black/Black/Ebony - 6 Medium,84.0,71.0,,,$ 134.99,$ 198.33,$ 129.03,A325BWLW9IYYOY,3.0,B08QV9B11K,190340946226.0,190340946226.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Peacoat/Blue Iris/Rhapsody - 7 Medium,84.0,71.0,,,$ 163.07,$ 163.07,$ 154.41,A1MLP04OASBI2Z,1.0,B0BHKSVJRK,195394226201.0,195394226201.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Black/Black/Ebony - 6.5 Medium,83.0,70.0,,,$ 134.99,$ 207.26,$ 131.20,A325BWLW9IYYOY,2.0,B08QVGWFS8,190340946240.0,190340946240.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Alloy/Blue/Green - 11.5 X-Wide,83.0,71.0,$ 118.22,1.0,$ 105.99,$ 139.95,$ 122.70,-,1.0,B08QTZC144,190340947179.0,190340947179.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Peacoat/Cobalt/Mauve - 8.5 Medium,83.0,71.0,,,,$ 199.00,$ 163.51,-,,B09MZM91P6,195394089301.0,195394089301.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Easter/Province/White - 5 Medium,84.0,71.0,$ 116.39,1.0,$ 116.39,$ 202.77,$ 116.39,ALHH7WTNBWV52,1.0,B09MZMBJ8F,195394110036.0,195394110036.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Blue/Purple/Nightlife - 10 Medium,83.0,71.0,$ 84.95,,$ 84.95,$ 235.10,$ 102.68,-,1.0,B09MJSLP6Y,195394031799.0,195394031799.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Peacoat/Blue Iris/Rhapsody - 6 Wide,84.0,72.0,,,,$ 174.00,$ 119.29,-,,B0BHKX1MY7,195394226157.0,195394226157.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Black/Blue/Bittersweet - 5.5 Medium,83.0,72.0,$ 117.58,2.0,$ 105.99,$ 236.62,$ 139.59,-,1.0,B0BHKPB23K,195394246810.0,195394246810.0,B0C62SXDLR,Brooks,no
Brooks Womens Adrenaline GTS 22 Black/Black/Ebony 5 D - Wide,83.0,70.0,$ 109.75,1.0,$ 109.75,$ 235.10,$ 125.28,AP3VA1GJZM3EQ,1.0,B08QV49BBT,190340946196.0,190340946196.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Silver Lake Blue/Green/White - 5 Medium,83.0,71.0,$ 109.95,2.0,$ 109.95,$ 139.95,$ 91.42,AZ3EGFUU23A8C,1.0,B0BHL483T9,195394225754.0,195394225754.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Grey/Peacoat/Aruba - 6.5 Medium,82.0,70.0,,,$ 170.00,$ 170.00,$ 169.33,A2F3F8BB3QYULR,1.0,B09RRS56D5,195394172386.0,195394172386.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Peacoat/Blue Iris/Rhapsody - 7.5 Wide,85.0,71.0,,,$ 134.99,$ 174.00,$ 134.99,A325BWLW9IYYOY,1.0,B0BHKPFYVB,195394226249.0,195394226249.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Purple/Dutch Blue/Lilac - 5 Medium,83.0,71.0,,1.0,$ 90.85,$ 209.99,$ 90.89,-,1.0,B09MZMHBHN,195394089387.0,195394089387.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Kentucky Blue/Peacoat/Pink - 5 Medium,83.0,72.0,$ 117.84,1.0,$ 105.99,$ 170.01,$ 139.85,-,1.0,B09RRQW854,195394154757.0,195394154757.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Peacoat/Blue Iris/Rhapsody - 11 Wide,83.0,70.0,,,$ 169.00,$ 174.00,$ 169.00,A3ERVGYWNCMJRK,1.0,B0BHKKCPG9,195394226454.0,195394226454.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Pearl/Black/Metallic - 6.5 Wide,83.0,71.0,,,,$ 268.93,,-,,B09MJRKXL7,195394031317.0,195394031317.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Black/Lake Blue/Coral - 5 Medium,82.0,70.0,$ 109.95,1.0,$ 109.95,$ 197.99,$ 115.24,AZ3EGFUU23A8C,2.0,B0BHKWLB1D,195394225594.0,195394225594.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Alloy/Blue/Green - 13 Wide,82.0,70.0,$ 118.33,1.0,$ 105.99,$ 213.48,$ 140.34,-,1.0,B098L84TSF,195394066906.0,195394066906.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Kentucky Blue/Peacoat/Pink - 12 Medium,82.0,70.0,$ 109.95,3.0,$ 109.95,$ 170.01,$ 109.94,AZ3EGFUU23A8C,1.0,B09RR26BX9,195394154894.0,195394154894.0,B0C62SXDLR,Brooks,no
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Black/Purple/Coral - 5.5 Narrow,84.0,71.0,,,$ 134.99,$ 247.62,$ 122.07,A325BWLW9IYYOY,1.0,B09MJS7D3C,195394073409.0,195394073409.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Purple/Dutch Blue/Lilac - 6.5 Medium,83.0,70.0,,,$ 150.00,$ 209.99,$ 154.19,A1HNIIMY69TN9I,2.0,B09MZLZKWH,195394089417.0,195394089417.0,B0C62SXDLR,Brooks,yes
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Black/Purple/Coral - 12 Medium,83.0,70.0,,,$ 145.02,$ 163.09,$ 105.69,A2I4KIISCXKZBK,2.0,B08QVJL4HY,190340947506.0,190340947506.0,B0C62SXDLR,Brooks,no
Brooks Women's Ghost 15 Neutral Running Shoe - Ebony/Open Air/Lilac Rose - 6 Medium,48.0,71.0,,,,$ 264.51,$ 199.00,-,,B0BHXTWGTS,195394312690.0,195394312690.0,B0CKKBPDKF,Brooks,yes
