Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Custom_SKU,Google_Search_Link,Amazon_link,Match,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List
"New Balance Men's Fresh Foam X 3000 V6 Metal Baseball Shoe, White/White, 12",8883,19580,104.98,27.0,89.98,$105.40 ,"A1YSV4FL7WKBZC, A2HH9I2VFGFJCX",5.0,B09YBM3B9S,196307393102,196307393102,B0CSK8299J,New Balance,no,GB196307393102,https://www.google.com/search?q=196307393102+New+Balance+Men%27s+Fresh+Foam+X+3000+V6+Metal+Baseball+Shoe%2C+White%2FWhite%2C+12&tbm=shop,https://www.amazon.com/dp/B09YBM3B9S?psc=1,Y,"https://www.google.com/shopping/product/6249660258995949992/offers?q=196307393102&prds=cid:6249660258995949992,cond:1",Baseball Express,94.99,161.48,179.53,,N
"New Balance Men's Fresh Foam X 3000 V6 Metal Baseball Shoe, Team Carolina/White, 5",9415,19444,,,,,-,,B09YGN2X99,196307398749,196307398749,B0CSK8299J,New Balance,yes,GB196307398749,https://www.google.com/search?q=196307398749+New+Balance+Men%27s+Fresh+Foam+X+3000+V6+Metal+Baseball+Shoe%2C+Team+Carolina%2FWhite%2C+5&tbm=shop,https://www.amazon.com/dp/B09YGN2X99?psc=1,Y,"https://www.google.com/shopping/product/2724127032004097014/offers?q=196307398749&prds=cid:2724127032004097014,cond:1",Not Found,,,,,N
"New Balance Women's Fresh Foam 680 V7 Running Shoe, White/Quartz Grey/Virtual Blue, 9",6532,7603,,,91.24,$99.05 ,A1L771VVVO0RJK,3.0,B0BHJQD1JF,196941000978,196941000978,B08M4R6YKJ,New Balance,no,GB196941000978,https://www.google.com/search?q=196941000978+New+Balance+Women%27s+Fresh+Foam+680+V7+Running+Shoe%2C+White%2FQuartz+Grey%2FVirtual+Blue%2C+9&tbm=shop,https://www.amazon.com/dp/B0BHJQD1JF?psc=1,Y,"https://www.google.com/shopping/product/17499647842183594902/offers?q=196941000978&prds=cid:17499647842183594902,cond:1",Rack Room Shoes,79.97,135.95,151.14,,N
"New Balance Women's Fresh Foam 680 V7 Running Shoe, Black/White/Uv Glo, 7.5 Wide",6499,7554,,,,,-,,B08P2CM6TH,195481316105,195481316105,B08M4R6YKJ,New Balance,no,GB195481316105,https://www.google.com/search?q=195481316105+New+Balance+Women%27s+Fresh+Foam+680+V7+Running+Shoe%2C+Black%2FWhite%2FUv+Glo%2C+7.5+Wide&tbm=shop,https://www.amazon.com/dp/B08P2CM6TH?psc=1,Y,"https://www.google.com/shopping/product/17499647842183594902/offers?q=195481316105&prds=cid:17499647842183594902,cond:1",Rack Room Shoes,79.97,135.95,151.14,151.14,Y
"New Balance Women's Fresh Foam 680 V7 Running Shoe, Raw Amethyst/Black/Vibrant Orange, 6 Wide",6584,7651,,,,,-,,B093QKLMJF,195907691212,195907691212,B08M4R6YKJ,New Balance,yes,GB195907691212,https://www.google.com/search?q=195907691212+New+Balance+Women%27s+Fresh+Foam+680+V7+Running+Shoe%2C+Raw+Amethyst%2FBlack%2FVibrant+Orange%2C+6+Wide&tbm=shop,https://www.amazon.com/dp/B093QKLMJF?psc=1,Y,"https://www.google.com/shopping/product/17499647842183594902/offers?q=195907691212&prds=cid:17499647842183594902,cond:1",Rack Room Shoes,79.97,135.95,151.14,151.14,Y
"New Balance Men's Fresh Foam X Hierro V7 Running Shoe, Truffle/Electric Purple, 17 Wide",5344,10443,,,,,-,,B0BGV6X94Z,196307597203,196307597203,B0CLDCBKLP,New Balance,no,GB196307597203,https://www.google.com/search?q=196307597203+New+Balance+Men%27s+Fresh+Foam+X+Hierro+V7+Running+Shoe%2C+Truffle%2FElectric+Purple%2C+17+Wide&tbm=shop,https://www.amazon.com/dp/B0BGV6X94Z?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Men's Fresh Foam X 3000 V6 Metal Baseball Shoe, White/Castlerock, 9",9026,19496,83.98,13.0,68.98,$84.45 ,A1YSV4FL7WKBZC,2.0,B09YBVWTR1,196307528276,196307528276,B0CSK8299J,New Balance,no,GB196307528276,https://www.google.com/search?q=196307528276+New+Balance+Men%27s+Fresh+Foam+X+3000+V6+Metal+Baseball+Shoe%2C+White%2FCastlerock%2C+9&tbm=shop,https://www.amazon.com/dp/B09YBVWTR1?psc=1,Y,"https://www.google.com/shopping/product/6173704552429957191/offers?q=196307528276&prds=cid:6173704552429957191,cond:1",Scheels,119.99,203.98,226.78,,N
"New Balance Men's Fresh Foam X 3000 V6 Metal Baseball Shoe, White/Castlerock, 6.5 Wide",9051,19728,,4.0,,,-,0.0,B09YBX5YBJ,196307528429,196307528429,B0CSK8299J,New Balance,yes,GB196307528429,https://www.google.com/search?q=196307528429+New+Balance+Men%27s+Fresh+Foam+X+3000+V6+Metal+Baseball+Shoe%2C+White%2FCastlerock%2C+6.5+Wide&tbm=shop,https://www.amazon.com/dp/B09YBX5YBJ?psc=1,Y,"https://www.google.com/shopping/product/2984498146660393978/offers?q=196307528429&prds=cid:2984498146660393978,cond:1",Not Found,,,,,N
"New Balance Women's Fresh Foam 680 V7 Running Shoe, Black/Bright Mint/Electric Purple, 7.5",6570,7670,,,78.94,$99.75 ,A1LEG17FBBKDN1,1.0,B09H3PJJJV,196307429344,196307429344,B08M4R6YKJ,New Balance,yes,GB196307429344,https://www.google.com/search?q=196307429344+New+Balance+Women%27s+Fresh+Foam+680+V7+Running+Shoe%2C+Black%2FBright+Mint%2FElectric+Purple%2C+7.5&tbm=shop,https://www.amazon.com/dp/B09H3PJJJV?psc=1,Y,"https://www.google.com/shopping/product/3934289393397560300/offers?q=196307429344&prds=cid:3934289393397560300,cond:1",Not Found,,,,,N
"New Balance Women's Fresh Foam 680 V7 Running Shoe, Light Moonstone/Cosmic Jade/Silver Metallic, 9.5",6678,7693,,,99.0,$99.00 ,A149AQEOQK37A6,1.0,B09H3P6VJ4,196307429658,196307429658,B08M4R6YKJ,New Balance,yes,GB196307429658,https://www.google.com/search?q=196307429658+New+Balance+Women%27s+Fresh+Foam+680+V7+Running+Shoe%2C+Light+Moonstone%2FCosmic+Jade%2FSilver+Metallic%2C+9.5&tbm=shop,https://www.amazon.com/dp/B09H3P6VJ4?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Women's Fresh Foam X Hierro V7 Trail Running Shoe, Eclipse/Natural Indigo/Electric Teal, 8",11049,18862,109.99,1.0,109.99,$109.99 ,AIH24TPLTGO9Z,2.0,B09K4VW8QX,196307335935,196307335935,B0CLP2D65F,New Balance,no,GB196307335935,https://www.google.com/search?q=196307335935+New+Balance+Women%27s+Fresh+Foam+X+Hierro+V7+Trail+Running+Shoe%2C+Eclipse%2FNatural+Indigo%2FElectric+Teal%2C+8&tbm=shop,https://www.amazon.com/dp/B09K4VW8QX?psc=1,Y,"https://www.google.com/shopping/product/6426139458918234548/offers?q=196307335935&prds=cid:6426139458918234548,cond:1",DICK'S Sporting Goods,139.99,237.98,264.58,,N
"New Balance Women's Fresh Foam X Hierro V7 Trail Running Shoe, Stone Pink/Blacktop/Washed Burgundy, 5.5",11233,19037,,7.0,,$103.39 ,A3KIY9XAB84JHF,1.0,B09YBLQKHV,196432391073,196432391073,B0CLP2D65F,New Balance,yes,GB196432391073,https://www.google.com/search?q=196432391073+New+Balance+Women%27s+Fresh+Foam+X+Hierro+V7+Trail+Running+Shoe%2C+Stone+Pink%2FBlacktop%2FWashed+Burgundy%2C+5.5&tbm=shop,https://www.amazon.com/dp/B09YBLQKHV?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Women's Fresh Foam X Hierro V7 Trail Running Shoe, Timberwolf/Workwear, 9.5",11318,18935,,,,,-,,B09MYJMV32,196307431040,196307431040,B0CLP2D65F,New Balance,yes,GB196307431040,https://www.google.com/search?q=196307431040+New+Balance+Women%27s+Fresh+Foam+X+Hierro+V7+Trail+Running+Shoe%2C+Timberwolf%2FWorkwear%2C+9.5&tbm=shop,https://www.amazon.com/dp/B09MYJMV32?psc=1,Y,"https://www.google.com/shopping/product/14574795183710814148/offers?q=196307431040&prds=cid:14574795183710814148,cond:1",Backcountry.com,79.98,135.97,151.16,151.16,Y
"New Balance Men's 411 V1 Training Shoe, Black/Black, 11 Wide",5382,417181,,,,,-,,B07PL1YTTV,193684164288,193684164288,B0CRK3DSLY,New Balance,yes,GB193684164288,https://www.google.com/search?q=193684164288+New+Balance+Men%27s+411+V1+Training+Shoe%2C+Black%2FBlack%2C+11+Wide&tbm=shop,https://www.amazon.com/dp/B07PL1YTTV?psc=1,Y,"https://www.google.com/shopping/product/8792602521865970697/offers?q=193684164288&prds=cid:8792602521865970697,cond:1",6pm.com,69.5,118.15,131.35,131.35,Y
"New Balance Women's Fresh Foam X Hierro V7 Trail Running Shoe, Undyed/Turtledove, 9",11119,19104,,,179.95,$180.79 ,A3KIY9XAB84JHF,1.0,B09YGZXDF9,196432761081,196432761081,B0CLP2D65F,New Balance,yes,GB196432761081,https://www.google.com/search?q=196432761081+New+Balance+Women%27s+Fresh+Foam+X+Hierro+V7+Trail+Running+Shoe%2C+Undyed%2FTurtledove%2C+9&tbm=shop,https://www.amazon.com/dp/B09YGZXDF9?psc=1,Y,"https://www.google.com/shopping/product/10050841694957703317/offers?q=196432761081&prds=cid:10050841694957703317,cond:1",Backcountry.com,149.95,254.91,283.41,,N
"New Balance Women's Fresh Foam X Hierro V7 Trail Running Shoe, Undyed/Turtledove, 8 Wide",11074,18991,,,,,-,,B09YGBCJD1,196432761203,196432761203,B0CLP2D65F,New Balance,yes,GB196432761203,https://www.google.com/search?q=196432761203+New+Balance+Women%27s+Fresh+Foam+X+Hierro+V7+Trail+Running+Shoe%2C+Undyed%2FTurtledove%2C+8+Wide&tbm=shop,https://www.amazon.com/dp/B09YGBCJD1?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Women's Fresh Foam X Hierro V7 Trail Running Shoe, Eclipse/Natural Indigo/Electric Teal, 10",11135,19133,139.95,18.0,139.95,$139.95 ,A1Q1PHSVIGZBP8,1.0,B09K4W85PL,196307335973,196307335973,B0CLP2D65F,New Balance,no,GB196307335973,https://www.google.com/search?q=196307335973+New+Balance+Women%27s+Fresh+Foam+X+Hierro+V7+Trail+Running+Shoe%2C+Eclipse%2FNatural+Indigo%2FElectric+Teal%2C+10&tbm=shop,https://www.amazon.com/dp/B09K4W85PL?psc=1,Y,"https://www.google.com/shopping/product/11279095379136234311/offers?q=196307335973&prds=cid:11279095379136234311,cond:1",shoebacca.com,109.95,186.91,207.81,,N
"New Balance Men's Fresh Foam X Hierro V7 Running Shoe, Concrete/Vintage Teal/Hot Marigold, 14 Wide",5391,10458,139.92,1.0,139.92,$149.90 ,A31AFALODO9N5A,1.0,B09YBY58QK,196432385157,196432385157,B0CLDCBKLP,New Balance,no,GB196432385157,https://www.google.com/search?q=196432385157+New+Balance+Men%27s+Fresh+Foam+X+Hierro+V7+Running+Shoe%2C+Concrete%2FVintage+Teal%2FHot+Marigold%2C+14+Wide&tbm=shop,https://www.amazon.com/dp/B09YBY58QK?psc=1,Y,"https://www.google.com/shopping/product/7302945072399079113/offers?q=196432385157&prds=cid:7302945072399079113,cond:1",Zappos.com,137.87,234.38,260.57,,N
"New Balance Women's Fresh Foam 680 V7 Running Shoe, Light Moonstone/Cosmic Jade/Silver Metallic, 6.5",6571,7642,84.47,,78.99,$85.32 ,A17JMB5HUNLC4O,1.0,B09H3P529P,196307429597,196307429597,B08M4R6YKJ,New Balance,no,GB196307429597,https://www.google.com/search?q=196307429597+New+Balance+Women%27s+Fresh+Foam+680+V7+Running+Shoe%2C+Light+Moonstone%2FCosmic+Jade%2FSilver+Metallic%2C+6.5&tbm=shop,https://www.amazon.com/dp/B09H3P529P?psc=1,Y,"https://www.google.com/shopping/product/17499647842183594902/offers?q=196307429597&prds=cid:17499647842183594902,cond:1",Rack Room Shoes,79.97,135.95,151.14,,N
