Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box 🚚: Current,Buy Box 🚚: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Buy Box: Current,Buy Box: Stock,Match,Custom_SKU,Google_Search_Link,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List
"Tory Burch Women's Ladybug Sneakers, Jean, Blue, 8 Medium US",1451453,1451453,,,288.0,$288.00 ,,-,0.0,B0C93F635R,196133998632.0,196133998632.0,B0BVY4XYFL,Tory Burch,yes,288.0,,N,GB196133998632.0,https://www.google.com/search?q=196133998632.0+Tory+Burch+Women%27s+Ladybug+Sneakers%2C+Jean%2C+Blue%2C+8+Medium+US&tbm=shop,https://www.amazon.com/dp/B0C93F635R?psc=1,Not Found,Not Found,,,,,N
Tory Burch 153399 Willa Black With Gold Hardware Women's Mini Top Handle Bag,985097,4421399,,,280.0,$398.99 ,,-,0.0,B0CQ341ZDV,196133821374.0,196133821374.0,,Tory Burch,yes,280.0,3.0,N,GB196133821374.0,https://www.google.com/search?q=196133821374.0+Tory+Burch+153399+Willa+Black+With+Gold+Hardware+Women%27s+Mini+Top+Handle+Bag&tbm=shop,https://www.amazon.com/dp/B0CQ341ZDV?psc=1,"https://www.google.com/shopping/product/16404710547833459603/offers?q=196133821374&prds=cid:16404710547833459603,cond:1",Not Found,,,,,N
"Tory Burch Women's Miller Pave, Silver, 9.5 Medium US",842690,1006038,,,278.0,$308.00 ,,-,0.0,B0BB84GMCS,196133526828.0,196133526828.0,B0B1GDT5VC,Tory Burch,yes,278.0,1.0,N,GB196133526828.0,https://www.google.com/search?q=196133526828.0+Tory+Burch+Women%27s+Miller+Pave%2C+Silver%2C+9.5+Medium+US&tbm=shop,https://www.amazon.com/dp/B0BB84GMCS?psc=1,"https://www.google.com/shopping/product/16076700871581082381/offers?q=196133526828&prds=cid:16076700871581082381,cond:1",Not Found,,,,,N
"Tory Burch Women's Bow Ballet Pumps 45mm, Ginger Shortbread/Black, 7.5 Medium US",1622981,1510941,,,298.0,$298.00 ,,-,0.0,B0BVXY7KDV,196133870556.0,196133870556.0,B0BVY7QZX9,Tory Burch,yes,298.0,2.0,N,GB196133870556.0,https://www.google.com/search?q=196133870556.0+Tory+Burch+Women%27s+Bow+Ballet+Pumps+45mm%2C+Ginger+Shortbread%2FBlack%2C+7.5+Medium+US&tbm=shop,https://www.amazon.com/dp/B0BVXY7KDV?psc=1,"https://www.google.com/shopping/product/2209835495431493328/offers?q=196133870556&prds=cid:2209835495431493328,cond:1",Neiman Marcus,248.0,421.6,468.72,,N
Tory Burch 150059 Willa Matte Women's Chain Wallet (Black),992792,1095928,,,199.99,$318.99 ,,-,0.0,B0CS6TD7CK,196133820308.0,196133820308.0,B0CS6YV8X6,Tory Burch,yes,199.99,66.0,N,GB196133820308.0,https://www.google.com/search?q=196133820308.0+Tory+Burch+150059+Willa+Matte+Women%27s+Chain+Wallet+%28Black%29&tbm=shop,https://www.amazon.com/dp/B0CS6TD7CK?psc=1,"https://www.google.com/shopping/product/9774228662902746976/offers?q=196133820308&prds=cid:9774228662902746976,cond:1",Not Found,,,,,N
Tory Burch 137720 Tory Gold Tone Rope Logo Women's Hoop Earrings,1953490,1529008,,,,$147.99 ,$128.07 ,-,,B0BRNTTB6V,196133335376,196133335376,,Tory Burch,no,,,Y,GB196133335376,https://www.google.com/search?q=196133335376+Tory+Burch+137720+Tory+Gold+Tone+Rope+Logo+Women%27s+Hoop+Earrings&tbm=shop,https://www.amazon.com/dp/B0BRNTTB6V?psc=1,"https://www.google.com/shopping/product/12853072189579926515/offers?q=196133335376&prds=cid:12853072189579926515,cond:1",Not Found,,,,,N
"Tory Burch Women's Miller Stud 5MM Hinge Bracelet, Tory Gold/Crystal, Medium",2732132,1695259,,,198.0,$198.00 ,,-,0.0,B0CN3S3Q3J,196133828076,196133828076,B0CN3TKL52,Tory Burch,yes,198.0,2.0,Y,GB196133828076,https://www.google.com/search?q=196133828076+Tory+Burch+Women%27s+Miller+Stud+5MM+Hinge+Bracelet%2C+Tory+Gold%2FCrystal%2C+Medium&tbm=shop,https://www.amazon.com/dp/B0CN3S3Q3J?psc=1,"https://www.google.com/shopping/product/12409362848711566780/offers?q=196133828076&prds=cid:12409362848711566780,cond:1",Not Found,,,,,N
"Tory Burch Women's Minnie Travel Ballet Flats, Black Patent, 10 Medium US",434605,386716,,,228.0,$228.00 ,$228.00 ,A3AQGBEJ7K4ZZ8,1.0,B0BY41ZYBZ,0196133537060,196133537060,B0CKH8XV2Y,Tory Burch,no,228.0,1.0,Y,GB196133537060,https://www.google.com/search?q=196133537060+Tory+Burch+Women%27s+Minnie+Travel+Ballet+Flats%2C+Black+Patent%2C+10+Medium+US&tbm=shop,https://www.amazon.com/dp/B0BY41ZYBZ?psc=1,"https://www.google.com/shopping/product/2622581855803881138/offers?q=196133537060&prds=cid:2622581855803881138,cond:1",Zappos.com,181.0,307.7,342.09,,N
"Tory Burch Women's Minnie Travel Ballet Flats, Black Patent, 11 Medium US",496427,358053,,,228.0,$228.00 ,$228.00 ,A3AQGBEJ7K4ZZ8,1.0,B0BY42LN9D,0196133537084,196133537084,B0CKH8XV2Y,Tory Burch,no,228.0,1.0,Y,GB196133537084,https://www.google.com/search?q=196133537084+Tory+Burch+Women%27s+Minnie+Travel+Ballet+Flats%2C+Black+Patent%2C+11+Medium+US&tbm=shop,https://www.amazon.com/dp/B0BY42LN9D?psc=1,"https://www.google.com/shopping/product/2622581855803881138/offers?q=196133537084&prds=cid:2622581855803881138,cond:1",Not Found,,,,,N
"Tory Burch Women's 1.5"" Miller Reversible Belt, Black/Classic Cuoio/Silver, L",265589,255829,,,337.18,$337.18 ,$332.57 ,ANZYNJW9IIF9C,1.0,B0C11PN81M,0196133360293,196133360293,B088P7Q55C,Tory Burch,no,,,N,GB196133360293,https://www.google.com/search?q=196133360293+Tory+Burch+Women%27s+1.5%22+Miller+Reversible+Belt%2C+Black%2FClassic+Cuoio%2FSilver%2C+L&tbm=shop,https://www.amazon.com/dp/B0C11PN81M?psc=1,Not Found,Not Found,,,,,N
Tory Burch Tory Burch Eau de Parfum - .24 ounce Mini Dabber,201081,207273,,,65.39,$65.39 ,$55.93 ,AQF46JDVN6142,1.0,B078PB2YM1,"0022548297148, 0789467684403, 0719578133019","719578133019, 789467684403, 022548297148",B08CS1N8MX,Tory Burch,no,,,N,"GB719578133019, 789467684403, 022548297148",https://www.google.com/search?q=719578133019%2C+789467684403%2C+022548297148+Tory+Burch+Tory+Burch+Eau+de+Parfum+-+.24+ounce+Mini+Dabber&tbm=shop,https://www.amazon.com/dp/B078PB2YM1?psc=1,"https://www.google.com/shopping/product/3195220165635017742/offers?q=719578133019&prds=cid:3195220165635017742,cond:1",WeMakeBeauty,79.95,135.91,151.11,,N
"Tory Burch Women's Kira Chevron Small Convertible Shoulder Bag, Devon Sand, Tan, One Size",988868,837344,,,548.0,$548.00 ,$543.96 ,A3RGQKMIPT95HP,1.0,B0BJ8TXJMP,0196133552032,196133552032,B0B17858NS,Tory Burch,no,548.0,1.0,N,GB196133552032,https://www.google.com/search?q=196133552032+Tory+Burch+Women%27s+Kira+Chevron+Small+Convertible+Shoulder+Bag%2C+Devon+Sand%2C+Tan%2C+One+Size&tbm=shop,https://www.amazon.com/dp/B0BJ8TXJMP?psc=1,,,,,,,N
Tory Burch Eau de Parfum Spray Collection (1 oz),340873,436436,,,165.0,$165.00 ,$132.33 ,A1D7TDH8BAWGBZ,1.0,B00HUC3J68,"0022548295724, 0703962082014","022548295724, 703962082014",,Tory Burch,no,,,N,"GB022548295724, 703962082014",https://www.google.com/search?q=022548295724%2C+703962082014+Tory+Burch+Eau+de+Parfum+Spray+Collection+%281+oz%29&tbm=shop,https://www.amazon.com/dp/B00HUC3J68?psc=1,"https://www.google.com/shopping/product/8823714665675831920/offers?q=022548295724&prds=cid:8823714665675831920,cond:1",Not Found,,,,,N
