Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box 🚚: Stock,New: Current,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Custom_SKU,Google_Search_Link,Amazon_link,Match,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List
"New Balance Roav 7 Mens Shoes Size 7.5, Color: White/Black/Red-White",97375,92426,84.9,1.0,84.9,$ 84.80,A8J09E2FDMZCY,1.0,B08MWR7M15,0195481151232,195481151232,B0948K3MPL,New Balance,no,GB195481151232,https://www.google.com/search?q=195481151232+New+Balance+Roav+7+Mens+Shoes+Size+7.5%2C+Color%3A+White%2FBlack%2FRed-White&tbm=shop,https://www.amazon.com/dp/B08MWR7M15?psc=1,Y,"https://www.google.com/shopping/product/319882378204733106/offers?q=195481151232&prds=cid:319882378204733106,cond:1",Kohl's,69.99,118.98,132.28,,N
"New Balance Men's Fresh Foam Roav V2 Sneaker, Black/Black/Magnet, 9",99545,91681,85.22,1.0,85.22,$ 96.32,A16HZ3J3WEU71V,2.0,B08LZXVNXW,0195481151614,195481151614,B0948K3MPL,New Balance,no,GB195481151614,https://www.google.com/search?q=195481151614+New+Balance+Men%27s+Fresh+Foam+Roav+V2+Sneaker%2C+Black%2FBlack%2FMagnet%2C+9&tbm=shop,https://www.amazon.com/dp/B08LZXVNXW?psc=1,Y,"https://www.google.com/shopping/product/10629341370589202801/offers?q=195481151614&prds=cid:10629341370589202801,cond:1",Not Found,,,,,N
"New Balance womens Fuelcell 996 V5 Hard Court Tennis Shoe, White/Black, 8.5 US",102060,150848,,,126.62,$ 148.45,A1LEG17FBBKDN1,1.0,B09YGGBHFB,0196432942510,196432942510,B09YCC16SC,New Balance,yes,GB196432942510,https://www.google.com/search?q=196432942510+New+Balance+womens+Fuelcell+996+V5+Hard+Court+Tennis+Shoe%2C+White%2FBlack%2C+8.5+US&tbm=shop,https://www.amazon.com/dp/B09YGGBHFB?psc=1,Y,"https://www.google.com/shopping/product/67658096868071318/offers?q=196432942510&prds=cid:67658096868071318,cond:1",ShoeStores.com,89.99,152.98,170.08,,N
"New Balance Men's Fresh Foam X 1080 Unlaced V1 Running Shoe, Light Aluminum/Silver Mink, 10 Wide",116734,108940,,,,,-,,B09K4SYMJW,0196307490917,196307490917,B0CVTTYB7K,New Balance,yes,GB196307490917,https://www.google.com/search?q=196307490917+New+Balance+Men%27s+Fresh+Foam+X+1080+Unlaced+V1+Running+Shoe%2C+Light+Aluminum%2FSilver+Mink%2C+10+Wide&tbm=shop,https://www.amazon.com/dp/B09K4SYMJW?psc=1,Y,"https://www.google.com/shopping/product/1.5426095893328212e+19/offers?q=196307490917&prds=cid:1.5426095893328212e+19,cond:1",Not Found,,,,,N
"New Balance mens Fresh Foam X 1080 Unlaced V1 Slip-on Running Shoe, Light Aluminum/Silver Mink, 11.5 Wide US",115736,109035,,,,,-,,B09K4T8NT9,0196307490948,196307490948,B0CVTTYB7K,New Balance,yes,GB196307490948,https://www.google.com/search?q=196307490948+New+Balance+mens+Fresh+Foam+X+1080+Unlaced+V1+Slip-on+Running+Shoe%2C+Light+Aluminum%2FSilver+Mink%2C+11.5+Wide+US&tbm=shop,https://www.amazon.com/dp/B09K4T8NT9?psc=1,Y,"https://www.google.com/shopping/product/6167653602295137170/offers?q=196307490948&prds=cid:6167653602295137170,cond:1",Road Runner Sports,119.87,203.78,226.55,226.55,Y
"New Balance Men's Fresh Foam X 1080 Unlaced V1 Running Shoe, Black/White, 9.5 X-Wide",112991,109379,159.95,1.0,159.95,$ 159.95,A28BSLDKMISFAW,1.0,B096N7GFHS,0196071069760,196071069760,B0CVTTYB7K,New Balance,no,GB196071069760,https://www.google.com/search?q=196071069760+New+Balance+Men%27s+Fresh+Foam+X+1080+Unlaced+V1+Running+Shoe%2C+Black%2FWhite%2C+9.5+X-Wide&tbm=shop,https://www.amazon.com/dp/B096N7GFHS?psc=1,Y,"https://www.google.com/shopping/product/5758365909798054247/offers?q=196071069760&prds=cid:5758365909798054247,cond:1",Not Found,,,,,N
"New Balance Women's Fresh Foam X 860 V13, Blue/Steel, 9.5 X-Wide",108556,48348,,,243.79,$ 243.79,AUZHYMZYT39ZN,1.0,B0BB389TPB,0196432341443,196432341443,B0CSHGV5ZM,New Balance,no,GB196432341443,https://www.google.com/search?q=196432341443+New+Balance+Women%27s+Fresh+Foam+X+860+V13%2C+Blue%2FSteel%2C+9.5+X-Wide&tbm=shop,https://www.amazon.com/dp/B0BB389TPB?psc=1,Y,"https://www.google.com/shopping/product/7086108849199532172/offers?q=196432341443&prds=cid:7086108849199532172,cond:1",Fleet Feet,140.0,238.0,264.6,242.79,Y
"New Balance Men's 460 V3 Running Shoe, Black/Neon Dragonfly/Blacktop, 9.5 X-Wide",92074,91820,,,,,-,,B09YBDSX1X,0196432834259,196432834259,B08PD6YL7J,New Balance,no,GB196432834259,https://www.google.com/search?q=196432834259+New+Balance+Men%27s+460+V3+Running+Shoe%2C+Black%2FNeon+Dragonfly%2FBlacktop%2C+9.5+X-Wide&tbm=shop,https://www.amazon.com/dp/B09YBDSX1X?psc=1,Y,"https://www.google.com/shopping/product/1653147477915343238/offers?q=196432834259&prds=cid:1653147477915343238,cond:1",Not Found,,,,,N
"New Balance Men's 460 V3 Running Shoe, Blacktop/Black/Cayenne, 15",91446,94460,,,87.83,$ 103.63,AF4GO035LHAA2,1.0,B0BJ7L2NST,0196941133126,196941133126,B08PD6YL7J,New Balance,no,GB196941133126,https://www.google.com/search?q=196941133126+New+Balance+Men%27s+460+V3+Running+Shoe%2C+Blacktop%2FBlack%2FCayenne%2C+15&tbm=shop,https://www.amazon.com/dp/B0BJ7L2NST?psc=1,Y,"https://www.google.com/shopping/product/8601503851155829063/offers?q=196941133126&prds=cid:8601503851155829063,cond:1",Not Found,,,,,N
"New Balance Men's Fresh Foam X Lav V2 Hard Court Tennis Shoe, White/Laser Blue, 10 Wide",72162,91909,,,,,-,,B08LZZFTBK,0195173876832,195173876832,B0BMGMWHRT,New Balance,yes,GB195173876832,https://www.google.com/search?q=195173876832+New+Balance+Men%27s+Fresh+Foam+X+Lav+V2+Hard+Court+Tennis+Shoe%2C+White%2FLaser+Blue%2C+10+Wide&tbm=shop,https://www.amazon.com/dp/B08LZZFTBK?psc=1,Y,"https://www.google.com/shopping/product/10111904741362898542/offers?q=195173876832&prds=cid:10111904741362898542,cond:1",Not Found,,,,,N
