Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List
"THE NORTH FACE Men's Paramount Convertible Pant, TNF Black, 36 Short",291503.0,403337.0,90.0,79.0,90.0,$176.40 ,$89.98 ,"A2XZ0K8FIJS0FD, A7ULJO7NAWM0L",2.0,B0BH546HGP,0196571698859,196571698859,B0BRBSFJBR,THE NORTH FACE,no,GB196571698859,https://www.google.com/search?q=196571698859+THE+NORTH+FACE+Men%27s+Paramount+Convertible+Pant%2C+TNF+Black%2C+36+Short&tbm=shop,Y,https://www.amazon.com/dp/B0BH546HGP?psc=1,"https://www.google.com/shopping/product/7265104527767450501/offers?q=196571698859&prds=cid:7265104527767450501,cond:1",DICK'S Sporting Goods,69.0,117.3,130.41,,N
"THE NORTH FACE Men's Paramount Convertible Pant, TNF Black, 32 Short",298988.0,412569.0,90.0,115.0,90.0,$90.00 ,$89.98 ,"A2XZ0K8FIJS0FD, A7ULJO7NAWM0L",2.0,B0BH57QBN5,0196571698408,196571698408,B0BRBSFJBR,THE NORTH FACE,no,GB196571698408,https://www.google.com/search?q=196571698408+THE+NORTH+FACE+Men%27s+Paramount+Convertible+Pant%2C+TNF+Black%2C+32+Short&tbm=shop,Y,https://www.amazon.com/dp/B0BH57QBN5?psc=1,"https://www.google.com/shopping/product/7265104527767450501/offers?q=196571698408&prds=cid:7265104527767450501,cond:1",DICK'S Sporting Goods,69.0,117.3,130.41,,N
"THE NORTH FACE Men's Paramount Convertible Pant, New Taupe Green, 30 Short",286140.0,405730.0,,,123.46,$123.46 ,$123.46 ,A20FLYA0IW2L9O,1.0,B0BH575KXQ,0196571697463,196571697463,B0BRBSFJBR,THE NORTH FACE,yes,GB196571697463,https://www.google.com/search?q=196571697463+THE+NORTH+FACE+Men%27s+Paramount+Convertible+Pant%2C+New+Taupe+Green%2C+30+Short&tbm=shop,N,https://www.amazon.com/dp/B0BH575KXQ?psc=1,Not Found,Not Found,,,,,N
"THE NORTH FACE Men's Paramount Convertible Pant, Khaki Stone, 40 Short",289360.0,393128.0,90.0,39.0,90.0,$90.00 ,$90.24 ,"A2XZ0K8FIJS0FD, A7ULJO7NAWM0L",2.0,B0BH55QZKP,0196571697869,196571697869,B0BRBSFJBR,THE NORTH FACE,no,GB196571697869,https://www.google.com/search?q=196571697869+THE+NORTH+FACE+Men%27s+Paramount+Convertible+Pant%2C+Khaki+Stone%2C+40+Short&tbm=shop,Y,https://www.amazon.com/dp/B0BH55QZKP?psc=1,"https://www.google.com/shopping/product/13073345656739705093/offers?q=196571697869&prds=cid:13073345656739705093,cond:1",Backcountry.com,68.5,116.45,129.47,,N
"THE NORTH FACE Men's Paramount Convertible Pant, TNF Black, 38 Short",303068.0,405571.0,90.0,1.0,90.0,$90.00 ,$89.98 ,"A7ULJO7NAWM0L, A2XZ0K8FIJS0FD",2.0,B0BH57GTLT,0196571699221,196571699221,B0BRBSFJBR,THE NORTH FACE,no,GB196571699221,https://www.google.com/search?q=196571699221+THE+NORTH+FACE+Men%27s+Paramount+Convertible+Pant%2C+TNF+Black%2C+38+Short&tbm=shop,Y,https://www.amazon.com/dp/B0BH57GTLT?psc=1,"https://www.google.com/shopping/product/9560108335542550504/offers?q=196571699221&prds=cid:9560108335542550504,cond:1",Moosejaw,80.0,136.0,151.2,,N
"THE NORTH FACE Baby Reversible Mount Chimbo Full Zip Hooded Jacket, Shady Blue, 12-18 Months",337082.0,314523.0,,,117.94,$129.09 ,$117.94 ,ANZYNJW9IIF9C,1.0,B09V6V7VX5,0196013492052,196013492052,B09BK8LC5Y,THE NORTH FACE,no,GB196013492052,https://www.google.com/search?q=196013492052+THE+NORTH+FACE+Baby+Reversible+Mount+Chimbo+Full+Zip+Hooded+Jacket%2C+Shady+Blue%2C+12-18+Months&tbm=shop,Y,https://www.amazon.com/dp/B09V6V7VX5?psc=1,"https://www.google.com/shopping/product/13994491185638357704/offers?q=196013492052&prds=cid:13994491185638357704,cond:1",Not Found,,,,,N
"The North Face Youth Freedom Insulated Bib, TNF Black, XS",682004.0,461697.0,,,189.18,$251.22 ,$193.54 ,ANZYNJW9IIF9C,1.0,B07MRJJTCM,0192826547729,192826547729,B0862DQRXZ,THE NORTH FACE,no,GB192826547729,https://www.google.com/search?q=192826547729+The+North+Face+Youth+Freedom+Insulated+Bib%2C+TNF+Black%2C+XS&tbm=shop,Y,https://www.amazon.com/dp/B07MRJJTCM?psc=1,"https://www.google.com/shopping/product/4903229062612963897/offers?q=192826547729&prds=cid:4903229062612963897,cond:1",Not Found,,,,,N
"THE NORTH FACE Girls' Suave Oso Fleece Full-Zip Hooded Jacket, TNF Black 3, Medium",259720.0,222145.0,,,84.95,$84.95 ,$78.34 ,-,1.0,B0C1CP86F3,0196573260306,196573260306,B09BK7RVG1,THE NORTH FACE,no,GB196573260306,https://www.google.com/search?q=196573260306+THE+NORTH+FACE+Girls%27+Suave+Oso+Fleece+Full-Zip+Hooded+Jacket%2C+TNF+Black+3%2C+Medium&tbm=shop,Y,https://www.amazon.com/dp/B0C1CP86F3?psc=1,"https://www.google.com/shopping/product/13863462070557302577/offers?q=196573260306&prds=cid:13863462070557302577,cond:1",Sun & Ski Sports,69.43,118.03,131.22,,N
"THE NORTH FACE Girls' Suave Oso Fleece Full-Zip Hooded Jacket, Gardenia White 1, Small",265132.0,230727.0,118.74,1.0,118.74,$136.37 ,$118.74 ,ANZYNJW9IIF9C,1.0,B097NRMR7P,0195437283390,195437283390,B09BK7RVG1,THE NORTH FACE,no,GB195437283390,https://www.google.com/search?q=195437283390+THE+NORTH+FACE+Girls%27+Suave+Oso+Fleece+Full-Zip+Hooded+Jacket%2C+Gardenia+White+1%2C+Small&tbm=shop,Y,https://www.amazon.com/dp/B097NRMR7P?psc=1,"https://www.google.com/shopping/product/14313694211836271004/offers?q=195437283390&prds=cid:14313694211836271004,cond:1",Buckman's Ski and Snowboard Shop,55.3,94.01,104.52,117.74,Y
"THE NORTH FACE Girls' Suave Oso Fleece Full-Zip Hooded Jacket, Gardenia White 2, X-Small",264260.0,225664.0,,,54.22,$78.95 ,$60.27 ,-,2.0,B09V5RWH2K,0196013432225,196013432225,B09BK7RVG1,THE NORTH FACE,yes,GB196013432225,https://www.google.com/search?q=196013432225+THE+NORTH+FACE+Girls%27+Suave+Oso+Fleece+Full-Zip+Hooded+Jacket%2C+Gardenia+White+2%2C+X-Small&tbm=shop,Y,https://www.amazon.com/dp/B09V5RWH2K?psc=1,"https://www.google.com/shopping/product/8951446091947039208/offers?q=196013432225&prds=cid:8951446091947039208,cond:1",Buckman's Ski and Snowboard Shop,55.3,94.01,104.52,,N
"THE NORTH FACE Men's Box NSE Jogger (Standard and Big Size), TNF Black/TNF White, 4X",224316.0,181072.0,,,74.0,$74.00 ,$74.00 ,AUPO0SZ07SCTR,1.0,B0BZ8XXV9P,0196573784956,196573784956,B099HC6XCG,THE NORTH FACE,no,GB196573784956,https://www.google.com/search?q=196573784956+THE+NORTH+FACE+Men%27s+Box+NSE+Jogger+%28Standard+and+Big+Size%29%2C+TNF+Black%2FTNF+White%2C+4X&tbm=shop,Y,https://www.amazon.com/dp/B0BZ8XXV9P?psc=1,"https://www.google.com/shopping/product/13844859531477218508/offers?q=196573784956&prds=cid:13844859531477218508,cond:1",ModeSens,60.0,102.0,113.4,,N
