Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box)
"BIRKENSTOCK 1019635 Women's Slippers, Earthy Vegan Light Rose, 8.5 US",6410.0,11374.0,,,$125.00 ,$180.00 ,,-,0.0,B08WZ2XLM4,4.06142E+12,4061416556570,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Men's Arizona Soft Footbed Sandals, Black 051193, 12 Narrow",6520.0,11581.0,$97.99 ,86.0,$97.99 ,$156.95 ,$97.99 ,A1KWJVS57NX03I,3.0,B000GLJ81U,4.01387E+12,4013871060055,B00BUQ4ADQ,Birkenstock,no
Birkenstock Unisex Adults Arizona Soft Footbed Suede Leather Sandals - Taupe - USW6/M4/EU37,6501.0,11405.0,,,$194.67 ,$219.95 ,$214.59 ,A2PM2LFH21HQNQ,1.0,B071Z6XMP2,4.04071E+12,4040714342689,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Men's Arizona NL Dunkelbraun Open-Toe Sandals, Dark Brown, 50 EU",6439.0,11486.0,$188.01 ,1.0,$164.21 ,$229.95 ,$188.01 ,A2PM2LFH21HQNQ,1.0,B003AQCOX2,4.01387E+12,4013871065494,B00BUQ4ADQ,Birkenstock,no
Birkenstock Unisex Arizona Stone Sandals - 12-12.5 D(M) US Men,6513.0,11506.0,,,$159.13 ,$175.00 ,$182.93 ,A2PM2LFH21HQNQ,1.0,B000UWMZFQ,4.01387E+12,4013871744948,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Women's Arizona, Brown, 10 AU",6418.0,11351.0,,,$145.95 ,$200.99 ,,-,0.0,B00UI027IU,4.04071E+12,4040714059310,B00BUQ4ADQ,Birkenstock,no
Birkenstock Arizona 40 Narrow White Birko Flor,6546.0,11525.0,,,$139.95 ,$149.95 ,$139.95 ,-,0.0,B07N14ZY5V,0886454234747,0886454234747,B00BUQ4ADQ,Birkenstock,no
Birkenstock Unisex Arizona Velvet Gray Sandals - 37 N EU / 6-6.5 2A(N) US,6504.0,11406.0,$134.95 ,7.0,$134.95 ,$149.95 ,$134.95 ,A75YKTBGJI3V4,2.0,B007C1O83K,0886454028308,0886454028308,B00BUQ4ADQ,Birkenstock,no
Birkenstock Arizona Shearling Mink Suede 9 US Womens / 7 US Mens,6431.0,11338.0,,,$175.34 ,$236.35 ,$176.57 ,AB8PP5ABO5Y5C,3.0,B071NSFMFD,4.05261E+12,4052605384999,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Men's Soft Arizona Suede Sandals, Taupe, Tan, 13 Medium US",6510.0,11462.0,,,$139.00 ,$159.95 ,$141.22 ,-,4.0,B000W0BVKQ,0809410342775,0809410342775,B00BUQ4ADQ,Birkenstock,no
Birkenstock Arizona Leather White Sandals/Slides US Women 9.0 / Men 7.0,6469.0,11362.0,,,$111.67 ,$236.21 ,$156.00 ,A1C20BH4U0AX41,3.0,B00UFPRH4M,4.01387E+12,4013871022244,B00BUQ4ADQ,Birkenstock,yes
"Birkenstock Women's Arizona Birko-Flo Mocca Sandals - L8 M6 39,0",6459.0,11479.0,,,$114.00 ,$199.95 ,$141.86 ,A1JIMDWAF1I1XQ,2.0,B000XW4S3U,4.04071E+12,4040714059181,B00BUQ4ADQ,Birkenstock,no
Birkenstock Unisex Arizona Tobacco Oiled Leather Sandals - 46 M EU/13-13.5 B(M) US Men,5423.0,7849.0,$124.96 ,2.0,$124.96 ,$149.94 ,$118.77 ,A1C20BH4U0AX41,3.0,B00EE49W5W,0886454263495,0886454263495,B00BUQ4ADQ,Birkenstock,no
Birkenstock New Women's Arizona Slide Sandal Washed Metallic Port 37 N,6488.0,11680.0,$129.99 ,1.0,$129.99 ,$135.00 ,$129.99 ,A3DQY03E03JMV9,1.0,B07NPZ33XT,0802436628113,0802436628113,B00BUQ4ADQ,Birkenstock,no
Birkenstock Women's Arizona Birko-Flo Mocha Sandals - 35 W EU / 4-4.5 W US,6429.0,11375.0,,,$159.13 ,$159.13 ,$182.93 ,A2PM2LFH21HQNQ,1.0,B000XW1DGA,4.04071E+12,4040714059143,B00BUQ4ADQ,Birkenstock,yes
Arizona Soft Footbed,6571.0,11593.0,$218.47 ,1.0,$194.67 ,$277.32 ,$188.19 ,A2PM2LFH21HQNQ,2.0,B071S6B4Q8,4.04071E+12,4040714342757,B00BUQ4ADQ,Birkenstock,no
Birkenstock Women's Arizona SFB Lilac Nubuck 42 N,6404.0,11634.0,,,$235.94 ,$249.31 ,$235.94 ,ANZYNJW9IIF9C,1.0,B07FKDS51X,0802436407299,0802436407299,B00BUQ4ADQ,Birkenstock,no
Birkenstock Unisex Arizona Stone Birkibuc Sandals - 12-12.5 2A(N) US Men,6584.0,11570.0,$135.00 ,2.0,$135.00 ,$205.21 ,$174.27 ,A1C20BH4U0AX41,3.0,B001E6QTD6,0736399745061,0736399745061,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Unisex Arizona Soft Footbed Suede Sandals, Stone - 36 M EU / 5-5.5 B(M) US",6532.0,11406.0,,,$159.13 ,$190.95 ,$163.11 ,A2PM2LFH21HQNQ,3.0,B000UWJD5G,4.01387E+12,4013871744856,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Men's Arizona Soft Footbed, Faded Khaki, Tan, 9 Medium US",6495.0,11369.0,$144.90 ,1.0,$144.90 ,$235.94 ,$145.00 ,A1C20BH4U0AX41,1.0,B08P25CHB2,0822698797969,0822698797969,B00BUQ4ADQ,Birkenstock,yes
"Birkenstock Men's Arizona Birko-Flor Sandals, White, 9 US",6454.0,11455.0,$99.38 ,1.0,$99.08 ,$120.00 ,$101.12 ,A16HZ3J3WEU71V,2.0,B008YFK5WQ,0736399054385,0736399054385,B00BUQ4ADQ,Birkenstock,no
Birkenstock Unisex Arizona Metallic Anthracite Leather Sandals - 7-7.5 2A(N) US Women,6381.0,11646.0,$135.00 ,1.0,$135.00 ,$149.00 ,$135.00 ,A1C20BH4U0AX41,1.0,B01CF7JYKM,0886925226028,0886925226028,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Classic Women's Mules, Silver Metallic Silver, 3.5 UK",6464.0,11377.0,,,$140.97 ,$199.00 ,$189.54 ,A2PM2LFH21HQNQ,1.0,B01MYQXHRT,4.05406E+12,4054056337630,B00BUQ4ADQ,Birkenstock,yes
"Birkenstock Unisex Arizona Sandal, Size: 38 Width: Narrow Color: White",6303.0,11489.0,$109.95 ,2.0,$109.95 ,$135.00 ,$109.95 ,A2F3U3NJJC3IJO,1.0,B07N15B4NR,0886454234723,0886454234723,B00BUQ4ADQ,Birkenstock,no
Birkenstock Unisex Arizona Tobacco Oiled Leather Sandals - 44 M EU / 11-11.5 D(M) US,5382.0,7802.0,,,$145.94 ,$259.71 ,$149.95 ,A1C20BH4U0AX41,1.0,B00EE49U0E,0886454263471,0886454263471,B00BUQ4ADQ,Birkenstock,yes
Birkenstock Womens Arizona Soft Foot Bed Double Buckle Metallic Sandals - Metallic Silver - US10/EU41,6416.0,11386.0,,,,$199.95 ,$217.85 ,-,,B01N79F4MD,4.05406E+12,4054056337739,B00BUQ4ADQ,Birkenstock,yes
Birkenstock Unisex Adults Arizona Soft Footbed Suede Leather Sandals - Taupe - USM13/EU46,6431.0,11314.0,,,$194.67 ,$241.95 ,$218.47 ,A2PM2LFH21HQNQ,1.0,B0719HMPYM,4.04071E+12,4040714342771,B00BUQ4ADQ,Birkenstock,no
Birkenstock Arizona Shearling Mink Suede 5 US Womens / 3 US Mens,6470.0,11484.0,$99.00 ,1.0,$99.00 ,$199.00 ,$145.43 ,A15AGXA4VOK562,1.0,B0711J4J8T,4.05261E+12,4052605384913,B00BUQ4ADQ,Birkenstock,yes
"Birkenstock Women's, Arizona Soft Footbed Sandal - Narrow Width Blue Nubuck 36 M",6473.0,11442.0,$135.00 ,1.0,$135.00 ,$145.00 ,$135.00 ,A1C20BH4U0AX41,1.0,B08CRXTSG1,0822698503256,0822698503256,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Unisex Arizona Soft Footbed Sandals, Black Black 51193, 12.5 US Men",6432.0,11383.0,$177.86 ,1.0,$108.00 ,$220.95 ,$128.78 ,A39LCK1QJ9WKOB,2.0,B000GLJ824,4.01387E+12,4013871063575,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Unisex Casual Sandals, Brown Mocca Soft Footbed, 6 US Men",6456.0,11440.0,$153.63 ,1.0,$153.63 ,$215.00 ,$134.86 ,AB8PP5ABO5Y5C,2.0,B00IGC67OM,4.04071E+12,4040714342825,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Women's Sandals, Black Birko-flor??, 3.5 UK Narrow",6550.0,11547.0,$119.86 ,25.0,$119.86 ,$154.27 ,,-,0.0,B000GLI39I,4.01387E+12,4013871036623,B00BUQ4ADQ,Birkenstock,yes
Birkenstock Arizona Shearling Mink Suede 6 US Womens / 4 US Mens,6432.0,11449.0,$148.59 ,6.0,$148.59 ,$170.00 ,$148.59 ,A15AGXA4VOK562,6.0,B071NSFMF6,4.05261E+12,4052605384937,B00BUQ4ADQ,Birkenstock,no
Birkenstock Unisex Arizona Sandal Desert Soil Blue Birko-flor 46 R EU,6470.0,11522.0,$106.19 ,1.0,$106.19 ,$205.20 ,$115.27 ,A1C20BH4U0AX41,3.0,B07XLRJD1G,0802436776395,0802436776395,B00BUQ4ADQ,Birkenstock,yes
Birkenstock 75266139 Arizona Blk W/Blk Shr Sd 39,6460.0,11372.0,$145.53 ,2.0,$145.53 ,$184.95 ,$146.77 ,A15AGXA4VOK562,5.0,B00SJWEI4K,0886454539088,0886454539088,B00BUQ4ADQ,Birkenstock,yes
"BIRKENSTOCK Women's Open Bout, White Vernis Blanc, 8 US",6493.0,11526.0,$109.95 ,3.0,$102.60 ,$144.95 ,$113.52 ,A325BWLW9IYYOY,6.0,B01NAM0MOZ,"4052605930653, 4052605930097","4052605930653, 4052605930097",B00BUQ4ADQ,Birkenstock,yes
Birkenstock Unisex Arizona Taupe Suede Sandals - 11-11.5 2A(N) US Men,6453.0,11474.0,$134.90 ,1.0,$134.90 ,$248.82 ,$129.18 ,A27XQSHYXYFFJT,2.0,B000EYDJYG,0736399061147,0736399061147,B00BUQ4ADQ,Birkenstock,no
Birkenstock Arizona ICY Metallic Birko-Flor ICY Metallic Old Rose Birko-Flor 41 (10-10.5 Narrow Women/8-8.5 Narrow Men) Narrow,6643.0,11665.0,$135.00 ,1.0,$135.00 ,$135.00 ,$135.00 ,A1C20BH4U0AX41,1.0,B07VBH5ZHB,0802436935433,0802436935433,B00BUQ4ADQ,Birkenstock,no
Birkenstock Men's Arizona Sandal Black Oiled Leather Size 44 M EU,6524.0,4207.0,,,$135.00 ,$135.00 ,$135.00 ,A1C20BH4U0AX41,1.0,B07N15CXWK,0809410996930,0809410996930,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Arizona Sheepskin Womens Slides, Mink, 7 Women/5 Men",6445.0,11489.0,$175.34 ,1.0,$175.34 ,$235.00 ,$178.09 ,-,5.0,B0711J4KHR,4.05261E+12,4052605384951,B00BUQ4ADQ,Birkenstock,no
Birkenstock Women's Arizona Narrow Fit Buckle Sandal Blue-Blue-3.5,6519.0,11559.0,$101.64 ,1.0,$101.64 ,$148.00 ,$101.64 ,A35T3I43XUSHP7,2.0,B000K07ZWQ,4.01387E+12,4013871080473,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Men's Casual Mules, Blue, 5 UK",6472.0,11509.0,$72.88 ,20.0,$72.88 ,$139.95 ,$95.29 ,AB8PP5ABO5Y5C,2.0,B000K0AMRG,4.01387E+12,4013871031666,B00BUQ4ADQ,Birkenstock,yes
Arizona Soft Footbed,6417.0,2331506.0,$135.00 ,4.0,$135.00 ,$175.99 ,$134.53 ,A1C20BH4U0AX41,2.0,B07KM5FFKT,4.01153E+12,4011526904310,B00BUQ4ADQ,Birkenstock,no
"Birkenstock Women's Arizona Soft Sandals, Metallic Copper, 6",6419.0,458968.0,$86.40 ,3.0,$86.10 ,$141.75 ,$85.95 ,A39BYP53PD01TR,7.0,B0116CPH5I,0886454682647,0886454682647,B00BUQ4ADQ,Birkenstock,yes
Birkenstock Unisex Arizona Velvet Gray Sandals - 36 N EU / 5-5.5 2A(N) US,6418.0,11462.0,$110.94 ,1.0,$110.94 ,$145.00 ,$110.95 ,A1QFV54JFUWZAD,5.0,B007C1O83A,0886454028292,0886454028292,B00BUQ4ADQ,Birkenstock,no
Birkenstock Unisex Arizona Velvet Gray Sandals - 45 M EU/12-12.5 B(M) US Men,6439.0,11415.0,$139.00 ,1.0,$139.00 ,$250.73 ,$159.24 ,A27XQSHYXYFFJT,6.0,B007C1O5VA,0886454028261,0886454028261,B00BUQ4ADQ,Birkenstock,no
