Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Custom_SKU,Google_Search_Link,Amazon_link,Match,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List
"New Balance Men's Made in US 990 V5 Sneaker, Navy/Silver, 7",25647,22040,,,272.95,181.52 $,Revel Commerce (97% A1PKYT90J02XDY),2.0,B07CH9KV1W,0192662911135,192662911135,B07H2T76RK,New Balance,no,GB192662911135,https://www.google.com/search?q=192662911135+New+Balance+Men%27s+Made+in+US+990+V5+Sneaker%2C+Navy%2FSilver%2C+7&tbm=shop,https://www.amazon.com/dp/B07CH9KV1W?psc=1,Y,"https://www.google.com/shopping/product/7232946862118291790/offers?q=192662911135&prds=cid:7232946862118291790,cond:1",Orleans Shoe Co.,194.95,331.41,368.46,,N
"New Balance Men's Made in US 990 V5 Sneaker, Grey/Castlerock, 10 Narrow",26404,22439,,,306.37,272.98 $,-,1.0,B0797D3GYJ,0192662165743,192662165743,B07H2T76RK,New Balance,yes,GB192662165743,https://www.google.com/search?q=192662165743+New+Balance+Men%27s+Made+in+US+990+V5+Sneaker%2C+Grey%2FCastlerock%2C+10+Narrow&tbm=shop,https://www.amazon.com/dp/B0797D3GYJ?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Men's Made in US 990 V5 Sneaker, Navy/Silver, 10",25719,22153,,,262.94,263.41 $,Laurel Lake Shoe Co (99% A25FL3R5XBQ6MS),6.0,B07C7B1XV4,0192662911197,192662911197,B07H2T76RK,New Balance,no,GB192662911197,https://www.google.com/search?q=192662911197+New+Balance+Men%27s+Made+in+US+990+V5+Sneaker%2C+Navy%2FSilver%2C+10&tbm=shop,https://www.amazon.com/dp/B07C7B1XV4?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Men's Made in US 990 V5 Sneaker, Navy/Silver, 10.5",25647,22087,,,257.02,249.26 $,Numoon Collection (94% A1B43WMIJ58I3U),3.0,B07C7N9112,0192662911203,192662911203,B07H2T76RK,New Balance,no,GB192662911203,https://www.google.com/search?q=192662911203+New+Balance+Men%27s+Made+in+US+990+V5+Sneaker%2C+Navy%2FSilver%2C+10.5&tbm=shop,https://www.amazon.com/dp/B07C7N9112?psc=1,Y,"https://www.google.com/shopping/product/7232946862118291790/offers?q=192662911203&prds=cid:7232946862118291790,cond:1",Not Found,,,,,N
"New Balance Men's Made in US 990 V5 Sneaker, Grey/Castlerock, 11",25626,22130,199.2,3.0,184.25,194.95 $,Shoe_Hut (97% A38V91JH5G8OV2),5.0,B0797GG576,0192662165934,192662165934,B07H2T76RK,New Balance,no,GB192662165934,https://www.google.com/search?q=192662165934+New+Balance+Men%27s+Made+in+US+990+V5+Sneaker%2C+Grey%2FCastlerock%2C+11&tbm=shop,https://www.amazon.com/dp/B0797GG576?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Men's Made in US 990 V5 Sneaker, Navy/Silver, 10 Wide",25418,22364,,,308.81,294.53 $,D & S WHOLESALERS LLC (69% A2B9B9OGF1VYTL),1.0,B07C79SF5J,0192662911357,192662911357,B07H2T76RK,New Balance,no,GB192662911357,https://www.google.com/search?q=192662911357+New+Balance+Men%27s+Made+in+US+990+V5+Sneaker%2C+Navy%2FSilver%2C+10+Wide&tbm=shop,https://www.amazon.com/dp/B07C79SF5J?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Men's Made in US 990 V5 Sneaker, Grey/Castlerock, 15 X-Wide",25990,22642,,,326.0,303.60 $,D & S WHOLESALERS LLC (69% A2B9B9OGF1VYTL),1.0,B0797LTWLX,0192662166450,192662166450,B07H2T76RK,New Balance,no,GB192662166450,https://www.google.com/search?q=192662166450+New+Balance+Men%27s+Made+in+US+990+V5+Sneaker%2C+Grey%2FCastlerock%2C+15+X-Wide&tbm=shop,https://www.amazon.com/dp/B0797LTWLX?psc=1,Y,"https://www.google.com/shopping/product/15478371788306602970/offers?q=192662166450&prds=cid:15478371788306602970,cond:1",Orleans Shoe Co.,194.95,331.41,368.46,,N
"New Balance Men's Made in US 990 V5 Sneaker, Grey/Castlerock, 10",25707,22166,199.89,9.0,199.89,199.89 $,Shoe_Hut (97% A38V91JH5G8OV2),4.0,B0797JCV4Y,0192662165910,192662165910,B07H2T76RK,New Balance,no,GB192662165910,https://www.google.com/search?q=192662165910+New+Balance+Men%27s+Made+in+US+990+V5+Sneaker%2C+Grey%2FCastlerock%2C+10&tbm=shop,https://www.amazon.com/dp/B0797JCV4Y?psc=1,Y,"https://www.google.com/shopping/product/8942431131180688984/offers?q=192662165910&prds=cid:8942431131180688984,cond:1",Not Found,,,,,N
"New Balance Men's Made in US 990 V5 Sneaker, Navy/Silver, 8 X-Wide",26411,21448,,,316.07,317.35 $,QualitySupplyCo (91% ANZYNJW9IIF9C),2.0,B07C7B1YK5,0192662911470,192662911470,B07H2T76RK,New Balance,no,GB192662911470,https://www.google.com/search?q=192662911470+New+Balance+Men%27s+Made+in+US+990+V5+Sneaker%2C+Navy%2FSilver%2C+8+X-Wide&tbm=shop,https://www.amazon.com/dp/B07C7B1YK5?psc=1,Y,"https://www.google.com/shopping/product/7232946862118291790/offers?q=192662911470&prds=cid:7232946862118291790,cond:1",Orleans Shoe Co.,194.95,331.41,368.46,,N
"New Balance Kid's Playgruv V1 Bungee Sneaker, Gunmetal/Orca/Team Red, 11 Wide Little Kid",19598,26509,,,,,-,,B096NCGHBP,0196071092614,196071092614,B09FDG4FRD,New Balance,yes,GB196071092614,https://www.google.com/search?q=196071092614+New+Balance+Kid%27s+Playgruv+V1+Bungee+Sneaker%2C+Gunmetal%2FOrca%2FTeam+Red%2C+11+Wide+Little+Kid&tbm=shop,https://www.amazon.com/dp/B096NCGHBP?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Men's FreezeLX V4 Low Lacrosse Shoe, White/Crimson/Black, 8.5",34414,69554,,81.0,,108.22 $,Valentine Trading Co. (83% A3DT0VMUKYR74A),1.0,B09YB4ZPGN,0196432696222,196432696222,B09K54QPNJ,New Balance,yes,GB196432696222,https://www.google.com/search?q=196432696222+New+Balance+Men%27s+FreezeLX+V4+Low+Lacrosse+Shoe%2C+White%2FCrimson%2FBlack%2C+8.5&tbm=shop,https://www.amazon.com/dp/B09YB4ZPGN?psc=1,N,Not Found,Not Found,,,,,N
New Balance Men's Fresh Foam X 880v13 Running Shoe Black/Phantom 11 Wide,22473,102702,,,236.62,237.92 $,QualitySupplyCo (91% ANZYNJW9IIF9C),1.0,B0BB3D2QFF,0196307619868,196307619868,B0CTWDCB5Y,New Balance,yes,GB196307619868,https://www.google.com/search?q=196307619868+New+Balance+Men%27s+Fresh+Foam+X+880v13+Running+Shoe+Black%2FPhantom+11+Wide&tbm=shop,https://www.amazon.com/dp/B0BB3D2QFF?psc=1,Y,"https://www.google.com/shopping/product/4144850164582346675/offers?q=196307619868&prds=cid:4144850164582346675,cond:1",Fleet Feet,105.0,178.5,198.45,,N
New Balance Men's Fresh Foam X 880v13 Running Shoe Sea Salt/Washed Burgundy 12.5 Narrow,56248,221181,129.66,1.0,129.66,132.39 $,Morithania Class (S/N Recorded) (93% A20O9LUC2WFY7S),1.0,B0CDTW8SGW,0196652910177,196652910177,B0CTWDCB5Y,New Balance,no,GB196652910177,https://www.google.com/search?q=196652910177+New+Balance+Men%27s+Fresh+Foam+X+880v13+Running+Shoe+Sea+Salt%2FWashed+Burgundy+12.5+Narrow&tbm=shop,https://www.amazon.com/dp/B0CDTW8SGW?psc=1,Y,"https://www.google.com/shopping/product/5647383760733975665/offers?q=196652910177&prds=cid:5647383760733975665,cond:1",Not Found,,,,,N
New Balance Men's Fresh Foam X 880v13 Running Shoe White/Dark Silver Metallic 12.5,7792,424695,,,243.34,243.34 $,D & S WHOLESALERS LLC (69% A2B9B9OGF1VYTL),1.0,B0BRKNVNQC,0196432344062,196432344062,B0CTWDCB5Y,New Balance,yes,GB196432344062,https://www.google.com/search?q=196432344062+New+Balance+Men%27s+Fresh+Foam+X+880v13+Running+Shoe+White%2FDark+Silver+Metallic+12.5&tbm=shop,https://www.amazon.com/dp/B0BRKNVNQC?psc=1,Y,"https://www.google.com/shopping/product/14895553456010486064/offers?q=196432344062&prds=cid:14895553456010486064,cond:1",Not Found,,,,,N
"New Balance Women's 327 Sneaker, Sea Salt/Rust Oxide, 8",38502,130790,144.99,2.0,139.0,138.66 $,Kaya Commerce (70% A31AXZ2ONSA7MG),1.0,B09VTKQC7T,0195907810507,195907810507,B0BSS8J4X8,New Balance,no,GB195907810507,https://www.google.com/search?q=195907810507+New+Balance+Women%27s+327+Sneaker%2C+Sea+Salt%2FRust+Oxide%2C+8&tbm=shop,https://www.amazon.com/dp/B09VTKQC7T?psc=1,Y,"https://www.google.com/shopping/product/7651772886296686717/offers?q=195907810507&prds=cid:7651772886296686717,cond:1",JD Sports,110.0,187.0,207.9,,N
"New Balance Boy's 237 V1 Lace Up Sneaker, Bright Lapis/Poppy, 6.5 Big Kid",26004,39226,,,,,-,,B09XRFP3Y3,0196432727810,196432727810,,New Balance,yes,GB196432727810,https://www.google.com/search?q=196432727810+New+Balance+Boy%27s+237+V1+Lace+Up+Sneaker%2C+Bright+Lapis%2FPoppy%2C+6.5+Big+Kid&tbm=shop,https://www.amazon.com/dp/B09XRFP3Y3?psc=1,Y,"https://www.google.com/shopping/product/2165992778855327355/offers?q=196432727810&prds=cid:2165992778855327355,cond:1",Zappos.com,59.44,101.05,112.34,112.34,Y
