Brand,All_Listings_Count,Current_Listings_Count,Date,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Free People,800.0,0.0,2024-05-12,,,,,,,,,,
KATE SPADE,1.0,0.0,2024-05-12,,,,,,,,,,
Kate Spade,3.0,0.0,2024-05-12,,,,,,,,,,
Kate Spade New York,113.0,24.0,2024-05-12,,,,,,,,,,
Kate spade,2.0,0.0,2024-05-12,,,,,,,,,,
LACOSTE,11.0,0.0,2024-05-12,,,,,,,,,,
Lacoste,676.0,0.0,2024-05-12,,,,,,,,,,
Laura Mercier,100.0,27.0,2024-05-12,,,,,,,,,,
LifeStride,740.0,98.0,2024-05-12,,,,,,,,,,
NIKE,4.0,0.0,2024-05-12,,,,,,,,,,
New Balance,5725.0,935.0,2024-05-12,,,,,,,,,,
Nike,2937.0,0.0,2024-05-12,,,,,,,,,,
POLO RALPH LAUREN,536.0,0.0,2024-05-12,,,,,,,,,,
Polo Ralph Lauren,437.0,0.0,2024-05-12,,,,,,,,,,
Polo Ralph lauren,2.0,0.0,2024-05-12,,,,,,,,,,
Polo ralph laurEN,1.0,0.0,2024-05-12,,,,,,,,,,
Skechers,3419.0,0.0,2024-05-12,,,,,,,,,,
Speedo,303.0,0.0,2024-05-12,,,,,,,,,,
Steve Madden,3581.0,292.0,2024-05-12,,,,,,,,,,
THE NORTH FACE,2023.0,0.0,2024-05-12,,,,,,,,,,
TOMMY HILFIGER,12.0,0.0,2024-05-12,,,,,,,,,,
TYR,1.0,0.0,2024-05-12,,,,,,,,,,
Tommy Hilfiger,1470.0,0.0,2024-05-12,,,,,,,,,,
Tory Burch,89.0,30.0,2024-05-12,,,,,,,,,,
kate spade new york,2.0,2.0,2024-05-12,,,,,,,,,,
lacoste,1.0,0.0,2024-05-12,,,,,,,,,,
polo ralph laurEN,1.0,0.0,2024-05-12,,,,,,,,,,
steve madden,1.0,0.0,2024-05-12,,,,,,,,,,
11741647753954365534,1.0,0.0,2024-05-13,,,,,,,,,,
337814064430955391,1.0,0.0,2024-05-13,,,,,,,,,,
4338125481855925119,1.0,0.0,2024-05-13,,,,,,,,,,
5065273244348073868,1.0,0.0,2024-05-13,,,,,,,,,,
9302125865549642994,1.0,0.0,2024-05-13,,,,,,,,,,
9823989120448250731,1.0,0.0,2024-05-13,,,,,,,,,,
Birkenstock,3093.0,0.0,2024-05-13,,,,,,,,,,
Brooks,2196.0,0.0,2024-05-13,,,,,,,,,,
Buffalo David Bitton,19.0,5.0,2024-05-13,,,,,,,,,,
Carhartt,1878.0,0.0,2024-05-13,,,,,,,,,,
Champion,813.0,0.0,2024-05-13,,,,,,,,,,
Cole Haan,911.0,0.0,2024-05-13,,,,,,,,,,
Columbia,2635.0,255.0,2024-05-13,,,,,,,,,,
Free People,800.0,145.0,2024-05-13,,,,,,,,,,
KATE SPADE,1.0,0.0,2024-05-13,,,,,,,,,,
Kate Spade,3.0,2.0,2024-05-13,,,,,,,,,,
Kate Spade New York,113.0,17.0,2024-05-13,,,,,,,,,,
Kate spade,2.0,0.0,2024-05-13,,,,,,,,,,
LACOSTE,11.0,5.0,2024-05-13,,,,,,,,,,
Lacoste,676.0,68.0,2024-05-13,,,,,,,,,,
Laura Mercier,100.0,0.0,2024-05-13,,,,,,,,,,
LifeStride,740.0,0.0,2024-05-13,,,,,,,,,,
NIKE,4.0,0.0,2024-05-13,,,,,,,,,,
New Balance,5725.0,0.0,2024-05-13,,,,,,,,,,
Nike,2937.0,254.0,2024-05-13,,,,,,,,,,
POLO RALPH LAUREN,536.0,331.0,2024-05-13,,,,,,,,,,
Polo Ralph Lauren,437.0,88.0,2024-05-13,,,,,,,,,,
Polo Ralph lauren,2.0,2.0,2024-05-13,,,,,,,,,,
Polo ralph laurEN,1.0,0.0,2024-05-13,,,,,,,,,,
Skechers,3419.0,0.0,2024-05-13,,,,,,,,,,
Speedo,303.0,0.0,2024-05-13,,,,,,,,,,
Steve Madden,3581.0,0.0,2024-05-13,,,,,,,,,,
THE NORTH FACE,2023.0,0.0,2024-05-13,,,,,,,,,,
TOMMY HILFIGER,12.0,7.0,2024-05-13,,,,,,,,,,
TYR,1.0,0.0,2024-05-13,,,,,,,,,,
Tommy Hilfiger,1470.0,127.0,2024-05-13,,,,,,,,,,
Tory Burch,89.0,29.0,2024-05-13,,,,,,,,,,
kate spade new york,2.0,2.0,2024-05-13,,,,,,,,,,
lacoste,1.0,0.0,2024-05-13,,,,,,,,,,
polo ralph laurEN,1.0,0.0,2024-05-13,,,,,,,,,,
steve madden,1.0,0.0,2024-05-13,,,,,,,,,,
11741647753954365534,1.0,0.0,2024-05-14,,,,,,,,,,
337814064430955391,1.0,0.0,2024-05-14,,,,,,,,,,
4338125481855925119,1.0,0.0,2024-05-14,,,,,,,,,,
5065273244348073868,1.0,0.0,2024-05-14,,,,,,,,,,
9302125865549642994,1.0,0.0,2024-05-14,,,,,,,,,,
9823989120448250731,1.0,0.0,2024-05-14,,,,,,,,,,
Birkenstock,3093.0,588.0,2024-05-14,,,,,,,,,,
Brooks,2196.0,0.0,2024-05-14,,,,,,,,,,
Buffalo David Bitton,19.0,0.0,2024-05-14,,,,,,,,,,
Carhartt,1878.0,0.0,2024-05-14,,,,,,,,,,
Champion,813.0,42.0,2024-05-14,,,,,,,,,,
Cole Haan,911.0,61.0,2024-05-14,,,,,,,,,,
Columbia,2635.0,0.0,2024-05-14,,,,,,,,,,
Free People,800.0,0.0,2024-05-14,,,,,,,,,,
KATE SPADE,1.0,0.0,2024-05-14,,,,,,,,,,
Kate Spade,3.0,0.0,2024-05-14,,,,,,,,,,
Kate Spade New York,113.0,24.0,2024-05-14,,,,,,,,,,
Kate spade,2.0,0.0,2024-05-14,,,,,,,,,,
LACOSTE,11.0,0.0,2024-05-14,,,,,,,,,,
Lacoste,676.0,0.0,2024-05-14,,,,,,,,,,
Laura Mercier,100.0,25.0,2024-05-14,,,,,,,,,,
LifeStride,740.0,81.0,2024-05-14,,,,,,,,,,
NIKE,4.0,0.0,2024-05-14,,,,,,,,,,
New Balance,5725.0,0.0,2024-05-14,,,,,,,,,,
Nike,2937.0,259.0,2024-05-14,,,,,,,,,,
POLO RALPH LAUREN,536.0,0.0,2024-05-14,,,,,,,,,,
Polo Ralph Lauren,437.0,0.0,2024-05-14,,,,,,,,,,
Polo Ralph lauren,2.0,0.0,2024-05-14,,,,,,,,,,
Polo ralph laurEN,1.0,0.0,2024-05-14,,,,,,,,,,
Skechers,3419.0,0.0,2024-05-14,,,,,,,,,,
Speedo,303.0,26.0,2024-05-14,,,,,,,,,,
Steve Madden,3581.0,282.0,2024-05-14,,,,,,,,,,
THE NORTH FACE,2023.0,0.0,2024-05-14,,,,,,,,,,
TOMMY HILFIGER,12.0,7.0,2024-05-14,,,,,,,,,,
TYR,1.0,0.0,2024-05-14,,,,,,,,,,
Tommy Hilfiger,1470.0,141.0,2024-05-14,,,,,,,,,,
Tory Burch,89.0,37.0,2024-05-14,,,,,,,,,,
kate spade new york,2.0,2.0,2024-05-14,,,,,,,,,,
lacoste,1.0,0.0,2024-05-14,,,,,,,,,,
polo ralph laurEN,1.0,0.0,2024-05-14,,,,,,,,,,
steve madden,1.0,0.0,2024-05-14,,,,,,,,,,
11741647753954365534,1.0,0.0,2024-05-15,,,,,,,,,,
337814064430955391,1.0,0.0,2024-05-15,,,,,,,,,,
4338125481855925119,1.0,0.0,2024-05-15,,,,,,,,,,
5065273244348073868,1.0,0.0,2024-05-15,,,,,,,,,,
9302125865549642994,1.0,0.0,2024-05-15,,,,,,,,,,
9823989120448250731,1.0,0.0,2024-05-15,,,,,,,,,,
Birkenstock,3093.0,561.0,2024-05-15,,,,,,,,,,
Brooks,2196.0,306.0,2024-05-15,,,,,,,,,,
Buffalo David Bitton,19.0,0.0,2024-05-15,,,,,,,,,,
Carhartt,1878.0,0.0,2024-05-15,,,,,,,,,,
Champion,813.0,48.0,2024-05-15,,,,,,,,,,
Cole Haan,911.0,50.0,2024-05-15,,,,,,,,,,
Columbia,2635.0,0.0,2024-05-15,,,,,,,,,,
Free People,800.0,0.0,2024-05-15,,,,,,,,,,
KATE SPADE,1.0,0.0,2024-05-15,,,,,,,,,,
Kate Spade,3.0,0.0,2024-05-15,,,,,,,,,,
Kate Spade New York,113.0,0.0,2024-05-15,,,,,,,,,,
Kate spade,2.0,0.0,2024-05-15,,,,,,,,,,
LACOSTE,11.0,0.0,2024-05-15,,,,,,,,,,
Lacoste,676.0,0.0,2024-05-15,,,,,,,,,,
Laura Mercier,100.0,0.0,2024-05-15,,,,,,,,,,
LifeStride,740.0,0.0,2024-05-15,,,,,,,,,,
NIKE,4.0,0.0,2024-05-15,,,,,,,,,,
New Balance,5725.0,0.0,2024-05-15,,,,,,,,,,
Nike,2937.0,0.0,2024-05-15,,,,,,,,,,
POLO RALPH LAUREN,536.0,0.0,2024-05-15,,,,,,,,,,
Polo Ralph Lauren,437.0,0.0,2024-05-15,,,,,,,,,,
Polo Ralph lauren,2.0,0.0,2024-05-15,,,,,,,,,,
Polo ralph laurEN,1.0,0.0,2024-05-15,,,,,,,,,,
Skechers,3419.0,222.0,2024-05-15,,,,,,,,,,
Speedo,303.0,0.0,2024-05-15,,,,,,,,,,
Steve Madden,3581.0,0.0,2024-05-15,,,,,,,,,,
THE NORTH FACE,2023.0,0.0,2024-05-15,,,,,,,,,,
TOMMY HILFIGER,12.0,8.0,2024-05-15,,,,,,,,,,
TYR,1.0,0.0,2024-05-15,,,,,,,,,,
Tommy Hilfiger,1470.0,132.0,2024-05-15,,,,,,,,,,
Tory Burch,89.0,0.0,2024-05-15,,,,,,,,,,
kate spade new york,2.0,0.0,2024-05-15,,,,,,,,,,
lacoste,1.0,0.0,2024-05-15,,,,,,,,,,
polo ralph laurEN,1.0,0.0,2024-05-15,,,,,,,,,,
steve madden,1.0,0.0,2024-05-15,,,,,,,,,,
11741647753954365534,1.0,0.0,2024-05-16,,,,,,,,,,
337814064430955391,1.0,0.0,2024-05-16,,,,,,,,,,
4338125481855925119,1.0,0.0,2024-05-16,,,,,,,,,,
5065273244348073868,1.0,0.0,2024-05-16,,,,,,,,,,
9302125865549642994,1.0,0.0,2024-05-16,,,,,,,,,,
9823989120448250731,1.0,0.0,2024-05-16,,,,,,,,,,
Birkenstock,3093.0,0.0,2024-05-16,,,,,,,,,,
Brooks,2196.0,0.0,2024-05-16,,,,,,,,,,
Buffalo David Bitton,19.0,0.0,2024-05-16,,,,,,,,,,
Carhartt,1878.0,0.0,2024-05-16,,,,,,,,,,
Champion,813.0,43.0,2024-05-16,,,,,,,,,,
Cole Haan,911.0,0.0,2024-05-16,,,,,,,,,,
Columbia,2635.0,0.0,2024-05-16,,,,,,,,,,
Free People,800.0,0.0,2024-05-16,,,,,,,,,,
KATE SPADE,1.0,0.0,2024-05-16,,,,,,,,,,
Kate Spade,3.0,0.0,2024-05-16,,,,,,,,,,
Kate Spade New York,113.0,0.0,2024-05-16,,,,,,,,,,
Kate spade,2.0,0.0,2024-05-16,,,,,,,,,,
LACOSTE,11.0,0.0,2024-05-16,,,,,,,,,,
Lacoste,676.0,0.0,2024-05-16,,,,,,,,,,
Laura Mercier,100.0,0.0,2024-05-16,,,,,,,,,,
LifeStride,740.0,75.0,2024-05-16,,,,,,,,,,
NIKE,4.0,0.0,2024-05-16,,,,,,,,,,
New Balance,5725.0,906.0,2024-05-16,,,,,,,,,,
Nike,2937.0,0.0,2024-05-16,,,,,,,,,,
POLO RALPH LAUREN,536.0,0.0,2024-05-16,,,,,,,,,,
Polo Ralph Lauren,437.0,0.0,2024-05-16,,,,,,,,,,
Polo Ralph lauren,2.0,0.0,2024-05-16,,,,,,,,,,
Polo ralph laurEN,1.0,0.0,2024-05-16,,,,,,,,,,
Skechers,3419.0,0.0,2024-05-16,,,,,,,,,,
Speedo,303.0,0.0,2024-05-16,,,,,,,,,,
Steve Madden,3581.0,0.0,2024-05-16,,,,,,,,,,
THE NORTH FACE,2023.0,0.0,2024-05-16,,,,,,,,,,
TOMMY HILFIGER,12.0,0.0,2024-05-16,,,,,,,,,,
TYR,1.0,0.0,2024-05-16,,,,,,,,,,
Tommy Hilfiger,1470.0,0.0,2024-05-16,,,,,,,,,,
Tory Burch,89.0,0.0,2024-05-16,,,,,,,,,,
kate spade new york,2.0,0.0,2024-05-16,,,,,,,,,,
lacoste,1.0,0.0,2024-05-16,,,,,,,,,,
polo ralph laurEN,1.0,0.0,2024-05-16,,,,,,,,,,
steve madden,1.0,0.0,2024-05-16,,,,,,,,,,
11741647753954365534,1.0,0.0,2024-05-17,,,,,,,,,,
337814064430955391,1.0,0.0,2024-05-17,,,,,,,,,,
4338125481855925119,1.0,0.0,2024-05-17,,,,,,,,,,
5065273244348073868,1.0,0.0,2024-05-17,,,,,,,,,,
9302125865549642994,1.0,0.0,2024-05-17,,,,,,,,,,
9823989120448250731,1.0,0.0,2024-05-17,,,,,,,,,,
Birkenstock,3093.0,619.0,2024-05-17,,,,,,,,,,
Brooks,2196.0,0.0,2024-05-17,,,,,,,,,,
Buffalo David Bitton,19.0,0.0,2024-05-17,,,,,,,,,,
Carhartt,1878.0,0.0,2024-05-17,,,,,,,,,,
Champion,813.0,0.0,2024-05-17,,,,,,,,,,
Cole Haan,911.0,42.0,2024-05-17,,,,,,,,,,
Columbia,2635.0,278.0,2024-05-17,,,,,,,,,,
Free People,800.0,175.0,2024-05-17,,,,,,,,,,
KATE SPADE,1.0,0.0,2024-05-17,,,,,,,,,,
Kate Spade,3.0,0.0,2024-05-17,,,,,,,,,,
Kate Spade New York,113.0,0.0,2024-05-17,,,,,,,,,,
Kate spade,2.0,0.0,2024-05-17,,,,,,,,,,
LACOSTE,11.0,0.0,2024-05-17,,,,,,,,,,
Lacoste,676.0,0.0,2024-05-17,,,,,,,,,,
Laura Mercier,100.0,0.0,2024-05-17,,,,,,,,,,
LifeStride,740.0,0.0,2024-05-17,,,,,,,,,,
NIKE,4.0,0.0,2024-05-17,,,,,,,,,,
New Balance,5725.0,0.0,2024-05-17,,,,,,,,,,
Nike,2937.0,0.0,2024-05-17,,,,,,,,,,
POLO RALPH LAUREN,536.0,334.0,2024-05-17,,,,,,,,,,
Polo Ralph Lauren,437.0,92.0,2024-05-17,,,,,,,,,,
Polo Ralph lauren,2.0,2.0,2024-05-17,,,,,,,,,,
Polo ralph laurEN,1.0,0.0,2024-05-17,,,,,,,,,,
Skechers,3419.0,0.0,2024-05-17,,,,,,,,,,
Speedo,303.0,0.0,2024-05-17,,,,,,,,,,
Steve Madden,3581.0,289.0,2024-05-17,,,,,,,,,,
THE NORTH FACE,2023.0,0.0,2024-05-17,,,,,,,,,,
TOMMY HILFIGER,12.0,0.0,2024-05-17,,,,,,,,,,
TYR,1.0,0.0,2024-05-17,,,,,,,,,,
Tommy Hilfiger,1470.0,0.0,2024-05-17,,,,,,,,,,
Tory Burch,89.0,0.0,2024-05-17,,,,,,,,,,
kate spade new york,2.0,0.0,2024-05-17,,,,,,,,,,
lacoste,1.0,0.0,2024-05-17,,,,,,,,,,
polo ralph laurEN,1.0,0.0,2024-05-17,,,,,,,,,,
steve madden,1.0,0.0,2024-05-17,,,,,,,,,,
